Name,cas_final,cas_source,pubchem_cid,confidence_score,confidence_label,score_cas,score_name_match,score_pubchem,score_smiles,score_crossref,score_properties,needs_manual_review,lookup_failed,processing_notes
"1,2-Cyclohexanediol",931-17-9,original,13601.0,0.945,HIGH,1.0,0.85,1.0,1.0,1.0,0.5,False,False,[SMILES] SMILES from CIR fallback.
"1,2-Cyclohexanedione",765-87-7,original,13006.0,0.945,HIGH,1.0,0.85,1.0,1.0,1.0,0.5,False,False,[SMILES] SMILES from CIR fallback.
"1,2-Dibromoethylene",540-49-8,original,10897.0,0.945,HIGH,1.0,0.85,1.0,1.0,1.0,0.5,False,False,[SMILES] SMILES from CIR fallback.
"1,2-Dichloroethylene (Cis)",156-59-2,original,643833.0,0.945,HIGH,1.0,0.85,1.0,1.0,1.0,0.5,False,False,[SMILES] SMILES from CIR fallback.
"1,2-Dichloropropane",78-87-5,original,6564.0,0.975,HIGH,1.0,1.0,1.0,1.0,1.0,0.5,False,False,[SMILES] SMILES from CIR fallback.
"1,2-Dichloropropene (Cis)",6923-20-2,original,5463459.0,0.945,HIGH,1.0,0.85,1.0,1.0,1.0,0.5,False,False,[SMILES] SMILES from CIR fallback.
"1,2-Dichlorotetrafluoroethane (Freon 114)",76-14-2,original,6429.0,0.945,HIGH,1.0,0.85,1.0,1.0,1.0,0.5,False,False,[SMILES] SMILES from CIR fallback.
"1,2-Dichlorovinyl Ethyl Ether",42345-82-4,original,53440473.0,0.945,HIGH,1.0,0.85,1.0,1.0,1.0,0.5,False,False,[SMILES] SMILES from CIR fallback.
"1,2-Diethyl Benzene",135-01-3,original,8657.0,0.945,HIGH,1.0,0.85,1.0,1.0,1.0,0.5,False,False,[SMILES] SMILES from CIR fallback.
"1,2-Dihydroxybenzene (Catechol)",120-80-9,original,289.0,0.945,HIGH,1.0,0.85,1.0,1.0,1.0,0.5,False,False,[SMILES] SMILES from CIR fallback.
"1,2-Dimethoxybenzene",91-16-7,original,7043.0,0.975,HIGH,1.0,1.0,1.0,1.0,1.0,0.5,False,False,[SMILES] SMILES from CIR fallback.
"1,2-Dinitrobenzene",528-29-0,original,10707.0,0.975,HIGH,1.0,1.0,1.0,1.0,1.0,0.5,False,False,[SMILES] SMILES from CIR fallback.
"1,2-Epoxy-2-Propene",40079-14-9,original,3029326.0,0.945,HIGH,1.0,0.85,1.0,1.0,1.0,0.5,False,False,[SMILES] SMILES from CIR fallback.
"1,2-Ethane Dithiol",540-63-6,original,10902.0,0.795,MEDIUM,1.0,0.85,1.0,0.0,1.0,0.5,False,False,
