Name,dD,dP,dH,R0,duplicate,hsp_flag_dd_low,hsp_flag_dd_high,hsp_flag_dp_negative,hsp_flag_dh_negative,hsp_flag_r_large,hsp_flag_nonpolar_check,name_clean,name_type,name_synonyms,source_uncertainty,CAS,cas_final,cas_valid,cas_source,pubchem_cid,inchikey,smiles_canonical,smiles_isomeric,smiles_valid,mol_formula,mw,name_iupac,xlogp,hbd_count,hba_count,bp_c,mp_c,density_g_ml,flash_point_c,vapor_pressure_mmhg,dielectric_constant,ghs_hazard_statements,ghs_pictograms,ghs_signal_word,flag_carcinogen,flag_reproductive_toxin,flag_flammable,flag_acutely_toxic,ich_q3c_class,ich_q3c_pde_mg_day,cf_kingdom,cf_superclass,cf_class,cf_subclass,cf_direct_parent,cf_alternative_parents,cf_classification_type,url_primary,url_source,score_cas,score_name_match,score_pubchem,score_smiles,score_crossref,score_properties,confidence_score,confidence_label,verify_inchikey_mismatch,verify_cas_conflict,verify_name_inconsistency,verify_formula_mismatch,verify_hsp_outlier,verify_classyfire_consistent,already_in_database,lookup_failed,needs_manual_review,processing_notes
Acetylbromide,16.7,10.6,5.2,,False,False,False,False,False,False,False,Acetylbromide,trivial_name,,False,506-96-7,506-96-7,True,original,10482.0,FXXACINHVKSMDR-UHFFFAOYSA-N,CC(Br)=O,,True,C2H3BrO,122.95,acetyl bromide,0.8,0.0,1.0,76.1,-96.1,,,,,H314; H318; H402; H412,Corrosive; Irritant,Danger,False,False,False,False,Not listed,,,,,,,,,https://pubchem.ncbi.nlm.nih.gov/compound/10482,pubchem,1.0,0.85,1.0,1.0,1.0,1.0,0.97,HIGH,False,False,False,False,False,False,False,False,False,[SMILES] SMILES from CIR fallback.
Acetylchloride,16.2,11.2,5.8,,False,False,False,False,False,False,False,Acetylchloride,trivial_name,,False,75-36-5,75-36-5,True,original,6367.0,WETWJCDKMRHUPV-UHFFFAOYSA-N,CC(Cl)=O,,True,C2H3ClO,78.50,acetyl chloride,0.8,0.0,1.0,,-111.9,,,,,H225; H314; H290; H302; H318; H335; H402,Flammable; Corrosive; Irritant,Danger,False,False,True,False,Not listed,,,,,,,,,https://pubchem.ncbi.nlm.nih.gov/compound/6367,pubchem,1.0,0.85,1.0,1.0,1.0,0.75,0.958,HIGH,False,False,False,False,False,False,False,False,False,[SMILES] SMILES from CIR fallback.
Acetylene (Ethyne),14.4,4.2,11.9,,False,False,False,False,False,False,False,Acetylene,trivial_name,Ethyne,False,74-86-2,74-86-2,True,original,6326.0,HSFWRNGVRCDJHI-UHFFFAOYSA-N,C#C,,True,C2H2,26.04,acetylene,0.4,0.0,0.0,-83.5,-81.7,,,,,H220; H280; H336,Flammable; Compressed Gas; Irritant,Danger,False,False,False,False,Not listed,,,,,,,,,https://pubchem.ncbi.nlm.nih.gov/compound/6326,pubchem,1.0,1.0,1.0,1.0,1.0,1.0,1.0,HIGH,False,False,False,False,False,False,False,False,False,[SMILES] SMILES from CIR fallback.
Acetylfluoride,14.7,14.0,5.7,,False,False,False,False,False,False,False,Acetylfluoride,trivial_name,,False,557-99-3,557-99-3,True,original,11204.0,JUCMRTZQCZRJDC-UHFFFAOYSA-N,CC(F)=O,,True,C2H3FO,62.04,acetyl fluoride,0.2,0.0,2.0,20.9,,,,,,H314,Corrosive,Danger,False,False,False,False,Not listed,,,,,,,,,https://pubchem.ncbi.nlm.nih.gov/compound/11204,pubchem,1.0,0.85,1.0,1.0,1.0,0.75,0.958,HIGH,False,False,False,False,False,False,False,False,False,[SMILES] SMILES from CIR fallback.
Acridine,20.0,5.9,2.0,,False,False,False,False,False,False,False,Acridine,trivial_name,,False,260-94-6,260-94-6,True,original,9215.0,DZBUGLKDJFMEHC-UHFFFAOYSA-N,c1ccc2nc3ccccc3cc2c1,,True,C13H9N,179.22,acridine,3.4,0.0,1.0,345.6,,,,,,H302; H312; H315; H319; H332; H335,Irritant,Warning,False,False,False,False,Not listed,,,,,,,,,https://pubchem.ncbi.nlm.nih.gov/compound/9215,pubchem,1.0,1.0,1.0,1.0,1.0,0.75,0.988,HIGH,False,False,False,False,False,False,False,False,False,[SMILES] SMILES from CIR fallback.
Acrolein,15.5,10.0,8.6,,False,False,False,False,False,False,False,Acrolein,trivial_name,,False,107-02-8,107-02-8,True,original,7847.0,HGINCPLSRVDWNT-UHFFFAOYSA-N,C=CC=O,,True,C3H4O,56.06,prop-2-enal,0.0,0.0,1.0,,-87.6,,,,,H225; H300; H311; H314; H330; H400; H410; H301; H318; H336; H350; H370; H372; H310,Flammable; Corrosive; Acute Toxic; Environmental Hazard; Irritant; Health Hazard,Danger,True,False,True,True,Not listed,,,,,,,,,https://pubchem.ncbi.nlm.nih.gov/compound/7847,pubchem,1.0,0.85,1.0,1.0,1.0,0.75,0.958,HIGH,False,False,False,False,False,False,False,False,False,[SMILES] SMILES from CIR fallback.
Acrylamide,15.8,12.1,12.8,,False,False,False,False,False,False,False,Acrylamide,systematic_chemical,,False,79-06-1,79-06-1,True,original,6579.0,HRPVXLWXLXDGHG-UHFFFAOYSA-N,NC(=O)C=C,,True,C3H5NO,71.08,prop-2-enamide,-0.7,1.0,1.0,,,,,,,H301; H312; H315; H317; H319; H332; H340; H350; H361; H372; H311; H360; H370; H402; H316,Acute Toxic; Health Hazard; Irritant,Danger,True,True,False,True,Not listed,,,,,,,,,https://pubchem.ncbi.nlm.nih.gov/compound/6579,pubchem,1.0,0.85,1.0,1.0,1.0,0.5,0.945,HIGH,False,False,False,False,False,False,False,False,False,[SMILES] SMILES from CIR fallback.
Acrylic Acid,16.6,6.4,10.0,,False,False,False,False,False,False,False,Acrylic Acid,systematic_chemical,,False,79-10-7,79-10-7,True,original,6581.0,NIXOWILDQLNWCW-UHFFFAOYSA-N,OC(=O)C=C,,True,C3H4O2,72.06,prop-2-enoic acid,0.3,1.0,2.0,141.7,12.6,,,,,H226; H302; H312; H314; H332; H400; H318; H335; H411; H311; H331; H370; H371; H372,Flammable; Corrosive; Irritant; Environmental Hazard; Acute Toxic; Health Hazard,Danger,False,False,True,True,Not listed,,,,,,,,,https://pubchem.ncbi.nlm.nih.gov/compound/6581,pubchem,1.0,0.85,1.0,1.0,1.0,1.0,0.97,HIGH,False,False,False,False,False,False,False,False,False,[SMILES] SMILES from CIR fallback.
Acrylonitrile,16.0,12.8,6.8,,False,False,False,False,False,False,False,Acrylonitrile,systematic_chemical,,False,107-13-1,107-13-1,True,original,7855.0,NLHHRLWOUZZQLW-UHFFFAOYSA-N,C=CC#N,,True,C3H3N,53.06,prop-2-enenitrile,0.2,0.0,1.0,,-83.5,,,,,H225; H301; H311; H315; H317; H318; H331; H335; H350; H411; H361; H310; H330; H336; H360; H370; H372; H401; H319; H341; H351,Flammable; Corrosive; Acute Toxic; Health Hazard; Environmental Hazard; Irritant,Danger,True,True,True,True,Not listed,,,,,,,,,https://pubchem.ncbi.nlm.nih.gov/compound/7855,pubchem,1.0,0.85,1.0,1.0,1.0,0.75,0.958,HIGH,False,False,False,False,False,False,False,False,False,[SMILES] SMILES from CIR fallback.
Acrylylchloride,16.2,11.6,5.4,,False,False,False,False,False,False,False,Acrylylchloride,trivial_name,,False,814-68-6,814-68-6,True,original,13140.0,HFBMWMNUJJDEQZ-UHFFFAOYSA-N,ClC(=O)C=C,,True,C3H3ClO,90.51,prop-2-enoyl chloride,1.4,0.0,1.0,74.9,,,,,,H225; H290; H302; H312; H314; H318; H330; H400,Flammable; Corrosive; Acute Toxic; Irritant; Environmental Hazard,Danger,False,False,True,True,Not listed,,,,,,,,,https://pubchem.ncbi.nlm.nih.gov/compound/13140,pubchem,1.0,0.85,1.0,1.0,1.0,0.75,0.958,HIGH,False,False,False,False,False,False,False,False,False,[SMILES] SMILES from CIR fallback.
Adenine,20.0,16.0,14.9,,False,False,False,False,False,False,False,Adenine,trivial_name,,False,73-24-5,73-24-5,True,original,190.0,GFFGJBXGBJISGV-UHFFFAOYSA-N,Nc1ncnc2nc[nH]c12,,True,C5H5N5,135.13,7H-purin-6-amine,-0.1,2.0,4.0,,,,,,,H301,Acute Toxic,Danger,False,False,False,True,Not listed,,,,,,,,,https://pubchem.ncbi.nlm.nih.gov/compound/190,pubchem,1.0,0.85,1.0,1.0,1.0,0.5,0.945,HIGH,False,False,False,False,False,False,False,False,False,[SMILES] SMILES from CIR fallback.
"Adipic Acid (1,6-Hexanedioic)",17.1,10.0,16.3,,False,False,False,False,False,False,False,Adipic Acid,systematic_chemical,"1,6-Hexanedioic",False,124-04-9,124-04-9,True,original,196.0,WNLRTRBMVRJNCN-UHFFFAOYSA-N,OC(=O)CCCCC(O)=O,,True,C6H10O4,146.14,hexanedioic acid,0.1,2.0,4.0,,,,,,,H319; H318; H402; H335; H316; H333; H372,Irritant; Corrosive; Health Hazard,Warning,False,False,False,False,Not listed,,,,,,,,,https://pubchem.ncbi.nlm.nih.gov/compound/196,pubchem,1.0,0.85,1.0,1.0,1.0,0.5,0.945,HIGH,False,False,False,False,False,False,False,False,False,[SMILES] SMILES from CIR fallback.
Adonitol,18.0,12.0,36.0,,False,False,False,False,False,False,False,Adonitol,trivial_name,,False,488-81-3,488-81-3,True,original,6912.0,HEBKCHPVOIAQTA-NGQZWQHPSA-N,OCC(O)C(O)C(O)CO,,True,C5H12O5,152.15,"(2R,4S)-pentane-1,2,3,4,5-pentol",-2.5,5.0,5.0,,101.6,,,,,,,,False,False,False,False,Not listed,,,,,,,,,https://pubchem.ncbi.nlm.nih.gov/compound/6912,pubchem,1.0,0.85,1.0,1.0,1.0,0.75,0.958,HIGH,True,False,False,False,False,False,False,False,False,[SMILES] SMILES from CIR fallback.
Adrenalin,20.5,8.7,19.9,,False,False,False,False,False,False,False,Adrenalin,trivial_name,,False,51-43-4,51-43-4,True,original,5816.0,UCTWMZQNUQWSLP-VIFPVBQESA-N,CNCC(O)c1ccc(O)c(O)c1,,True,C9H13NO3,183.20,"4-[(1R)-1-hydroxy-2-(methylamino)ethyl]benzene-1,2-diol",-1.4,4.0,4.0,,,,,,,H301; H310; H331,Acute Toxic,Danger,False,False,False,True,Not listed,,,,,,,,,https://pubchem.ncbi.nlm.nih.gov/compound/5816,pubchem,1.0,0.85,1.0,1.0,1.0,0.5,0.945,HIGH,True,False,False,False,False,False,False,False,False,[SMILES] SMILES from CIR fallback.
Allyl Acetate,15.7,4.5,8.0,,False,False,False,False,False,False,False,Allyl Acetate,systematic_chemical,,False,591-87-7,591-87-7,True,original,11584.0,FWZUNOYOVVKUNF-UHFFFAOYSA-N,CC(=O)OCC=C,,True,C5H8O2,100.12,prop-2-enyl acetate,1.0,0.0,2.0,104.6,,,,,,H225; H301; H312; H319; H330; H315; H373; H311; H314,Flammable; Acute Toxic; Irritant; Health Hazard; Corrosive,Danger,False,False,True,True,Not listed,,,,,,,,,https://pubchem.ncbi.nlm.nih.gov/compound/11584,pubchem,1.0,0.85,1.0,1.0,1.0,0.75,0.958,HIGH,False,False,False,False,False,False,False,False,False,[SMILES] SMILES from CIR fallback.
Allyl Acetic Acid,16.7,4.7,11.3,,False,False,False,False,False,False,False,Allyl Acetic Acid,systematic_chemical,,False,591-80-0,591-80-0,True,original,61138.0,HVAMZGADVCBITI-UHFFFAOYSA-N,OC(=O)CCC=C,,True,C5H8O2,100.12,pent-4-enoic acid,0.8,1.0,2.0,188.6,,,,,,H302; H314; H318,Corrosive; Irritant,Danger,False,False,False,False,Not listed,,,,,,,,,https://pubchem.ncbi.nlm.nih.gov/compound/61138,pubchem,1.0,0.85,1.0,1.0,1.0,0.75,0.958,HIGH,False,False,False,False,False,False,False,False,False,[SMILES] SMILES from CIR fallback.
