row,original_name,normalized_name,candidate_cas,reason
133,"1,4-Dichloro-2-Butene 1,4-Dichloro-but-2-ene","1,4-Dichloro-2-Butene 1,4-Dichloro-but-2-ene",,not found in PubChem
135,"1,4-Dichlorobutane 1,4-Dichloro-butane","1,4-Dichlorobutane 1,4-Dichloro-butane",,not found in PubChem
140,"1,4-Thioxane [1,4]Oxathiane","1,4-Thioxane [1,4]Oxathiane",,not found in PubChem
141,"1,4Diethylbenzene","1,4Diethylbenzene",,not found in PubChem
143,"1,5-Dichloropentane 1,5-Dichloro-pentane","1,5-Dichloropentane 1,5-Dichloro-pentane",,not found in PubChem
153,"1,9-Nonanediol Nonane-1,9-diol","1,9-Nonanediol Nonane-1,9-diol",,not found in PubChem
159,1-Bromo Propene (CIS) (Z)-1-Bromo-propene,1-Bromo Propene (CIS) (Z)-1-Bromo-propene,,not found in PubChem
164,1-Bromopropane 1-Bromo-propane,1-Bromopropane 1-Bromo-propane,,not found in PubChem
166,1-Butanethiol Butane-1-thiol,1-Butanethiol Butane-1-thiol,,not found in PubChem
169,1-Butene But-1-ene,1-Butene But-1-ene,,not found in PubChem
171,1-Butenyl Methyl Ether 4-Methoxy-but-1-ene,1-Butenyl Methyl Ether 4-Methoxy-but-1-ene,,not found in PubChem
174,1-Chloro Pentane 1-Chloro-pentane,1-Chloro Pentane 1-Chloro-pentane,,not found in PubChem
175,1-Chloro Vinyl Ethyl Ether,1-Chloro Vinyl Ethyl Ether,,not found in PubChem
179,1-Chloro-1-Nitroethane 1-Chloro-1-nitro-ethane,1-Chloro-1-Nitroethane 1-Chloro-1-nitro-ethane,,not found in PubChem
182,1-Chloro-2-Butene 1-Chloro-but-2-ene,1-Chloro-2-Butene 1-Chloro-but-2-ene,,not found in PubChem
189,1-Chlorohexane 1-Chloro-hexane,1-Chlorohexane 1-Chloro-hexane,,not found in PubChem
191,1-Chloronaphthalene 1-Chloro-naphthalene,1-Chloronaphthalene 1-Chloro-naphthalene,,not found in PubChem
193,1-Chloropropene 1-Chloro-propene,1-Chloropropene 1-Chloro-propene,,not found in PubChem
195,1-Decanol* Decan-1-ol,1-Decanol* Decan-1-ol,,not found in PubChem
197,1-Decene Dec-1-ene,1-Decene Dec-1-ene,,not found in PubChem
198,1-Ethoxy Ethoxy-2-Propanol,1-Ethoxy Ethoxy-2-Propanol,,not found in PubChem
199,1-Ethyl Vinyl Ethyl Ether,1-Ethyl Vinyl Ethyl Ether,,not found in PubChem
200,1-Ethyl Vinyl Ethyl Ether 2-Ethoxy-but-1-ene,1-Ethyl Vinyl Ethyl Ether 2-Ethoxy-but-1-ene,,not found in PubChem
201,1-Fluoro Acrylic Acid 2-Fluoro-acrylic acid,1-Fluoro Acrylic Acid 2-Fluoro-acrylic acid,,not found in PubChem
202,1-Fluoro Acrylonitrile 2-Fluoro-acrylonitrile,1-Fluoro Acrylonitrile 2-Fluoro-acrylonitrile,,not found in PubChem
205,1-Heptanol Heptan-1-ol,1-Heptanol Heptan-1-ol,,not found in PubChem
208,1-Heptene Hept-1-ene,1-Heptene Hept-1-ene,,not found in PubChem
210,1-Hexanol Hexan-1-ol,1-Hexanol Hexan-1-ol,,not found in PubChem
215,1-Methyl Cyclohexanol 1-Methyl-cyclohexanol,1-Methyl Cyclohexanol 1-Methyl-cyclohexanol,,not found in PubChem
216,1-Methyl Imidazole 1-Methyl-1H-imidazole,1-Methyl Imidazole 1-Methyl-1H-imidazole,,not found in PubChem
218,1-Methyl Naphthalene 1-Methyl-naphthalene,1-Methyl Naphthalene 1-Methyl-naphthalene,,not found in PubChem
220,1-Methyl Vinyl Methyl Ether 2-Methoxy-propene,1-Methyl Vinyl Methyl Ether 2-Methoxy-propene,,not found in PubChem
225,1-Naphthol Naphthalen-1-ol,1-Naphthol Naphthalen-1-ol,,not found in PubChem
227,1-Nitropropane 1-Nitro-propane,1-Nitropropane 1-Nitro-propane,,not found in PubChem
230,1-Nonanol Nonan-1-ol,1-Nonanol Nonan-1-ol,,not found in PubChem
232,1-Nonene Non-1-ene,1-Nonene Non-1-ene,,not found in PubChem
236,1-Octanol* Octan-1-ol,1-Octanol* Octan-1-ol,,not found in PubChem
238,1-Octene Oct-1-ene,1-Octene Oct-1-ene,,not found in PubChem
242,1-Pentene Pent-1-ene,1-Pentene Pent-1-ene,,not found in PubChem
247,1-Propanethiol Propane-1-thiol,1-Propanethiol Propane-1-thiol,,not found in PubChem
251,1-Tetradecene Tetradec-1-ene,1-Tetradecene Tetradec-1-ene,,not found in PubChem
252,1Chloropropane,1Chloropropane,,not found in PubChem
253,1Methoxy2Propanol,1Methoxy2Propanol,,not found in PubChem
254,1Methyl2Pyrrolidinone,1Methyl2Pyrrolidinone,,not found in PubChem
255,1Phenoxy2Propanol,1Phenoxy2Propanol,,not found in PubChem
256,1Tridecanol,1Tridecanol,,not found in PubChem
259,"2,2,2-Trifluoro Ethano 2,2,2-Trifluoro-ethano","2,2,2-Trifluoro Ethano 2,2,2-Trifluoro-ethano",,not found in PubChem
268,"2,2ButoxyethoxyEthylAcetate","2,2ButoxyethoxyEthylAcetate",,not found in PubChem
271,"2,3-Benzofuran (Cumaron) Benzofuran","2,3-Benzofuran (Cumaron) Benzofuran",,not found in PubChem
273,"2,3-Butadiene-1-ol Buta-2,3-dien-1-ol","2,3-Butadiene-1-ol Buta-2,3-dien-1-ol",,not found in PubChem
280,"2,3-Dichloropropene 2,3-Dichloro-propene","2,3-Dichloropropene 2,3-Dichloro-propene",,not found in PubChem
283,"2,3-Dimethyl-1-Butene 2,3-Dimethyl-but-1-ene","2,3-Dimethyl-1-Butene 2,3-Dimethyl-but-1-ene",,not found in PubChem
287,"2,4,6-Tribromo Phenol 2,4,6-Tribromo-phenol","2,4,6-Tribromo Phenol 2,4,6-Tribromo-phenol",,not found in PubChem
290,"2,4,6-Trichlorophenol 2,4,6-Trichloro-phenol","2,4,6-Trichlorophenol 2,4,6-Trichloro-phenol",,not found in PubChem
297,"2,4-Dichlorophenol 2,4-Dichloro-phenol","2,4-Dichlorophenol 2,4-Dichloro-phenol",,not found in PubChem
305,"2,5-Dichlorophenol 2,5-Dichloro-phenol","2,5-Dichlorophenol 2,5-Dichloro-phenol",,not found in PubChem
315,"2,6-Dichlorophenol 2,6-Dichloro-phenol","2,6-Dichlorophenol 2,6-Dichloro-phenol",,not found in PubChem
318,"2,6-Dimethoxy Phenol 2,6-Dimethoxy-phenol","2,6-Dimethoxy Phenol 2,6-Dimethoxy-phenol",,not found in PubChem
320,"2,6-Dimethyl Phenol 2,6-Dimethyl-phenol","2,6-Dimethyl Phenol 2,6-Dimethyl-phenol",,not found in PubChem
323,"2,6Dimethyl4Heptanone","2,6Dimethyl4Heptanone",,not found in PubChem
327,2-(Diethylamino) Ethanol 2-Diethylamino-ethanol,2-(Diethylamino) Ethanol 2-Diethylamino-ethanol,,not found in PubChem
333,2-Amino Pyridine Pyridin-2-ylamine,2-Amino Pyridine Pyridin-2-ylamine,,not found in PubChem
335,2-Bromo Allyl Alcohol 2-Bromo-prop-2-en-1-ol,2-Bromo Allyl Alcohol 2-Bromo-prop-2-en-1-ol,,not found in PubChem
337,2-Bromo Propene 2-Bromo-propene,2-Bromo Propene 2-Bromo-propene,,not found in PubChem
340,2-Bromobutane 2-Bromo-butane,2-Bromobutane 2-Bromo-butane,,not found in PubChem
342,2-Bromopropane 2-Bromo-propane,2-Bromopropane 2-Bromo-propane,,not found in PubChem
344,2-Bromothiophene 2-Bromo-thiophene,2-Bromothiophene 2-Bromo-thiophene,,not found in PubChem
348,2-Butene (cis) (Z)-But-2-ene,2-Butene (cis) (Z)-But-2-ene,,not found in PubChem
351,2-Butyl Octanol 2-Butyl-octan-1-ol,2-Butyl Octanol 2-Butyl-octan-1-ol,,not found in PubChem
353,2-Butynedinitrile But-2-ynedinitrile,2-Butynedinitrile But-2-ynedinitrile,,not found in PubChem
355,2-Chloro Allyl Alcohol 2-Chloro-prop-2-en-1-ol,2-Chloro Allyl Alcohol 2-Chloro-prop-2-en-1-ol,,not found in PubChem
362,2-Chloroacetamide 2-Chloro-acetamide,2-Chloroacetamide 2-Chloro-acetamide,,not found in PubChem
366,2-Chlorobutane 2-Chloro-butane,2-Chlorobutane 2-Chloro-butane,,not found in PubChem
368,2-Chlorocyclohexanone 2-Chloro-cyclohexanone,2-Chlorocyclohexanone 2-Chloro-cyclohexanone,,not found in PubChem
374,2-Chlorophenol 2-Chloro-phenol,2-Chlorophenol 2-Chloro-phenol,,not found in PubChem
376,2-Chloropropenal 2-Chloro-propenal,2-Chloropropenal 2-Chloro-propenal,,not found in PubChem
378,2-Chloropropenoic Acid 2-Chloro-acrylic acid,2-Chloropropenoic Acid 2-Chloro-acrylic acid,,not found in PubChem
