name,cas_number,smiles,molecular_formula,delta_d,delta_p,delta_h,molecular_weight,boiling_point,density,molar_volume,category,ghs_hazard,confidence,source_count,source,source_url,hidden
Dibutyl phthalate,84-74-2,,C16H22O4,17.8,8.6,4.1,278.35,,,266.0,ester,,0.75,1,accudyne_solvents,,
"Dichloromethane (methylene chloride, DCM)",75-09-2,,CH2Cl2,18.2,6.3,6.1,84.93,,,63.9,halogenated,,0.75,1,accudyne_solvents,,
Diethyl ether (ethoxyethane),60-29-7,,C4H10O,14.5,2.9,5.1,74.12,,,104.8,ether,,0.75,1,accudyne_solvents,,
Diethylene glycol,111-46-6,,C4H10O3,16.6,12.0,20.7,106.12,,,94.9,alcohol,,0.75,1,accudyne_solvents,,
Diiodomethane (methylene iodide),75-11-6,,CH2I2,17.8,3.9,5.5,267.84,,,80.5,halogenated,,0.75,1,accudyne_solvents,,
Dimethoxymethane (methylal),109-87-5,,C3H8O2,15.0,1.8,8.6,76.1,,,169.4,other,,0.75,1,accudyne_solvents,,
Dimethyl sulfoxide (DMSO),67-68-5,,C2H6OS,18.4,16.4,10.2,78.13,,,71.3,sulfoxide,,0.75,1,accudyne_solvents,,
Dimethylethanolamine (2-(dimethylamino)ethanol),108-01-0,,C4H11NO,16.1,9.2,15.3,89.14,,,101.1,alcohol,,0.75,1,accudyne_solvents,,
Dioctyl hexanedioate (dioctyl adipate),103-23-1,,C22H42O4,16.7,2.0,5.1,370.57,,,400.0,ester,,0.75,1,accudyne_solvents,,
Epichlorohydrin (chloromethyloxirane),106-89-8,,C3H5ClO,18.9,7.6,6.6,92.52,,,78.4,halogenated,,0.75,1,accudyne_solvents,,
Ethanol (ethyl alcohol),64-17-5,,C2H6O,15.8,8.8,19.4,46.07,,,58.5,alcohol,,0.75,1,accudyne_solvents,,
Ethyl acetate (ethyl ethanoate),141-78-6,,C4H8O2,15.8,5.3,7.2,88.11,,,98.5,ester,,0.75,1,accudyne_solvents,,
Ethylbenzene,100-41-4,,C8H10,17.8,0.6,1.4,106.17,,,123.1,aromatic,,0.75,1,accudyne_solvents,,
Ethylene glycol,107-21-1,,C2H6O2,17.0,11.0,26.0,62.07,,,55.8,alcohol,,0.75,1,accudyne_solvents,,
Formamide (methanomide),75-12-7,,CH3NO,17.2,26.2,19.0,45.04,,,39.8,amide,,0.75,1,accudyne_solvents,,
Glycerol,56-81-5,,C3H8O3,17.4,12.1,29.3,92.09,,,73.3,alcohol,,0.75,1,accudyne_solvents,,
Hexadecane,544-76-3,,C16H34,16.3,0.0,0.0,226.44,,,294.1,hydrocarbon,,0.75,1,accudyne_solvents,,
Hydrazine,302-01-2,,H4N2,14.2,8.3,8.9,32.04,,,32.1,other,,0.75,1,accudyne_solvents,,
Hydrogen peroxide,7722-84-1,,H2O2,15.5,12.2,42.7,34.02,,,23.2,other,,0.75,1,accudyne_solvents,,
Isophorone,78-59-1,,C9H14O,16.6,8.2,7.4,138.21,,,150.5,ketone,,0.75,1,accudyne_solvents,,
Isopropyl acetate (isopropyl ethanoate),108-21-4,,C5H10O2,14.9,4.5,8.2,102.13,,,117.1,ester,,0.75,1,accudyne_solvents,,
Methanoic acid (formic acid),64-18-6,,CH2O2,14.3,11.9,16.6,46.03,,,37.8,acid,,0.75,1,accudyne_solvents,,
Methanol (methyl alcohol),67-56-1,,CH4O,15.1,12.3,22.3,32.04,,,40.7,alcohol,,0.75,1,accudyne_solvents,,
Methyl acetate,79-20-9,,C3H6O2,15.5,7.2,7.6,74.08,,,79.7,ester,,0.75,1,accudyne_solvents,,
