number,polymer_name,category,dispersion,polar,hydrogen_bonding,interaction_radius
309,PVEE,Vinyl Resins - Solvent Range,16.0,4.0,12.0,14.0
310,FORMVAR 7/70E PVFORMAL,Vinyl Resins - Solvent Range,22.2,12.6,14.2,14.0
311,FORMVAR 15/95E,Vinyl Resins - Solvent Range,22.2,12.6,14.2,14.0
312,PVIBE,Vinyl Resins - Solvent Range,16.0,1.0,8.0,10.0
313,SARAN F-120 VCL2/AN?,Vinyl Resins - Solvent Range,28.8,16.8,0.8,23.7
314,SARAN F-220 ?,Vinyl Resins - Solvent Range,28.8,16.8,0.8,23.7
315,SINCLAIR 3840A,Vinyl Resins - Solvent Range,18.4,4.0,9.6,7.3
316,VA/EHA/MA 63/33/4,Vinyl Resins - Solvent Range,17.7,6.3,7.7,5.3
317,VA/EHA/CYC/MAA/76/12/8/4,Vinyl Resins - Solvent Range,21.2,12.4,13.0,12.6
318,VA/EA/CY 70/20/10,Vinyl Resins - Solvent Range,20.0,12.0,11.0,15.0
319,VBE/AN/MAA 46/27/27,Vinyl Resins - Solvent Range,18.9,11.7,11.1,9.6
320,VBE/MA/MAC46/27/27,Vinyl Resins - Solvent Range,19.4,13.0,13.8,12.3
321,VDC/AA 75/25 ?,Vinyl Resins - Solvent Range,20.4,11.0,0.8,11.7
322,VINYLITE AYAA PVAC,Vinyl Resins - Solvent Range,22.9,18.3,7.7,20.4
323,VINYLITE VAGH,Vinyl Resins - Solvent Range,17.0,7.8,6.8,7.1
324,VINYLITE VMCH,Vinyl Resins - Solvent Range,18.3,9.7,7.7,8.5
325,VINYLITE VXCC,Vinyl Resins - Solvent Range,18.0,9.4,4.6,8.4
326,VINYLITE VYHH,Vinyl Resins - Solvent Range,19.0,11.0,5.0,10.0
327,VINYLITE VYLF,Vinyl Resins - Solvent Range,18.0,9.4,4.6,8.4
328,VINYLITE XYHL PVB UTYRAL,Vinyl Resins - Solvent Range,19.0,9.0,15.0,12.0
329,VINYLITE XYSG PVB UTYRAL,Vinyl Resins - Solvent Range,19.0,9.0,15.0,12.0
330,VYSET 69,Vinyl Resins - Solvent Range,17.9,3.5,7.5,5.9
331,ACRYLAMIDE MONOMER,Miscellaneous - Solvent Range,16.9,18.1,19.9,17.0
332,BAKELITE SULFONE P-47,Miscellaneous - Solvent Range,20.0,3.0,6.0,3.0
333,BECKOLIN 27 MODIF OIL,Miscellaneous - Solvent Range,11.4,0.0,3.0,18.1
334,PEO 4000 ? SAMPLES HEA TED,Miscellaneous - Solvent Range,22.2,11.2,13.2,17.1
335,CHLORINATED RUBBER,Miscellaneous - Solvent Range,18.0,6.0,5.0,7.0
336,CONOCO H-35 HYDROCARBON M,Miscellaneous - Solvent Range,11.4,0.0,3.0,18.1
337,DAMMAR GUM DEWAXED,Miscellaneous - Solvent Range,19.0,2.0,9.0,9.0
338,EPOCRYL E-11 ?,Miscellaneous - Solvent Range,17.3,12.9,12.1,8.5
339,ESTANE X-7 ?? DIO XANE ONLY,Miscellaneous - Solvent Range,19.0,1.8,7.4,1.0
340,HEXADECYL MONOESTER TRIME,Miscellaneous - Solvent Range,19.0,11.6,14.0,11.9
341,HYDR SPERM OIL WX135,Miscellaneous - Solvent Range,20.0,4.0,2.0,5.0
342,HYPALON 20 CHL SULF PE,Miscellaneous - Solvent Range,17.8,3.2,4.4,4.1
343,HYPALON 30,Miscellaneous - Solvent Range,17.8,3.4,3.2,5.1
344,KETONE RESIN S588,Miscellaneous - Solvent Range,18.0,10.8,13.2,12.2
345,SANTOLITE MHP ARYLSULFONA,Miscellaneous - Solvent Range,18.4,12.0,8.4,10.6
346,pTOLSULFONAMIDE-FORMALDEH,Miscellaneous - Solvent Range,24.6,18.6,16.4,20.9
347,VYHH-NIF REPT,Polymer Solubility Data from Various Sources,17.4,9.9,6.7,7.5
348,PVF? (DMF ONLY GOOD SOLVENT),Polymer Solubility Data from Various Sources,17.4,13.7,11.3,2.0
349,PES SOL,Polymer Solubility Data from Various Sources,19.6,10.8,9.2,6.2
350,LARD 37C,Biologically Interesting Systems,15.9,1.16,5.41,12.03
351,LARD 23C,Biologically Interesting Systems,17.69,2.66,4.36,7.98
352,1%IN WATER -AMINES,Biologically Interesting Systems,15.07,20.44,16.5,18.12
353,1%IN WATER +AMINES,Biologically Interesting Systems,14.96,18.33,15.15,16.22
354,BLOOD SERUM,Biologically Interesting Systems,23.2,22.73,30.6,20.48
355,SUCROSE,Biologically Interesting Systems,21.67,26.26,29.62,20.44
356,UREA,Biologically Interesting Systems,20.9,18.7,26.4,19.42
357,PSORIASIS SCALES,Biologically Interesting Systems,24.64,11.94,12.92,19.04
358,LIGNIN,Biologically Interesting Systems,20.61,13.88,15.25,11.83
359,CHOLESTEROL,Biologically Interesting Systems,20.4,2.8,9.4,12.6
360,CHLOROPHYLL,Biologically Interesting Systems,20.2,15.6,18.2,11.1
361,CELLULOSE-PAPER STRENGTH,Biologically Interesting Systems,25.4,18.6,24.8,21.7
362,PSU ULTRASON S,Polysulfone PSU,19.7,8.3,8.3,8.0
363,BAREX 210 CR,Barex,20.1,9.1,12.7,10.9
364,BAREX 210 CR-STYRENE,Barex,17.7,8.9,10.9,6.4
365,PARALOID B72,Polymers of Interest for Conservation of Paintings,17.6,7.4,5.6,9.4
366,ESTIMATE DRIED OIL,Polymers of Interest for Conservation of Paintings,16.0,6.0,7.0,5.0
367,DAMMAR DEWAXED,Polymers of Interest for Conservation of Paintings,19.0,2.0,9.0,9.0
368,LDPE PERM>80,Permeation of LDPE by Organic Liquids,16.5,4.5,0.5,6.0
369,LDPE PERM<0.8,Permeation of LDPE by Organic Liquids,15.3,5.3,2.5,10.1
370,TOLONATE HDT (RH-POULENC),Tolonate Solubility,19.0,11.0,3.0,12.0
371,TOLONATE HDB (RH-POULENC),Tolonate Solubility,19.0,11.0,2.0,11.3
372,R ACM,Chemical Resistance of Elastomers,16.8,11.8,11.6,17.0
373,R BUTYL,Chemical Resistance of Elastomers,18.0,0.0,3.0,9.0
374,R ECO,Chemical Resistance of Elastomers,21.3,8.1,6.1,12.0
375,R CSM,Chemical Resistance of Elastomers,28.0,14.0,3.4,28.3
376,R EBONITE (DATA FIT 0.722),Chemical Resistance of Elastomers,18.7,6.1,2.7,6.6
377,R ETHYLENE/PROPYLENE,Chemical Resistance of Elastomers,16.6,0.0,5.2,9.1
378,R EPDM,Chemical Resistance of Elastomers,18.6,-3.4,4.4,10.7
379,R FQ FL/SI,Chemical Resistance of Elastomers,15.9,20.1,6.9,16.8
380,R FKM (VIT ON) (0.76 DATA FIT),Chemical Resistance of Elastomers,11.6,23.0,5.0,21.6
381,R NR NAT RUB,Chemical Resistance of Elastomers,20.8,1.8,3.6,14.0
382,R NBR,Chemical Resistance of Elastomers,19.8,17.8,3.2,19.0
383,R CR CHLOROPRENE,Chemical Resistance of Elastomers,24.6,8.6,6.4,20.4
384,R AU ESTER PU,Chemical Resistance of Elastomers,17.9,13.3,10.7,17.1
385,R PEU ETHER PU,Chemical Resistance of Elastomers,17.9,13.3,10.7,17.1
386,R T SULPHIDE,Chemical Resistance of Elastomers,25.3,17.3,6.7,23.6
387,R Q SILICONE (0.748 D ATA FIT),Chemical Resistance of Elastomers,13.8,5.0,1.2,14.3
388,R SBR,Chemical Resistance of Elastomers,17.2,6.0,4.6,9.8
389,R TFP TETFLPROP (0.744 DATA FIT),Chemical Resistance of Elastomers,16.6,6.8,0.6,7.9
390,R ABS,Chemical Resistance of Plastics,17.6,8.6,6.4,10.9
391,R CELLULOSE ACETATE,Chemical Resistance of Plastics,14.9,7.1,11.1,12.4
392,R CHLORINATED PVC,Chemical Resistance of Plastics,17.5,6.5,5.5,6.3
393,R DIALLYLPHTHALATE,Chemical Resistance of Plastics,22.2,12.2,8.6,15.8
394,R POM ACETAL,Chemical Resistance of Plastics,17.2,9.0,9.8,5.3
395,R PA12,Chemical Resistance of Plastics,18.5,8.1,9.1,6.3
396,R PA66,Chemical Resistance of Plastics,18.2,8.8,10.8,5.2
397,R POLYAMIDEIMIDE,Chemical Resistance of Plastics,18.5,5.7,8.7,4.2
398,R POLYBUTYLENETEREPH,Chemical Resistance of Plastics,18.0,5.6,8.4,4.5
399,R POLYCARBONATE,Chemical Resistance of Plastics,19.1,10.9,5.1,12.1
400,R HDPE/LDPE,Chemical Resistance of Plastics,17.5,4.3,8.3,3.9
401,R PET,Chemical Resistance of Plastics,19.1,6.3,9.1,4.8
402,R POLYIMIDES,Chemical Resistance of Plastics,24.3,19.5,22.9,21.6
403,R PMMA,Chemical Resistance of Plastics,19.3,16.7,4.7,17.4
404,R TPX,Chemical Resistance of Plastics,18.8,1.4,6.4,7.9
405,R POLYPHENYLENEOXIDE,Chemical Resistance of Plastics,16.9,8.9,2.7,11.7
406,R POLYSULPHONE,Chemical Resistance of Plastics,19.8,11.2,6.2,11.3
407,R POLYPROPYLENE,Chemical Resistance of Plastics,17.2,5.6,-0.4,4.5
408,R EPOXY COLD CURING,Chemical Resistance of Plastics,16.8,10.8,8.8,8.2
409,R EPOXY HOT CURING,Chemical Resistance of Plastics,18.3,12.3,9.7,7.3
410,R HET RESIN,Chemical Resistance of Plastics,17.5,11.3,8.3,8.6
411,R ISOPHTHALIC,Chemical Resistance of Plastics,19.8,17.4,4.2,18.0
412,R TEREPHTALIC,Chemical Resistance of Plastics,19.8,17.4,4.2,18.0
413,EPIKOTE 828 (60%),Polymers at Different Test Concentrations - (Conc) Epoxy Polymers,16.6,14.0,2.8,14.9
414,EPIKOTE 828 (30%),Polymers at Different Test Concentrations - (Conc) Epoxy Polymers,16.3,16.4,1.9,16.7
415,EPIKOTE 1001 (60%),Polymers at Different Test Concentrations - (Conc) Epoxy Polymers,15.8,16.3,3.3,16.4
416,EPIKOTE 1001 (40%),Polymers at Different Test Concentrations - (Conc) Epoxy Polymers,16.3,13.1,6.3,10.9
417,EPIKOTE 1001 (20%),Polymers at Different Test Concentrations - (Conc) Epoxy Polymers,19.8,13.6,8.9,12.0
418,EPIKOTE 1001 (10%),Polymers at Different Test Concentrations - (Conc) Epoxy Polymers,18.1,11.4,9.0,9.1
419,EPIKOTE 1004 (60%),Polymers at Different Test Concentrations - (Conc) Epoxy Polymers,17.7,10.1,7.6,9.8
420,EPIKOTE 1004 (30%),Polymers at Different Test Concentrations - (Conc) Epoxy Polymers,18.5,9.3,8.0,9.6
421,EPIKOTE 1007 (30%),Polymers at Different Test Concentrations - (Conc) Epoxy Polymers,18.6,10.6,8.1,8.8
422,EPIKOTE 1009 (60%),Polymers at Different Test Concentrations - (Conc) Epoxy Polymers,17.0,9.6,8.5,7.6
423,EPIKOTE 1009 (30%),Polymers at Different Test Concentrations - (Conc) Epoxy Polymers,19.8,10.6,10.3,9.7
424,EPIKOTE 1009 (10%),Polymers at Different Test Concentrations - (Conc) Epoxy Polymers,19.0,9.1,10.7,8.0
425,PIBMA (10%),Acrylics,17.0,4.6,7.6,9.5
426,PIBMA (30%),Acrylics,17.1,5.9,0.7,7.3
427,PMMA (10%),Acrylics,17.8,10.4,2.9,9.6
428,PMMA (30%),Acrylics,17.2,7.2,3.5,4.8
429,PBMA (10%),Acrylics,20.6,3.5,7.2,12.8
430,PBMA (30%),Acrylics,18.1,5.7,0.0,8.5
431,PMMA (10%),Acrylics,17.6,10.1,5.8,9.4
432,PMMA (30%),Acrylics,17.5,5.5,3.8,4.5
433,PEMA (10%),Acrylics,16.5,8.7,5.0,10.4
434,PEMA (30%),Acrylics,16.9,7.8,0.5,7.3
435,CRODA AC500 THERMOSET (10%),Acrylics,17.8,6.4,4.7,10.7
436,CRODA AC500 THERMOSET (30%),Acrylics,21.2,1.4,10.7,12.3
437,CRODA AC550 THERMOSET (10%),Acrylics,16.3,10.6,7.4,12.9
438,CRODA AC550 THERMOSET (30%),Acrylics,16.3,10.6,7.4,12.9
439,LUMFLON LF200 (10%),Fluorinated Polyethers,18.5,5.4,6.9,9.9
440,LUMFLON LF200 (30%),Fluorinated Polyethers,20.1,4.4,3.2,8.5
441,LUMFLON LF916 (10%),Fluorinated Polyethers,17.5,6.8,10.5,12.5
442,LUMFLON LF916 (30%),Fluorinated Polyethers,18.1,3.9,8.3,8.8
443,PLASTOKYD S27 (30%),Acrylic Modified Alkyd,20.1,5.7,5.3,20.0
444,PLASTOKYD SC140 (30%),Acrylic Modified Alkyd,25.2,9.2,3.7,20.0
445,PLASTOKYD SC400 (30%),Acrylic Modified Alkyd,23.7,0.5,10.3,20.0
446,PLASTOKYD AC4X (30%),Acrylic Modified Alkyd,23.9,7.8,8.8,19.9
447,ALLOPRENE R10 (10%),Chlorinated Rubber,19.5,9.2,6.9,7.5
448,ALLOPRENE R10 (30%),Chlorinated Rubber,17.9,5.6,6.7,5.8
449,ALLOPRENE R10 (60%),Chlorinated Rubber,19.6,6.5,5.8,9.1
450,HYPALON 20 (30%),Chlorosulfonated Polyethylene,20.3,3.2,0.7,11.3
451,POLYISOPRENE SW,Polyisoprene Swelling,17.0,4.0,4.0,7.3
452,BROMOBUTYL RUBBER S,Bromobutyl Rubber Swelling,17.6,1.7,2.0,6.0
453,BROMOBUTYL RUBBER L,Bromobutyl Rubber Swelling,17.0,3.4,2.0,6.0
454,NEOPRENE CR,Supplemental Chemical Resistance Corrlations,18.1,4.3,6.7,8.9
455,HYTREL +/- OK,Supplemental Chemical Resistance Corrlations,24.2,14.6,13.2,18.8
456,HYTREL +/- NOT OK,Supplemental Chemical Resistance Corrlations,26.4,18.8,7.4,26.3
457,HYPALON +/- OK,Supplemental Chemical Resistance Corrlations,18.4,3.6,6.4,9.0
458,HYPALON +/- NOT OK,Supplemental Chemical Resistance Corrlations,18.4,5.6,6.0,9.4
459,EVA 4055 SOL,Ethylene Vinylacetate (EVA) Solubility,17.7,3.5,3.7,4.7
460,TOPAS 6013 SOL,COC Solubility,18.0,3.0,2.0,5.0
461,CZ RESIN SOL,COC Solubility,18.0,1.0,3.0,4.0
462,KAURI GUM,Miscellaneous,18.7,8.1,13.0,8.2
463,POLYVINYLPYRROLIDONE (PVP),Miscellaneous,21.4,11.6,21.6,17.3
464,PALM OIL,Miscellaneous,17.7,3.5,3.7,4.7
465,BETHOXAZIN,Miscellaneous,22.4,7.6,10.8,13.9
466,CARBON-60,Miscellaneous,19.7,2.9,2.7,3.9
