name,cas_number,delta_d,delta_p,delta_h,radius,type,confidence,source_count,source
VINYLITE VMCH,,17.60,11.10,6.40,8.60,,0.700,1,hspip_polymers
VINYLITE VYHH,,17.40,10.20,5.90,7.80,,0.700,1,hspip_polymers
VINYLITE VYLF,,18.10,10.30,4.20,8.30,,0.700,1,hspip_polymers
ALFTALAT AC 366,,18.60,10.00,5.00,10.40,,0.700,1,hspip_polymers
ALFTALAT AM 756,,23.00,2.20,4.20,16.90,,0.700,1,hspip_polymers
ALFTALAT AN 896,,22.90,15.20,7.60,18.10,,0.700,1,hspip_polymers
ALFTALAT AN 950,,22.60,13.80,8.10,17.10,,0.700,1,hspip_polymers
ALFTALAT AT 316,,20.50,9.30,9.10,12.40,,0.700,1,hspip_polymers
ALFTALAT AT 576,,19.20,5.30,6.30,11.90,,0.700,1,hspip_polymers
ALKYDAL F 261 HS,,23.60,1.00,7.60,19.00,,0.700,1,hspip_polymers
ALKYDAL F 41,,20.60,4.60,5.50,12.60,,0.700,1,hspip_polymers
DUROFTAL T 354,,17.30,4.20,7.90,9.30,,0.700,1,hspip_polymers
DYNAPOL L 812,,22.60,13.10,5.80,16.807248,,0.700,1,hspip_polymers
DYNAPOL L 850,,20.00,6.20,7.00,9.50,,0.700,1,hspip_polymers
PLEXAL C-34,,18.50,9.21,4.91,10.64,,0.700,1,hspip_polymers
SOALKYD 1935-EGAX,,18.00,11.60,8.50,9.00,,0.700,1,hspip_polymers
VESTURIT BL 908,,18.80,12.00,6.00,11.50,,0.700,1,hspip_polymers
VESTURIT BL 915,,17.70,13.00,7.60,11.50,,0.700,1,hspip_polymers
BE 370,,20.70,6.10,12.70,14.80,,0.700,1,hspip_polymers
CYMEL 300,,19.35,12.83,12.87,9.82,,0.700,1,hspip_polymers
CYMEL 325,,25.50,15.20,9.50,22.20,,0.700,1,hspip_polymers
DYNOMIN MM 9,,18.80,14.00,12.30,10.50,,0.700,1,hspip_polymers
DYNOMIN UM 15,,19.90,15.80,13.40,11.70,,0.700,1,hspip_polymers
SOAMIN M 60,,15.90,8.10,6.50,10.60,,0.700,1,hspip_polymers
SYNRESIN A 560,,22.10,5.00,11.30,15.50,,0.700,1,hspip_polymers
PLASTOPAL H,,20.81,8.29,14.96,12.69,,0.700,1,hspip_polymers
UFORMITE MX-61,,22.70,2.80,5.40,16.20,,0.700,1,hspip_polymers
URACRON 15,,19.20,7.70,5.70,10.60,,0.700,1,hspip_polymers
PARALOID P 400,,19.20,9.60,9.30,12.20,,0.700,1,hspip_polymers
PARALOID P 410,,19.60,9.10,6.80,12.20,,0.700,1,hspip_polymers
PARALOID EXPER. RES. QR 954,,18.40,9.80,10.00,12.40,,0.700,1,hspip_polymers
BAYSILON UD 125,,19.40,9.90,10.10,6.90,,0.700,1,hspip_polymers
