name,cas_number,smiles,molecular_formula,delta_d,delta_p,delta_h,molecular_weight,boiling_point,density,category,cf_class,cf_subclass,name_iupac,name_common,name_acronyms,ghs_hazard,confidence,source,source_url
"2,2,2-Trifluoro Ethanol",75-89-8,OCC(F)(F)F,C2H3F3O,15.4,8.3,16.4,100.04,,,alcohol,Halohydrins,Fluorohydrins,"2,2,2-trifluoroethanol","2,2,2-Trifluoro Ethanol",,H226; H301; H312; H315; H318; H331; H332; H335; H360; H373,0.958,hsp_solvents_2,https://pubchem.ncbi.nlm.nih.gov/compound/6409
"2,2,4-Trimethyl-1,3-Pentanediol Monoisobutyrate (Texanol)",25265-77-4,,,15.1,6.1,9.8,,,,alcohol,Organooxygen compounds,Alcohols and polyols,"(3-hydroxy-2,2,4-trimethylpentyl) 2-methylpropanoate","2,2,4-Trimethyl-1,3-Pentanediol Monoisobutyrate (Texanol)",,,0.7,hsp_solvents_2,
"2,2,4-Trimethylpentane",540-84-1,CC(C)CC(C)(C)C,C8H18,14.1,0.0,0.0,114.23,,,hydrocarbon,Saturated hydrocarbons,Alkanes,"2,2,4-trimethylpentane","2,2,4-Trimethylpentane",,H225; H304; H315; H336; H400; H410; H224; H302; H335,0.7,hsp_solvents_2,
"2,2,6,6-Tetrachlorocyclohexanone",3776-30-5,ClC1(Cl)CCCC(Cl)(Cl)C1=O,C6H6Cl4O,19.5,14.0,6.3,235.9,,,ether,Organooxygen compounds,Carbonyl compounds,"2,2,6,6-tetrachlorocyclohexan-1-one","2,2,6,6-Tetrachlorocyclohexanone",,H302,0.945,hsp_solvents_2,https://pubchem.ncbi.nlm.nih.gov/compound/77407
"2,2-Dimethyl-1-Propanol (Neopentyl Alc.)",75-84-3,,,15.6,6.5,13.5,,,,alcohol,Organooxygen compounds,Alcohols and polyols,"2,2-dimethylpropan-1-ol","2,2-Dimethyl-1-Propanol (Neopentyl Alc.)",,,0.7,hsp_solvents_2,
"2,3,4-Trifluoro Nitrobenzene",771-69-7,[O-][N+](=O)c1ccc(F)c(F)c1F,C6H2F3NO2,19.5,7.7,3.5,177.08,,,aromatic,Benzene and substituted derivatives,Nitrobenzenes,"1,2,3-trifluoro-4-nitrobenzene","2,3,4-Trifluoro Nitrobenzene",,H302; H311; H312; H315; H317; H319; H332; H335; H373,0.945,hsp_solvents_2,https://pubchem.ncbi.nlm.nih.gov/compound/69871
"2,3-Benzofuran (Cumaron)",271-89-6,,,18.7,5.1,5.7,,,,ether,Benzofurans,,1-benzofuran,"2,3-Benzofuran (Cumaron)",,,0.7,hsp_solvents_2,
"2,3-Butadiene-1-ol",18913-31-0,OC[CH]=[C]=[CH2],C4H6O,16.2,6.6,16.8,70.09,,,ether,Organooxygen compounds,Alcohols and polyols,"buta-2,3-dien-1-ol","2,3-Butadiene-1-ol",,H226; H315; H319; H335,0.945,hsp_solvents_2,https://pubchem.ncbi.nlm.nih.gov/compound/140447
"2,3-Butylene Carbonate",4437-70-1,CC1OC(=O)OC1C,C5H8O3,18.0,16.8,3.1,116.11,,,ester,Organic carbonic acids and derivatives,Carbonic acid diesters,"4,5-dimethyl-1,3-dioxolan-2-one","2,3-Butylene Carbonate",,,0.945,hsp_solvents_2,https://pubchem.ncbi.nlm.nih.gov/compound/536113
"2,3-Dibromoprene",34994-48-4,,C4H4Br2,17.7,11.8,6.4,211.88,,,halogenated,Vinyl halides,Vinyl bromides,"2,3-dibromobuta-1,3-diene","2,3-Dibromoprene",,,0.808,hsp_solvents_2,https://pubchem.ncbi.nlm.nih.gov/compound/21863425
