name,cas_number,smiles,molecular_formula,delta_d,delta_p,delta_h,molecular_weight,boiling_point,density,category,cf_class,cf_subclass,name_iupac,name_common,name_acronyms,ghs_hazard,confidence,source,source_url
2-Butene (Cis),590-18-1,,,14.7,1.3,4.1,,,,hydrocarbon,Unsaturated hydrocarbons,Unsaturated aliphatic hydrocarbons,(Z)-but-2-ene,2-Butene (Cis),,,0.7,hsp_solvents_2,
2-Butene (Trans),624-64-6,CC=CC,C4H8,14.6,0.0,2.9,56.11,,,hydrocarbon,Unsaturated hydrocarbons,Unsaturated aliphatic hydrocarbons,(E)-but-2-ene,2-Butene (Trans),,H220; H280; H412; H270,0.7,hsp_solvents_2,
2-Butenyl Methyl Ether (Cis),25125-85-3,,,15.2,3.4,5.0,,,,ether,Organooxygen compounds,Ethers,2-methoxybut-2-ene,2-Butenyl Methyl Ether (Cis),,,0.7,hsp_solvents_2,
2-Butenyl Methyl Ether (Trans),10034-14-7,,,15.3,4.4,4.3,,,,ether,Organooxygen compounds,Ethers,1-methoxybut-2-ene,2-Butenyl Methyl Ether (Trans),,,0.7,hsp_solvents_2,
2-Butynedinitrile,1071-98-3,N#CC#CC#N,C4N2,15.2,16.2,8.0,76.06,76.6,,amine,Organonitrogen compounds,Organic cyanides,but-2-ynedinitrile,2-Butynedinitrile,,,0.958,hsp_solvents_2,https://pubchem.ncbi.nlm.nih.gov/compound/14068
2-Chloro Allyl Alcohol,5976-47-6,OCC(Cl)=C,C3H5ClO,17.1,10.2,16.4,92.52,138.1,,alcohol,Halohydrins,Chlorohydrins,2-chloroprop-2-en-1-ol,2-Chloro Allyl Alcohol,,H226; H302; H312; H332,0.958,hsp_solvents_2,https://pubchem.ncbi.nlm.nih.gov/compound/80076
2-Chloro Propene (Isopropenyl Chloride),557-98-2,,,15.5,6.7,2.2,,,,halogenated,Vinyl halides,Vinyl chlorides,2-chloroprop-1-ene,2-Chloro Propene (Isopropenyl Chloride),,,0.7,hsp_solvents_2,
2-Chloro-2-Methyl Propane,507-20-0,CC(C)(C)Cl,C4H9Cl,15.6,7.6,2.0,92.57,,,halogenated,Organochlorides,,2-chloro-2-methylpropane,2-Chloro-2-Methyl Propane,,H225,0.945,hsp_solvents_2,https://pubchem.ncbi.nlm.nih.gov/compound/10486
2-Chloro-4-Methylaniline,615-65-6,Cc1ccc(N)c(Cl)c1,C7H8ClN,19.7,7.4,8.9,141.6,224.1,,aromatic,Benzene and substituted derivatives,Toluenes,2-chloro-4-methylaniline,2-Chloro-4-Methylaniline,,H302; H312; H315; H318; H319; H332; H412,0.988,hsp_solvents_2,https://pubchem.ncbi.nlm.nih.gov/compound/12007
2-Chloro-5-Methyl Phenol,615-74-7,Cc1ccc(Cl)c(O)c1,C7H7ClO,19.0,7.7,13.1,142.58,197.9,,alcohol,Phenols,Cresols,2-chloro-5-methylphenol,2-Chloro-5-Methyl Phenol,,H302; H312; H315; H317; H318; H319; H335; H400,0.97,hsp_solvents_2,https://pubchem.ncbi.nlm.nih.gov/compound/12008
2-Chloroacetamide,79-07-2,NC(=O)CCl,C2H4ClNO,17.6,12.4,12.8,93.51,,,acid,Carboxylic acids and derivatives,Carboxylic acid derivatives,2-chloroacetamide,2-Chloroacetamide,,H301; H317; H361; H319; H315; H360,0.975,hsp_solvents_2,https://pubchem.ncbi.nlm.nih.gov/compound/6580
2-Chloroallylidene Diacetate,5459-90-5,CC(=O)OC(OC(C)=O)C(Cl)=C,C7H9ClO4,16.7,7.3,8.8,192.6,,,acid,Carboxylic acids and derivatives,Carboxylic acid derivatives,(1-acetyloxy-2-chloroprop-2-enyl) acetate,2-Chloroallylidene Diacetate,,,0.945,hsp_solvents_2,https://pubchem.ncbi.nlm.nih.gov/compound/79576
2-Chlorobutane,78-86-4,CCC(C)Cl,C4H9Cl,15.8,7.6,2.0,92.57,,,halogenated,Organochlorides,,2-chlorobutane,2-Chlorobutane,,H225; H290; H315; H319; H335; H412,0.988,hsp_solvents_2,https://pubchem.ncbi.nlm.nih.gov/compound/6563
2-Chlorocyclohexanone,822-87-7,ClC1CCCCC1=O,C6H9ClO,18.5,13.0,5.1,132.59,,,ether,Organooxygen compounds,Carbonyl compounds,2-chlorocyclohexan-1-one,2-Chlorocyclohexanone,,H315; H317; H319; H335,0.945,hsp_solvents_2,https://pubchem.ncbi.nlm.nih.gov/compound/13203
2-Chloroethyl Acetate,542-58-5,CC(=O)OCCCl,C4H7ClO2,16.7,9.6,8.8,122.55,145.1,,acid,Carboxylic acids and derivatives,Carboxylic acid derivatives,2-chloroethyl acetate,2-Chloroethyl Acetate,EtOAc; EA,H226; H300; H310; H330,0.988,hsp_solvents_2,https://pubchem.ncbi.nlm.nih.gov/compound/10959
2-Chloroethyl Benzene,622-24-2,ClCCc1ccccc1,C8H9Cl,19.3,6.3,2.2,140.61,,,aromatic,Benzene and substituted derivatives,,2-chloroethylbenzene,2-Chloroethyl Benzene,,H315; H319; H412; H413; H227,0.945,hsp_solvents_2,https://pubchem.ncbi.nlm.nih.gov/compound/231496
2-Chloroethyl Ethyl Ether,628-34-2,CCOCCCl,C4H9ClO,16.3,7.9,4.6,108.57,107.6,,ether,Organooxygen compounds,Ethers,1-chloro-2-ethoxyethane,2-Chloroethyl Ethyl Ether,,H225; H301; H315; H319; H331; H332; H335,0.958,hsp_solvents_2,https://pubchem.ncbi.nlm.nih.gov/compound/12341
2-Chloroethyl Ethyl Sulfide,693-07-2,CCSCCCl,C4H9ClS,17.2,5.0,6.1,124.63,157.1,,halogenated,Thioethers,Dialkylthioethers,1-chloro-2-ethylsulfanylethane,2-Chloroethyl Ethyl Sulfide,,H226; H301; H311; H314; H331; H350,0.958,hsp_solvents_2,https://pubchem.ncbi.nlm.nih.gov/compound/12733
2-Chlorophenol,95-57-8,Oc1ccccc1Cl,C6H5ClO,19.0,5.5,13.9,128.55,175.8,,alcohol,Phenols,Halophenols,2-chlorophenol,2-Chlorophenol,,H302; H312; H332; H411; H300; H227; H314; H318; H330; H360; H370; H301; H335; H351; H361; H373,1.0,hsp_solvents_2,https://pubchem.ncbi.nlm.nih.gov/compound/7245
2-Chloropropenal,683-51-2,ClC(=C)C=O,C3H3ClO,17.1,12.9,8.1,90.51,,,ether,Organooxygen compounds,Carbonyl compounds,2-chloroprop-2-enal,2-Chloropropenal,,,0.945,hsp_solvents_2,https://pubchem.ncbi.nlm.nih.gov/compound/560790
2-Chloropropenoic Acid,598-79-8,OC(=O)C(Cl)=C,C3H3ClO2,19.1,9.4,12.4,106.51,,,acid,Carboxylic acids and derivatives,Alpha-halocarboxylic acids and derivatives,2-chloroprop-2-enoic acid,2-Chloropropenoic Acid,,H314,0.945,hsp_solvents_2,https://pubchem.ncbi.nlm.nih.gov/compound/11735
2-Chlorothiophene,96-43-5,Clc1sccc1,C4H3ClS,19.2,6.2,8.0,118.59,128.5,,halogenated,Aryl halides,Aryl chlorides,2-chlorothiophene,2-Chlorothiophene,,H225; H226; H301; H311; H315; H319; H330; H335,0.988,hsp_solvents_2,https://pubchem.ncbi.nlm.nih.gov/compound/7299
2-Cyclopentenyl Alcohol,3212-60-0,OC1CCC=C1,C5H8O,18.1,7.6,15.6,84.12,,,ether,Organooxygen compounds,Alcohols and polyols,cyclopent-2-en-1-ol,2-Cyclopentenyl Alcohol,,H225; H226; H315; H319; H332; H335,0.958,hsp_solvents_2,https://pubchem.ncbi.nlm.nih.gov/compound/220164
2-Decanol,1120-06-5,CCCCCCCCC(C)O,C10H22O,15.8,3.9,10.0,158.28,210.5,,alcohol,Fatty Acyls,Fatty alcohols,decan-2-ol,2-Decanol,,H319,0.97,hsp_solvents_2,https://pubchem.ncbi.nlm.nih.gov/compound/14254
2-Ethyl Croton Aldehyde,19780-25-7,CC\C(=C/C)C=O,C6H10O,16.1,8.0,5.5,98.14,,,ether,Organooxygen compounds,Carbonyl compounds,(E)-2-ethylbut-2-enal,2-Ethyl Croton Aldehyde,,H226; H311; H315; H319; H335,0.945,hsp_solvents_2,https://pubchem.ncbi.nlm.nih.gov/compound/5362897
2-Ethyl Hexyl Acetate,103-09-3,,C10H20O2,15.8,2.9,5.1,172.26,199.9,,ester,Carboxylic acids and derivatives,Carboxylic acid derivatives,2-ethylhexyl acetate,2-Ethyl Hexyl Acetate,,H315,0.808,hsp_solvents_2,https://pubchem.ncbi.nlm.nih.gov/compound/7635
2-Ethyl Hexyl Acrylate,103-11-7,,C11H20O2,15.3,4.3,3.0,184.27,217.1,,ester,Carboxylic acids and derivatives,Acrylic acids and derivatives,2-ethylhexyl prop-2-enoate,2-Ethyl Hexyl Acrylate,,H315; H317; H335; H412; H319; H227; H336; H351; H373; H401; H411,0.808,hsp_solvents_2,https://pubchem.ncbi.nlm.nih.gov/compound/7636
2-Ethyl Hexyl Phthalate (Mono),4376-20-9,,,17.3,6.2,6.8,,,,ester,Benzene and substituted derivatives,Benzoic acids and derivatives,2-(2-ethylhexoxycarbonyl)benzoic acid,2-Ethyl Hexyl Phthalate (Mono),,,0.7,hsp_solvents_2,
"2-Ethyl-1,3-Butadiene",3404-63-5,CCC(=C)C=C,C6H10,15.3,1.6,3.8,82.14,72.9,,hydrocarbon,Unsaturated hydrocarbons,Branched unsaturated hydrocarbons,3-methylidenepent-1-ene,"2-Ethyl-1,3-Butadiene",,,0.958,hsp_solvents_2,https://pubchem.ncbi.nlm.nih.gov/compound/18850
2-Ethyl-1-Butanol,97-95-0,CCC(CC)CO,C6H14O,15.8,4.3,13.5,102.17,,,ether,Organooxygen compounds,Alcohols and polyols,2-ethylbutan-1-ol,2-Ethyl-1-Butanol,,H302; H312; H226,0.945,hsp_solvents_2,https://pubchem.ncbi.nlm.nih.gov/compound/7358
2-Ethyl-1-Butene,760-21-4,CCC(=C)CC,C6H12,14.9,1.7,3.5,84.16,,,hydrocarbon,Unsaturated hydrocarbons,Branched unsaturated hydrocarbons,3-methylidenepentane,2-Ethyl-1-Butene,,H225; H304; H317; H319; H336,0.958,hsp_solvents_2,https://pubchem.ncbi.nlm.nih.gov/compound/12970
2-Ethyl-Hexanol,104-76-7,CCCCC(CC)CO,C8H18O,15.9,3.3,11.8,130.23,,,alcohol,Fatty Acyls,Fatty alcohols,2-ethylhexan-1-ol,2-Ethyl-Hexanol,,H315; H319; H332; H335; H402; H227; H336; H361; H371; H401; H312; H314,0.945,hsp_solvents_2,https://pubchem.ncbi.nlm.nih.gov/compound/7720
2-Ethylhexyl Amine,20352-67-4,CCCCC(CC)CN,C8H19N,15.7,4.2,6.1,129.24,,,amine,Organonitrogen compounds,Amines,N-ethylhexan-1-amine,2-Ethylhexyl Amine,,,0.945,hsp_solvents_2,https://pubchem.ncbi.nlm.nih.gov/compound/546879
2-Furonitrile,617-90-3,N#Cc1occc1,C5H3NO,18.4,15.0,8.2,93.08,147.1,,nitrile,Heteroaromatic compounds,,furan-2-carbonitrile,2-Furonitrile,,H226; H302; H312; H318; H332,0.958,hsp_solvents_2,https://pubchem.ncbi.nlm.nih.gov/compound/69245
2-Heptanol,543-49-7,CCCCCC(C)O,C7H16O,15.7,5.4,11.7,116.2,,,alcohol,Fatty Acyls,Fatty alcohols,heptan-2-ol,2-Heptanol,,H226; H312; H315; H319,0.945,hsp_solvents_2,https://pubchem.ncbi.nlm.nih.gov/compound/10976
2-Methoxy Tetrahydropyrane,6581-66-4,COC1CCCCO1,C6H12O2,17.2,6.6,6.0,116.16,128.6,,ether,Oxanes,,2-methoxyoxane,2-Methoxy Tetrahydropyrane,,H226,0.958,hsp_solvents_2,https://pubchem.ncbi.nlm.nih.gov/compound/23057
"2-Methoxy-1,3-Dioxolane",19693-75-5,COC1OCCO1,C4H8O3,17.8,8.4,7.7,104.1,129.6,,ether,Organooxygen compounds,Ortho esters,"2-methoxy-1,3-dioxolane","2-Methoxy-1,3-Dioxolane",,H226,0.988,hsp_solvents_2,https://pubchem.ncbi.nlm.nih.gov/compound/29744
2-Methyl (Cis) Acrylic Acid,503-64-0,,,16.8,5.2,12.4,,,,acid,Carboxylic acids and derivatives,Carboxylic acids,(Z)-but-2-enoic acid,2-Methyl (Cis) Acrylic Acid,,,0.7,hsp_solvents_2,
2-Methyl Cyclohexanol (Mix),583-59-5,,,17.1,6.5,12.5,,,,alcohol,Organooxygen compounds,Alcohols and polyols,2-methylcyclohexan-1-ol,2-Methyl Cyclohexanol (Mix),,,0.7,hsp_solvents_2,
2-Methyl Cyclohexanone,583-60-8,CC1CCCCC1=O,C7H12O,17.6,7.8,4.7,112.17,162.6,,ether,Organooxygen compounds,Carbonyl compounds,2-methylcyclohexan-1-one,2-Methyl Cyclohexanone,,H226; H332; H302; H312; H319; H335; H336,0.97,hsp_solvents_2,https://pubchem.ncbi.nlm.nih.gov/compound/11419
2-Methyl Pyrazine,109-08-0,Cc1cnccn1,C5H6N2,18.3,12.3,10.5,94.11,135.7,,heterocyclic,Diazines,Pyrazines,2-methylpyrazine,2-Methyl Pyrazine,,H226; H302,0.97,hsp_solvents_2,https://pubchem.ncbi.nlm.nih.gov/compound/7976
2-Methyl Tetrahydrofuran,96-47-9,CC1CCCO1,C5H10O,16.9,5.0,4.3,86.13,,,ether,Tetrahydrofurans,,2-methyloxolane,2-Methyl Tetrahydrofuran,THF,H225; H302; H315; H318; H319; H335; H336; H314,0.958,hsp_solvents_2,https://pubchem.ncbi.nlm.nih.gov/compound/7301
"2-Methyl-1,3-Dioxolane",497-26-7,CC1OCCO1,C4H8O2,17.3,4.8,5.8,88.11,82.6,,ether,Dioxolanes,"1,3-dioxolanes","2-methyl-1,3-dioxolane","2-Methyl-1,3-Dioxolane",,H225; H319,0.988,hsp_solvents_2,https://pubchem.ncbi.nlm.nih.gov/compound/10342
2-Methyl-1-Butanol,137-32-6,CCC(C)CO,C5H12O,16.0,5.1,14.3,88.15,,,ether,Organooxygen compounds,Alcohols and polyols,2-methylbutan-1-ol,2-Methyl-1-Butanol,,H226; H315; H318; H332; H335; H319,0.945,hsp_solvents_2,https://pubchem.ncbi.nlm.nih.gov/compound/8723
2-Methyl-1-Butene,563-46-2,CCC(C)=C,C5H10,14.5,1.8,1.3,70.13,,,hydrocarbon,Unsaturated hydrocarbons,Branched unsaturated hydrocarbons,2-methylbut-1-ene,2-Methyl-1-Butene,,H224; H225; H302; H304; H315; H336; H341; H351; H411; H319; H332; H335,0.945,hsp_solvents_2,https://pubchem.ncbi.nlm.nih.gov/compound/11240
2-Methyl-1-Chloro Acrolein,53175-28-3,CC(=C)C(Cl)=O,C4H5ClO,17.1,10.6,7.3,104.53,,,halogenated,Acyl halides,Acyl chlorides,(Z)-2-chlorobut-2-enal,2-Methyl-1-Chloro Acrolein,,H226; H301; H311; H315; H318; H330; H335; H400,0.945,hsp_solvents_2,https://pubchem.ncbi.nlm.nih.gov/compound/5355510
2-Methyl-1-Pentanol,105-30-6,CCCC(C)CO,C6H14O,15.8,4.9,13.5,102.17,,,ether,Organooxygen compounds,Alcohols and polyols,2-methylpentan-1-ol,2-Methyl-1-Pentanol,,H226; H302; H315; H318; H319; H335,0.945,hsp_solvents_2,https://pubchem.ncbi.nlm.nih.gov/compound/7745
2-Methyl-2-Butanol,75-85-4,CCC(C)(C)O,C5H12O,15.3,6.1,13.3,88.15,,,ether,Organooxygen compounds,Alcohols and polyols,2-methylbutan-2-ol,2-Methyl-2-Butanol,,H225; H315; H332; H335; H312; H318; H336; H302; H319; H370,0.958,hsp_solvents_2,https://pubchem.ncbi.nlm.nih.gov/compound/6405
2-Methyl-2-Butene,513-35-9,CC=C(C)C,C5H10,14.7,2.0,2.9,70.13,,,hydrocarbon,Unsaturated hydrocarbons,Branched unsaturated hydrocarbons,2-methylbut-2-ene,2-Methyl-2-Butene,,H224; H225; H302; H304; H315; H336; H341; H350; H351; H411,0.945,hsp_solvents_2,https://pubchem.ncbi.nlm.nih.gov/compound/10553
2-Methylfuran,534-22-5,Cc1occc1,C5H6O,17.3,2.8,7.4,82.1,,,ether,Heteroaromatic compounds,,2-methylfuran,2-Methylfuran,,H225; H301; H319; H330; H331; H411,0.975,hsp_solvents_2,https://pubchem.ncbi.nlm.nih.gov/compound/10797
2-Nitro-1-Propanol,2902-96-7,CC(CO)[N+]([O-])=O,C3H7NO3,16.1,13.7,15.4,105.09,,,hydrocarbon,"Allyl-type 1,3-dipolar organic compounds",Organic nitro compounds,2-nitropropan-1-ol,2-Nitro-1-Propanol,,,0.945,hsp_solvents_2,https://pubchem.ncbi.nlm.nih.gov/compound/92187
2-Nitropropane,79-46-9,CC(C)[N+]([O-])=O,C3H7NO2,16.2,12.1,4.1,89.09,120.4,,hydrocarbon,"Allyl-type 1,3-dipolar organic compounds",Organic nitro compounds,2-nitropropane,2-Nitropropane,,H226; H302; H332; H350; H331; H341; H412; H320; H330; H336; H370; H372; H373; H351,1.0,hsp_solvents_2,https://pubchem.ncbi.nlm.nih.gov/compound/398
2-Nitrothiophene,609-40-5,[O-][N+](=O)c1sccc1,C4H3NO2S,19.7,16.2,8.2,129.14,224.6,,nitro,Thiophenes,Nitrothiophenes,2-nitrothiophene,2-Nitrothiophene,,H302; H312; H332; H341,0.988,hsp_solvents_2,https://pubchem.ncbi.nlm.nih.gov/compound/11866
2-Octanol,123-96-6,CCCCCCC(C)O,C8H18O,16.1,4.9,11.0,130.23,,,alcohol,Fatty Acyls,Fatty alcohols,octan-2-ol,2-Octanol,,H315; H318; H319; H226; H411; H227; H305; H316; H335; H402; H412,0.945,hsp_solvents_2,https://pubchem.ncbi.nlm.nih.gov/compound/20083
2-Oxopyrrolidinacetamid,7491-74-9,NC(=O)CN1CCCC1=O,C6H10N2O2,17.5,15.6,11.2,142.16,,,acid,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",2-(2-oxopyrrolidin-1-yl)acetamide,2-Oxopyrrolidinacetamid,,,0.945,hsp_solvents_2,https://pubchem.ncbi.nlm.nih.gov/compound/4843
2-Pentanol,6032-29-7,CCCC(C)O,C5H12O,15.6,6.4,13.3,88.15,,,ether,Organooxygen compounds,Alcohols and polyols,pentan-2-ol,2-Pentanol,,H226; H332; H335; H315; H319,0.945,hsp_solvents_2,https://pubchem.ncbi.nlm.nih.gov/compound/22386
2-Phenoxy Ethanol,122-99-6,OCCOc1ccccc1,C8H10O2,17.8,5.7,14.3,138.16,245.1,,alcohol,Phenol ethers,,2-phenoxyethanol,2-Phenoxy Ethanol,,H302; H318; H335; H319; H336; H320; H361,0.958,hsp_solvents_2,https://pubchem.ncbi.nlm.nih.gov/compound/31236
2-Phenyl Ethanol,60-12-8,OCCc1ccccc1,C8H10O,18.3,5.6,11.2,122.16,219.4,,aromatic,Benzene and substituted derivatives,,2-phenylethanol,2-Phenyl Ethanol,,H302; H319; H311; H336; H361; H371; H318,0.97,hsp_solvents_2,https://pubchem.ncbi.nlm.nih.gov/compound/6054
2-Pinene (dl),80-56-8,,,16.9,1.8,3.1,,,,terpene,Prenol lipids,Monoterpenoids,"2,6,6-trimethylbicyclo[3.1.1]hept-2-ene",2-Pinene (dl),,,0.7,hsp_solvents_2,
2-Propanethiol,75-33-2,CC(C)S,C3H8S,16.3,6.8,6.5,76.16,,,hydrocarbon,Thiols,Alkylthiols,propane-2-thiol,2-Propanethiol,,H225; H302; H315; H319; H331,0.958,hsp_solvents_2,https://pubchem.ncbi.nlm.nih.gov/compound/6364
2-Propanol,67-63-0,CC(C)O,C3H8O,15.8,6.1,16.4,60.1,,,ether,Organooxygen compounds,Alcohols and polyols,propan-2-ol,2-Propanol,IPA; iPrOH,H225; H319; H336; H318; H373; H400; H410; H335; H361; H370; H372; H303; H305; H313,0.958,hsp_solvents_2,https://pubchem.ncbi.nlm.nih.gov/compound/3776
2-Propyn-1-ol,107-19-7,OCC#C,C3H4O,16.1,8.7,18.8,56.06,113.6,,alcohol,,,prop-2-yn-1-ol,2-Propyn-1-ol,,H226; H301; H311; H314; H331; H411; H310; H318; H330; H373; H335; H351; H372; H401; H300; H336; H341,0.97,hsp_solvents_2,https://pubchem.ncbi.nlm.nih.gov/compound/7859
2-Pyrrolidone,616-45-5,O=C1CCCN1,C4H7NO,18.2,12.0,9.0,85.1,245.1,,amide,Pyrrolidines,Pyrrolidones,pyrrolidin-2-one,2-Pyrrolidone,,H315; H318; H319; H335; H360,0.97,hsp_solvents_2,https://pubchem.ncbi.nlm.nih.gov/compound/12025
2-t-Butyl-4-Methyl Phenol,2409-55-4,Cc1ccc(O)c(c1)C(C)(C)C,C11H16O,17.3,3.7,10.5,164.24,237.1,,aromatic,Benzene and substituted derivatives,Phenylpropanes,2-tert-butyl-4-methylphenol,2-t-Butyl-4-Methyl Phenol,,H314; H318; H335; H411; H315; H319; H401,0.97,hsp_solvents_2,https://pubchem.ncbi.nlm.nih.gov/compound/17004
2-Thiabutane,624-89-5,CCSC,C3H8S,16.2,5.9,5.3,76.16,66.7,,hydrocarbon,Thioethers,Dialkylthioethers,methylsulfanylethane,2-Thiabutane,,H225; H315,0.97,hsp_solvents_2,https://pubchem.ncbi.nlm.nih.gov/compound/12230
2-Toluidine,95-53-4,Cc1ccccc1N,C7H9N,19.4,5.8,9.4,107.15,,,aromatic,Benzene and substituted derivatives,Toluenes,2-methylaniline,2-Toluidine,,H301; H319; H331; H350; H400; H312; H315; H341; H411; H227; H302; H332; H336; H370; H372; H410; H313; H316; H340; H373,0.945,hsp_solvents_2,https://pubchem.ncbi.nlm.nih.gov/compound/7242
2-Vinyl Toluene,611-15-4,Cc1ccccc1C=C,C9H10,18.6,1.0,3.8,118.18,160.0,,aromatic,Benzene and substituted derivatives,Styrenes,1-ethenyl-2-methylbenzene,2-Vinyl Toluene,,H332; H411; H226; H304; H315; H319; H400; H401,0.97,hsp_solvents_2,https://pubchem.ncbi.nlm.nih.gov/compound/11904
"3,3,3-Trichloro Propene",2233-00-3,ClC(Cl)(Cl)C=C,C3H3Cl3,17.7,15.5,3.4,145.41,,,halogenated,Organochlorides,,"3,3,3-trichloroprop-1-ene","3,3,3-Trichloro Propene",,H226; H302; H312; H315; H319; H332; H335,0.945,hsp_solvents_2,https://pubchem.ncbi.nlm.nih.gov/compound/16690
"3,4-Dichloro Alpha,Alpha,A-Trifluorotoluene",328-84-7,,C7H3Cl2F3,20.0,4.7,2.4,215.0,173.6,,halogenated,Benzene and substituted derivatives,Trifluoromethylbenzenes,"1,2-dichloro-4-(trifluoromethyl)benzene","3,4-Dichloro Alpha,Alpha,A-Trifluorotoluene",,H302; H315; H319; H335; H411; H227,0.808,hsp_solvents_2,https://pubchem.ncbi.nlm.nih.gov/compound/9481
"3,4-Dichloronitrobenzene",99-54-7,[O-][N+](=O)c1ccc(Cl)c(Cl)c1,C6H3Cl2NO2,20.1,7.2,4.1,192.0,255.6,,aromatic,Benzene and substituted derivatives,Nitrobenzenes,"1,2-dichloro-4-nitrobenzene","3,4-Dichloronitrobenzene",,H302; H317; H319; H411; H336; H361; H372; H373,0.958,hsp_solvents_2,https://pubchem.ncbi.nlm.nih.gov/compound/7443
"3,4-Dichlorophenyl Acetonitrile",3218-49-3,Clc1ccc(CC#N)cc1Cl,C8H5Cl2N,20.5,10.8,4.4,186.03,,,aromatic,Benzene and substituted derivatives,Benzyl cyanides,"2-(3,4-dichlorophenyl)acetonitrile","3,4-Dichlorophenyl Acetonitrile",MeCN; ACN,H301; H302; H311; H312; H315; H319; H331; H332; H335,0.945,hsp_solvents_2,https://pubchem.ncbi.nlm.nih.gov/compound/76690
"3,4-Dichlorotoluene",95-75-0,,,19.8,9.8,2.5,,,,halogenated,Benzene and substituted derivatives,Halobenzenes,"3,4-dichlorotoluene","3,4-Dichlorotoluene",,,0.7,hsp_solvents_2,
"3,4-Dimethyl Phenol",95-65-8,,,19.2,6.0,13.4,,,,alcohol,Phenols,Cresols,"3,4-dimethyl phenol","3,4-Dimethyl Phenol",,,0.7,hsp_solvents_2,
"3,4-Dinitrophenol",577-71-9,,,19.5,12.8,14.3,,,,alcohol,Phenols,Nitrophenols,"3,4-dinitrophenol","3,4-Dinitrophenol",,,0.7,hsp_solvents_2,
"3,4-Epoxy-1-Butene",930-22-3,,,16.6,7.7,7.4,,,,hydrocarbon,Epoxides,,"3,4-epoxy-1-butene","3,4-Epoxy-1-Butene",,,0.7,hsp_solvents_2,
"3,5-Difluorobenzonitrile",64248-63-1,,,18.8,11.2,3.2,,,,nitrile,Benzene and substituted derivatives,Benzonitriles,"3,5-difluorobenzonitrile","3,5-Difluorobenzonitrile",,,0.7,hsp_solvents_2,
"3,5-Dinitrophenol",586-11-8,,,19.5,12.9,14.4,,,,alcohol,Phenols,Nitrophenols,"3,5-dinitrophenol","3,5-Dinitrophenol",,,0.7,hsp_solvents_2,
3-Azidopropene,821-13-6,,,16.8,7.7,13.4,,,,hydrocarbon,"Allyl-type 1,3-dipolar organic compounds",Azo imides,3-azidopropene,3-Azidopropene,,,0.7,hsp_solvents_2,
3-Bromopropyne,106-96-7,,,18.1,6.5,5.3,,,,halogenated,,,3-bromopropyne,3-Bromopropyne,,,0.7,hsp_solvents_2,
3-Butenenitrile,109-75-1,,,16.2,14.3,5.6,,,,nitrile,Organonitrogen compounds,Organic cyanides,3-butenenitrile,3-Butenenitrile,,,0.7,hsp_solvents_2,
3-Butoxybutanol,,,,15.9,5.5,10.6,,,,alcohol,,,3-butoxybutanol,3-Butoxybutanol,,,0.7,hsp_solvents_2,
3-Chloro Allyl Alcohol,29560-84-7,,,17.2,10.3,16.5,,,,alcohol,Vinyl halides,Vinyl chlorides,3-chloro allyl alcohol,3-Chloro Allyl Alcohol,,,0.7,hsp_solvents_2,
3-Chloro-1-Propanol,627-30-5,,,17.5,5.7,14.7,,,,alcohol,,,3-chloro-1-propanol,3-Chloro-1-Propanol,,,0.7,hsp_solvents_2,
3-Chloro-2-Methyl Propene,563-47-3,,,16.2,5.6,2.0,,,,halogenated,,,3-chloro-2-methyl propene,3-Chloro-2-Methyl Propene,,,0.7,hsp_solvents_2,
3-Chlorobenzylchloride,620-20-2,,,19.9,9.3,2.6,,,,halogenated,Benzene and substituted derivatives,Benzyl halides,3-chlorobenzylchloride,3-Chlorobenzylchloride,,,0.7,hsp_solvents_2,
3-Chloropropionaldehyde,19434-65-2,,,17.0,13.3,8.2,,,,halogenated,,,3-chloropropionaldehyde,3-Chloropropionaldehyde,,,0.7,hsp_solvents_2,
3-Chloropropionitrile,542-76-7,,,17.3,15.9,6.1,,,,nitrile,Organonitrogen compounds,Organic cyanides,3-chloropropionitrile,3-Chloropropionitrile,,,0.7,hsp_solvents_2,
3-Chloropropyne,624-65-7,,,16.7,7.4,2.3,,,,halogenated,,,3-chloropropyne,3-Chloropropyne,,,0.7,hsp_solvents_2,
3-Ethoxy Propionaldehyde,2806-85-1,,,16.0,8.8,7.4,,,,aldehyde,,,3-ethoxy propionaldehyde,3-Ethoxy Propionaldehyde,,,0.7,hsp_solvents_2,
3-Heptanol,589-82-2,,,15.9,5.4,11.7,,,,alcohol,Organooxygen compounds,Alcohols and polyols,3-heptanol,3-Heptanol,,,0.7,hsp_solvents_2,
3-Hydroxy Tetrahydrofuran,453-20-3,,,18.9,9.4,16.3,,,,ether,Tetrahydrofurans,,3-hydroxy tetrahydrofuran,3-Hydroxy Tetrahydrofuran,THF,,0.7,hsp_solvents_2,
3-Methoxy Butanol,2517-43-3,,,15.3,5.4,13.6,,,,alcohol,Organooxygen compounds,Ethers,3-methoxy butanol,3-Methoxy Butanol,,,0.7,hsp_solvents_2,
3-Methoxy Butyl Acetate,4435-53-4,,,15.3,4.1,8.1,,,,ester,Carboxylic acids and derivatives,Carboxylic acid derivatives,3-methoxy butyl acetate,3-Methoxy Butyl Acetate,,,0.7,hsp_solvents_2,
