name_iupac,name_common,name_common_all,name_acronyms,cas,dD,dP,dH,radius,class,subclass,processing_notes
,LIGNIN,LIGNIN,,9005-53-2,20.17,14.61,15.04,11.66,Natural & Petroleum Resin,,near_duplicate; CAS found via PubChem: 9005-53-2; Rule-based classification: matched pattern 'ROSIN|TERPENE|PETROLEUM RESIN|COUMARONE|'
,MODAFLOW,MODAFLOW,,,16.1,3.7,7.9,8.9,Acrylic,Flow Modifier,CAS not found after 2 lookups; Rule-based classification: matched pattern 'MODAFLOW'
,VIPLA KR,VIPLA KR; PVC; vinyl; vinyl plastic,,,18.4,6.6,8.0,3.0,Vinyl Polymer,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'POLYVINYL|VINYL ACETATE|VINYL ALCOHOL|VI'
,CERECLOR 70,CERECLOR 70,,56509-64-9,20.0,8.3,6.8,9.8,Elastomer,Chlorinated Rubber,CAS found via PubChem: 56509-64-9; Rule-based classification: matched pattern 'CHLORINATED RUBBER|CHLOROPAR|CERECLOR|PE'
,CHLOROPAR 40,CHLOROPAR 40,,,17.0,7.6,7.9,11.9,Elastomer,Chlorinated Rubber,CAS not found after 2 lookups; Rule-based classification: matched pattern 'CHLORINATED RUBBER|CHLOROPAR|CERECLOR|PE'
,PERGUT S 5,PERGUT S 5; polyethylene; PE,,,17.4,9.5,3.8,10.0,Elastomer,Chlorinated Rubber,CAS not found after 2 lookups; Rule-based classification: matched pattern 'CHLORINATED RUBBER|CHLOROPAR|CERECLOR|PE'
,ALLOPREN R10,ALLOPREN R10,,,17.4,4.3,3.9,6.1,Elastomer,Chlorinated Rubber,CAS not found after 2 lookups; Rule-based classification: matched pattern 'CHLORINATED RUBBER|CHLOROPAR|CERECLOR|PE'
,PARLON P 10,PARLON P 10,,,20.26,6.32,5.4,10.64,Elastomer,Chlorinated Rubber,CAS not found after 2 lookups; Rule-based classification: matched pattern 'CHLORINATED RUBBER|CHLOROPAR|CERECLOR|PE'
,HYPALON 20,HYPALON 20,,,18.1,3.4,4.9,3.6,Elastomer,,CAS not found after 2 lookups; Rule-based classification: matched pattern '\bRUBBER\b|ELASTOMER|\bNBR\b|\bSBR\b|NEO'
,HYPALON 30,HYPALON 30,,,18.2,4.7,2.0,5.0,Elastomer,,near_duplicate; CAS not found after 2 lookups; Rule-based classification: matched pattern '\bRUBBER\b|ELASTOMER|\bNBR\b|\bSBR\b|NEO'
,ALPEX,ALPEX; polyethylene; PE,,,19.9,0.0,0.0,9.4,Natural & Petroleum Resin,,CAS not found after 2 lookups; Rule-based classification: matched pattern '\bALPEX\b'
,1/2-sec.-NITRO CELLULOSE H 23,1/2-sec.-NITRO CELLULOSE H 23,,,15.41,14.73,8.84,11.46,Cellulosic Polymer,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'CELLUL|CELLIT\b|ETHOCEL|CELLIDORA|NITROC'
