name_iupac,name_common,name_common_all,name_acronyms,cas,dD,dP,dH,radius,class,subclass,processing_notes
,PVC 4 HR,PVC 4 HR; PVC; vinyl; vinyl plastic,,,24.4,4.9,9.9,22.707248,Vinyl Polymer,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'POLYVINYL|VINYL ACETATE|VINYL ALCOHOL|VI'
POLYVINYLALCOHOL 20 MIN,POLYVINYLALCOHOL 20 MIN,POLYVINYLALCOHOL 20 MIN,,,11.2,12.4,13.0,12.1,Vinyl Polymer,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'POLYVINYL|VINYL ACETATE|VINYL ALCOHOL|VI'
POLYVINYLALCOHOL 1 HR,POLYVINYLALCOHOL 1 HR,POLYVINYLALCOHOL 1 HR,,,15.3,13.2,13.5,8.8,Vinyl Polymer,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'POLYVINYL|VINYL ACETATE|VINYL ALCOHOL|VI'
POLYVINYLALCOHOL 4 HR,POLYVINYLALCOHOL 4 HR,POLYVINYLALCOHOL 4 HR,,,17.2,13.6,15.4,10.9,Vinyl Polymer,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'POLYVINYL|VINYL ACETATE|VINYL ALCOHOL|VI'
POLYETHYLENE 20 MIN,POLYETHYLENE 20 MIN,POLYETHYLENE 20 MIN,,,16.9,3.3,4.1,8.1,Polyolefin,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'POLYETHYLENE|\bHDPE\b|\bLDPE\b|\bLLDPE\b'
POLYETHYLENE 1 HR,POLYETHYLENE 1 HR,POLYETHYLENE 1 HR,,,17.1,3.1,5.2,8.2,Polyolefin,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'POLYETHYLENE|\bHDPE\b|\bLDPE\b|\bLLDPE\b'
POLYETHYLENE 4 HR,POLYETHYLENE 4 HR,POLYETHYLENE 4 HR,,,24.1,14.9,0.3,24.3,Polyolefin,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'POLYETHYLENE|\bHDPE\b|\bLDPE\b|\bLLDPE\b'
,VITON 20 MIN,VITON 20 MIN,,,10.9,14.5,3.1,14.1,Fluoropolymer,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'FLUORO|PTFE|TEFLON|PVDF|POLYVINYLIDENE F'
,VITON 1 HR,VITON 1 HR,,,16.5,8.1,8.3,6.6,Fluoropolymer,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'FLUORO|PTFE|TEFLON|PVDF|POLYVINYLIDENE F'
,VITON 4 HR,VITON 4 HR,,,13.6,15.4,8.6,14.4,Fluoropolymer,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'FLUORO|PTFE|TEFLON|PVDF|POLYVINYLIDENE F'
,NEOPRENE 20 MIN,NEOPRENE 20 MIN,,,17.6,2.5,5.9,6.2,Elastomer,,CAS not found after 2 lookups; Rule-based classification: matched pattern '\bRUBBER\b|ELASTOMER|\bNBR\b|\bSBR\b|NEO'
,NEOPRENE 1 HR,NEOPRENE 1 HR,,,19.0,8.0,0.0,13.2,Elastomer,,CAS not found after 2 lookups; Rule-based classification: matched pattern '\bRUBBER\b|ELASTOMER|\bNBR\b|\bSBR\b|NEO'
,NEOPRENE 4 HR,NEOPRENE 4 HR,,,14.6,13.9,2.3,15.9,Elastomer,,CAS not found after 2 lookups; Rule-based classification: matched pattern '\bRUBBER\b|ELASTOMER|\bNBR\b|\bSBR\b|NEO'
,CH 5100 3 HR,CH 5100 3 HR,,,16.6,5.4,4.0,3.8,Elastomer,,CAS not found after 2 lookups; Rule-based classification: matched pattern '^\s*CH \d{4}'
,CH 5200 3 HR,CH 5200 3 HR,,,16.6,6.0,4.8,3.7,Elastomer,,CAS not found after 2 lookups; Rule-based classification: matched pattern '^\s*CH \d{4}'
,PVDC (110C) SOLUBILITY,PVDC (110C) SOLUBILITY; PVDC; polyvinylidene chloride; Saran,,,17.6,9.1,7.8,3.9,Vinyl Polymer,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'POLYVINYL|VINYL ACETATE|VINYL ALCOHOL|VI'
,PVDC (130C) SOLUBILITY,PVDC (130C) SOLUBILITY; PVDC; polyvinylidene chloride; Saran,,,20.4,10.0,10.2,7.6,Vinyl Polymer,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'POLYVINYL|VINYL ACETATE|VINYL ALCOHOL|VI'
,PES L C=1,PES L C=1; polyethylene; PE,,,18.7,10.5,7.6,9.1,Polysulfone / PES / PPS,,CAS not found after 2 lookups; Rule-based classification: matched pattern '\bPSU\b|\bPES\b\s*(SOL|L\s)'
,PES L B + C =1,PES L B + C =1; polyethylene; PE,,,17.7,9.7,6.4,9.3,Polysulfone / PES / PPS,,CAS not found after 2 lookups; Rule-based classification: matched pattern '\bPSU\b|\bPES\b\s*(SOL|L\s)'
,PPS CR 93°C,PPS CR 93°C; polystyrene; PS,,,18.8,4.8,6.8,2.8,Polysulfone / PES / PPS,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'POLYSULFONE|POLYETHERSULFONE|\bPPS\b|\bP'
,PPS TS60%12MO,PPS TS60%12MO; polystyrene; PS,,,18.7,5.3,3.7,6.7,Polysulfone / PES / PPS,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'POLYSULFONE|POLYETHERSULFONE|\bPPS\b|\bP'
,PA6 CR,PA6 CR,,,17.0,3.4,10.6,5.1,Polyamide,,CAS not found after 2 lookups; Rule-based classification: matched pattern '^\s*PA6\b|^\s*PA 6\b'
,PA66 SOL,PA66 SOL,,,17.4,9.8,14.6,5.1,Polyamide,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'POLYAMIDE|\bNYLON\b|VERSAMID|POLYPHTHALA'
,PA11 CR,PA11 CR,,,17.0,4.4,10.6,5.1,Polyamide,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'POLYAMIDE|\bNYLON\b|VERSAMID|POLYPHTHALA'
,POMH+POMC CR,POMH+POMC CR; polyacetal; POM; acetal; Delrin,,,17.1,3.1,10.7,5.2,Polyolefin,,CAS not found after 2 lookups; Rule-based classification: matched pattern '\bPE\b(?!\s*\d)|POLYETHYLENEOXIDE|PEO\b|'
,PETP CR,PETP CR; polyethylene; PE,,,18.2,6.4,6.6,5.0,Polyester & Alkyd,Saturated Polyester,CAS not found after 2 lookups; Rule-based classification: matched pattern '\bPET\b|\bPBT\b|\bPETG\b|POLY.ETHYLENE T'
,PTFE L80 CR,PTFE L80 CR; PTFE; Teflon; polytetrafluoroethylene,,,16.2,1.8,3.4,3.9,Fluoropolymer,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'FLUORO|PTFE|TEFLON|PVDF|POLYVINYLIDENE F'
,PMMA CR,PMMA CR; acrylic glass; acrylic; plexiglass; perspex,,,16.0,5.0,12.0,13.0,Acrylic,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'ACRYLIC|ACRYLATE|METHACRYLATE|\bPMMA\b|P'
,PE CR QUESTIONABLE V ALUES,PE CR QUESTIONABLE V ALUES; polyethylene; PE,,,16.8,5.4,2.4,4.7,Polyolefin,,source_uncertainty; CAS not found after 2 lookups; Rule-based classification: matched pattern '\bPE\b(?!\s*\d)|POLYETHYLENEOXIDE|PEO\b|'
,PPO CR,PPO CR; polypropylene; PP,,,17.9,3.1,8.5,8.6,Polyacetal / PEI / PC,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'POLYCARBONATE|\bPOM\b|POLYACETAL|POLYOXY'
,PUR CR,PUR CR,,,18.1,9.3,4.5,9.7,Polyurethane,,CAS not found after 2 lookups; Rule-based classification: matched pattern '\bPUR\b|\bPU\b(?!\S)|TOLONATE|ISOCYANATE'
,ABS CR,ABS CR; ABS; acrylonitrile butadiene styrene,,,16.3,2.7,7.1,7.8,Styrenic,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'STYRENE|POLYSTYRENE|\bABS\b|\bSAN\b|\bSB'
,PSU CR,PSU CR; polystyrene; PS,,,16.0,6.0,6.6,9.0,Polysulfone / PES / PPS,,CAS not found after 2 lookups; Rule-based classification: matched pattern '^R\s+.*POLYSULFONE|^R\s+.*PSU|\bR POLYSU'
,VINYL SILANE,VINYL SILANE,,7291-09-0,16.4,3.7,4.5,10.0,Vinyl Polymer,,CAS found via PubChem: 7291-09-0; Rule-based classification: matched pattern 'POLYVINYL|VINYL ACETATE|VINYL ALCOHOL|VI'
,CELLOPHAN SW,CELLOPHAN SW,,,16.1,18.5,14.5,9.3,Cellulosic Polymer,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'CELLUL|CELLIT\b|ETHOCEL|CELLIDORA|NITROC'
,EVOH SOL,EVOH SOL; EVOH; ethylene-vinyl alcohol,,,20.5,10.5,12.3,7.3,Vinyl Polymer,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'POLYVINYL|VINYL ACETATE|VINYL ALCOHOL|VI'
,SARANEX 4HR,SARANEX 4HR,,,17.7,18.3,0.7,18.4,Vinyl Polymer,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'POLYVINYL|VINYL ACETATE|VINYL ALCOHOL|VI'
,4H 35°C,4H 35°C,,,19.4,13.4,18.0,8.6,Biological & Other,,CAS not found after 2 lookups; No rule matched; assigned Biological & Other as default
,4H 35°C no plasticizer included,4H 35°C no plasticizer included,,,20.5,11.3,10.3,6.7,Biological & Other,,CAS not found after 2 lookups; No rule matched; assigned Biological & Other as default
POLYVINYLALCOHOL,POLYVINYLALCOHOL,POLYVINYLALCOHOL,,,15.0,17.2,17.8,10.2,Vinyl Polymer,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'POLYVINYL|VINYL ACETATE|VINYL ALCOHOL|VI'
,ACETAL CELANESE,ACETAL CELANESE,,,21.1,9.3,5.9,11.4,Polyacetal / PEI / PC,Polyacetal,CAS not found after 2 lookups; Rule-based classification: matched pattern '\bPOM\b|ACETAL.*CELANESE|ACETALHOMO|ACET'
,ACETALHOMO-DUO,ACETALHOMO-DUO,,,19.0,5.0,8.0,5.0,Polyacetal / PEI / PC,Polyacetal,CAS not found after 2 lookups; Rule-based classification: matched pattern '\bPOM\b|ACETAL.*CELANESE|ACETALHOMO|ACET'
,CELLULOSE ACETATE,CELLULOSE ACETATE,,,16.9,16.3,3.7,13.707248,Cellulosic Polymer,,near_duplicate; CAS not found after 2 lookups; Rule-based classification: matched pattern 'CELLUL|CELLIT\b|ETHOCEL|CELLIDORA|NITROC'
,CELL. ACET. BUTYRATE,CELL. ACET. BUTYRATE,,,17.2,13.8,2.8,12.6,Cellulosic Polymer,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'CELL\.\s*ACET'
,CELL. ACET. PROPIONATE,CELL. ACET. PROPIONATE,,,9.8,13.6,11.4,15.2,Cellulosic Polymer,,hsp_flag_dd_low; CAS not found after 2 lookups; Rule-based classification: matched pattern 'CELL\.\s*ACET'
,PCTFE,PCTFE; polycarbonate; PC,,,14.1,2.7,5.5,6.6,Fluoropolymer,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'FLUORO|PTFE|TEFLON|PVDF|POLYVINYLIDENE F'
,FEP,FEP,,,19.0,4.0,3.0,4.0,Fluoropolymer,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'FLUORO|PTFE|TEFLON|PVDF|POLYVINYLIDENE F'
,FURAN,FURAN,,110-00-9,19.0,6.0,8.0,5.0,Phenolic Resin,Furan Resin,CAS found via PubChem: 110-00-9; Rule-based classification: matched pattern '\bFURAN\b|FURF|FURFURYL'
,FURF ALC,FURF ALC,,,19.9,3.9,5.1,3.8,Phenolic Resin,Furan Resin,CAS not found after 2 lookups; Rule-based classification: matched pattern '\bFURAN\b|FURF|FURFURYL'
,PHENOLIC,PHENOLIC,,,21.6,5.2,18.8,15.4,Phenolic Resin,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'PHENOL.FORMALDEHYDE|PHENOLIC|NOVOLAC|RES'
,PETG,PETG; polyethylene; PE,,63407-54-5,18.0,3.0,4.0,6.0,Polyester & Alkyd,Saturated Polyester,CAS found via PubChem: 63407-54-5; Rule-based classification: matched pattern '\bPET\b|\bPBT\b|\bPETG\b|POLY.ETHYLENE T'
High-density polyethylene,HDPE,HDPE; high-density polyethylene; polyethylene; PE,HDPE,,18.0,0.0,2.0,2.0,Polyolefin,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'POLYETHYLENE|\bHDPE\b|\bLDPE\b|\bLLDPE\b'
Polypropylene,polypropylene,polypropylene,PP,,18.0,0.0,1.0,6.0,Polyolefin,Polypropylene,CAS not found after 2 lookups; Rule-based classification: matched pattern '\bPP\b(?!\s*\d)'
,PECTFE SOL AT HIGH TEMP.,PECTFE SOL AT HIGH TEMP.; polyethylene; PE,,,19.5,7.3,1.7,5.1,Fluoropolymer,,CAS not found after 2 lookups; Rule-based classification: matched pattern '\bPECTFE\b|\bPCTFE\b'
Polyacrylonitrile,PAN,PAN; polyacrylonitrile,PAN,85-85-8,21.7,14.1,9.1,10.9,Acrylic,PAN,CAS found via PubChem: 85-85-8; Rule-based classification: matched pattern '\bPAN\b|POLYACRYLONITRILE'
,PEI 1200PSI,PEI 1200PSI; polystyrene; PS,,,17.2,6.4,5.2,3.6,Polyester & Alkyd,,CAS not found after 2 lookups; Rule-based classification: matched pattern '\bPBT\b|\bPET\b|\bPETP\b|\bPEI\b|ESTANE|'
,PEI 2400PSI,PEI 2400PSI; polystyrene; PS,,,17.4,4.6,9.0,7.2,Polyester & Alkyd,,CAS not found after 2 lookups; Rule-based classification: matched pattern '\bPBT\b|\bPET\b|\bPETP\b|\bPEI\b|ESTANE|'
,PEI 600PSI,PEI 600PSI; polystyrene; PS,,,17.3,5.3,4.7,3.3,Polyester & Alkyd,,CAS not found after 2 lookups; Rule-based classification: matched pattern '\bPBT\b|\bPET\b|\bPETP\b|\bPEI\b|ESTANE|'
,ESTER GUM,ESTER GUM,,,16.9,4.5,6.5,9.2,Cellulosic Polymer,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'CELLUL|CELLIT\b|ETHOCEL|CELLIDORA|NITROC'
,ALKYD 45 SOYA,ALKYD 45 SOYA,,,17.5,2.3,7.7,10.0,Polyester & Alkyd,Alkyd,CAS not found after 2 lookups; Rule-based classification: matched pattern 'ALKYD|ALKYDAL|ALFTALAT|DYNAPOL|GLYPTAL|B'
,SILICONE DC-1107,SILICONE DC-1107,,,19.6,3.4,10.8,9.8,Elastomer,Silicone,source_uncertainty; CAS not found after 2 lookups; Rule-based classification: matched pattern 'SILICONE|BAYSILON|SILICON RESIN|POLY.DIM'
,PVETHYLETHER,PVETHYLETHER,,,15.1,3.1,11.9,12.9,Vinyl Polymer,PVE,source_uncertainty; CAS not found after 2 lookups; Rule-based classification: matched pattern 'VBE/|PVBE\b|PVEE\b|PVIBE\b|PVETHYL|PVINY'
,PBUTYLACRYLATE,PBUTYLACRYLATE,,,16.2,9.0,3.0,10.1,Acrylic,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'ACRYLIC|ACRYLATE|METHACRYLATE|\bPMMA\b|P'
,PBMA,PBMA,,,15.9,5.5,5.9,8.5,Acrylic,,source_uncertainty; CAS not found after 2 lookups; Rule-based classification: matched pattern 'MMA/|/MMA|METHYL METHACRYLATE|PLEXIGUM|P'
,SILICONE DC 23,SILICONE DC 23,,,16.4,0.0,7.8,5.5,Elastomer,Silicone,source_uncertainty; CAS not found after 2 lookups; Rule-based classification: matched pattern 'SILICONE|BAYSILON|SILICON RESIN|POLY.DIM'
Polyethylene,polyethylene,polyethylene,PE,,16.0,0.8,2.8,3.2,Polyolefin,,CAS not found after 2 lookups; Rule-based classification: matched pattern '\bPE\b(?!\s*\d)|POLYETHYLENEOXIDE|PEO\b|'
,GILSONITE,GILSONITE,,,17.1,2.1,3.9,4.9,Natural & Petroleum Resin,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'HYDROCARBON M|CONOCO H-|GILSONITE|COAL T'
,PVINYLBUTYLETHER,PVINYLBUTYLETHER,,,17.4,3.4,7.8,8.4,Vinyl Polymer,PVE,CAS not found after 2 lookups; Rule-based classification: matched pattern 'VBE/|PVBE\b|PVEE\b|PVIBE\b|PVETHYL|PVINY'
,NAT RUBBER,NAT RUBBER,,,16.0,4.0,6.0,1.3,Elastomer,,CAS not found after 2 lookups; Rule-based classification: matched pattern '\bRUBBER\b|ELASTOMER|\bNBR\b|\bSBR\b|NEO'
,HYP 20 CHLOROSULFONATED PE,HYP 20 CHLOROSULFONATED PE; polyethylene; PE,,,17.4,3.2,4.0,4.8,Polyolefin,,CAS not found after 2 lookups; Rule-based classification: matched pattern '\bPE\b(?!\s*\d)|POLYETHYLENEOXIDE|PEO\b|'
,ETHCEL N22,ETHCEL N22,,,22.7,0.5,16.5,20.1,Cellulosic Polymer,,source_uncertainty; CAS not found after 2 lookups; Rule-based classification: matched pattern '\bETHCEL\b'
,CHLORINATED RUBBER,CHLORINATED RUBBER,,,17.9,6.3,5.1,7.6,Elastomer,,near_duplicate; CAS not found after 2 lookups; Rule-based classification: matched pattern '\bRUBBER\b|ELASTOMER|\bNBR\b|\bSBR\b|NEO'
,DAMMAR GUM,DAMMAR GUM,,,18.4,4.2,7.8,8.3,Natural & Petroleum Resin,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'ROSIN|TERPENE|PETROLEUM RESIN|COUMARONE|'
,Versamid 100,Versamid 100,,,18.8,3.0,9.2,7.8,Polyamide,,source_uncertainty; CAS not found after 2 lookups; Class from Step 0 brand prefix mapping
Polystyrene,polystyrene,polystyrene,PS,,18.5,4.5,2.9,5.3,Styrenic,Polystyrene,CAS not found after 2 lookups; Rule-based classification: matched pattern '\bPS\b(?!\s*\d)'
,PV AC,PV AC,,,17.6,2.2,4.0,4.1,Vinyl Polymer,PVAc,CAS not found after 2 lookups; Rule-based classification: matched pattern 'V A/|VA/|/V A|VINYL ACETATE/|POLY.VINYL '
Poly(vinyl chloride),PVC,PVC; vinyl; vinyl plastic,PVC,,17.6,7.8,3.4,8.2,Vinyl Polymer,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'POLYVINYL|VINYL ACETATE|VINYL ALCOHOL|VI'
,PHENOLICS,PHENOLICS,,,19.8,7.2,10.8,12.8,Phenolic Resin,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'PHENOL.FORMALDEHYDE|PHENOLIC|NOVOLAC|RES'
,BUNA N BUTADIENE/ACRYLONITRILE,BUNA N BUTADIENE/ACRYLONITRILE,,,17.8,3.2,3.4,3.7,Elastomer,,CAS not found after 2 lookups; Rule-based classification: matched pattern '\bRUBBER\b|ELASTOMER|\bNBR\b|\bSBR\b|NEO'
Poly(methyl methacrylate),acrylic glass,acrylic glass; acrylic; plexiglass,PMMA,,18.1,10.5,5.1,9.5,Acrylic,,near_duplicate; CAS not found after 2 lookups; Rule-based classification: matched pattern 'ACRYLIC|ACRYLATE|METHACRYLATE|\bPMMA\b|P'
,PEO 4000  HEATED SAMPLES,PEO 4000  HEATED SAMPLES; polyethylene; PE,,,21.5,10.9,13.1,15.9,Polyolefin,,source_uncertainty; CAS not found after 2 lookups; Rule-based classification: matched pattern '\bPE\b(?!\s*\d)|POLYETHYLENEOXIDE|PEO\b|'
POLYETHYLENESULFIDE,POLYETHYLENESULFIDE,POLYETHYLENESULFIDE,,,17.8,3.8,2.2,4.1,Polyolefin,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'POLYETHYLENE|\bHDPE\b|\bLDPE\b|\bLLDPE\b'
Polycarbonate,polycarbonate,polycarbonate; PC,PC,,18.1,5.9,6.9,5.5,Polyacetal / PEI / PC,Polycarbonate,CAS not found after 2 lookups; Rule-based classification: matched pattern '\bPC\b(?!\s*\d)'
,PLIOLITE P1230,PLIOLITE P1230,,,18.1,4.7,3.7,3.907248,Natural & Petroleum Resin,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'HYDROCARBON M|CONOCO H-|GILSONITE|COAL T'
,MYLAR PET,MYLAR PET; polyethylene; PE,,,18.0,6.2,6.2,5.0,Polyester & Alkyd,Saturated Polyester,CAS not found after 2 lookups; Rule-based classification: matched pattern '\bPET\b|\bPBT\b|\bPETG\b|POLY.ETHYLENE T'
,VCV A COPOLY,VCV A COPOLY,,,17.3,8.7,6.1,7.8,Vinyl Polymer,,CAS not found after 2 lookups; Rule-based classification: matched pattern '\bVCV A\b|\bVCVA\b'
,PUR,PUR,,550-33-4,17.9,6.9,3.7,2.7,Polyurethane,,CAS found via PubChem: 550-33-4; Rule-based classification: matched pattern '\bPUR\b|\bPU\b(?!\S)|TOLONATE|ISOCYANATE'
Poly(styrene-co-acrylonitrile),SAN,SAN; styrene-acrylonitrile,SAN,,16.6,9.8,7.6,4.8,Styrenic,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'STYRENE|POLYSTYRENE|\bABS\b|\bSAN\b|\bSB'
,VINSOL ROSIN,VINSOL ROSIN,,,17.4,10.0,13.0,10.5,Natural & Petroleum Resin,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'ROSIN|TERPENE|PETROLEUM RESIN|COUMARONE|'
,EPON 1001,EPON 1001,EP,,17.0,9.6,7.8,7.1,Epoxy Resin,,CAS not found after 2 lookups; Class from Step 0 brand prefix mapping
,SHELLAC,SHELLAC,,,19.7,10.1,15.1,10.7,Natural & Petroleum Resin,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'ROSIN|TERPENE|PETROLEUM RESIN|COUMARONE|'
POLYMETHACRYLONITRILE,POLYMETHACRYLONITRILE,POLYMETHACRYLONITRILE,,,17.2,14.4,7.6,3.8,Acrylic,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'MMA/|/MMA|METHYL METHACRYLATE|PLEXIGUM|P'
,CELLULOSE ACETATE,CELLULOSE ACETATE,,,18.3,16.5,11.9,8.8,Cellulosic Polymer,,near_duplicate; CAS not found after 2 lookups; Rule-based classification: matched pattern 'CELLUL|CELLIT\b|ETHOCEL|CELLIDORA|NITROC'
,CELLULOSE NITRATE,CELLULOSE NITRATE,,,16.9,13.5,10.3,9.9,Cellulosic Polymer,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'CELLUL|CELLIT\b|ETHOCEL|CELLIDORA|NITROC'
,PVOH,PVOH; PVA; polyvinyl alcohol,,,17.0,9.0,18.0,4.0,Vinyl Polymer,PVOH,CAS not found after 2 lookups; Rule-based classification: matched pattern '\bPVOH\b|\bPVAL\b'
,NYLON 66,NYLON 66,,,16.0,11.0,24.0,3.0,Polyamide,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'POLYAMIDE|\bNYLON\b|VERSAMID|POLYPHTHALA'
,Acryloid B-44,Acryloid B-44,,,19.4,11.2,4.4,10.5,Acrylic,,CAS not found after 2 lookups; Class from Step 0 brand prefix mapping
,Acryloid B-66,Acryloid B-66,,,18.0,9.0,3.0,9.0,Acrylic,,CAS not found after 2 lookups; Class from Step 0 brand prefix mapping
,Acryloid B-72,Acryloid B-72,,,19.2,11.2,1.8,11.0,Acrylic,,CAS not found after 2 lookups; Class from Step 0 brand prefix mapping
,Acryloid B-82,Acryloid B-82,,,19.1,9.1,3.3,9.0,Acrylic,,CAS not found after 2 lookups; Class from Step 0 brand prefix mapping
,R+H PBA,R+H PBA,,,16.0,8.0,8.0,12.0,Acrylic,,CAS not found after 2 lookups; Rule-based classification: matched pattern '^R\+H\b'
,R+H PiMBA,R+H PiMBA,,,20.7,4.1,10.7,11.5,Acrylic,,CAS not found after 2 lookups; Rule-based classification: matched pattern '^R\+H\b'
,R+H PNBMA,R+H PNBMA,,,16.0,6.2,6.6,9.5,Acrylic,,CAS not found after 2 lookups; Rule-based classification: matched pattern '^R\+H\b'
,R+H PEMA,R+H PEMA; polyethylene; PE,,,19.0,9.0,8.0,11.0,Acrylic,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'MMA/|/MMA|METHYL METHACRYLATE|PLEXIGUM|P'
,R+H PMAA,R+H PMAA,,,25.6,11.2,19.6,20.3,Acrylic,,CAS not found after 2 lookups; Rule-based classification: matched pattern '^R\+H\b'
,R+H PMMA,R+H PMMA; acrylic glass; acrylic; plexiglass; perspex,,,19.1,11.3,4.1,10.3,Acrylic,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'ACRYLIC|ACRYLATE|METHACRYLATE|\bPMMA\b|P'
,BMA/AN 80/20,BMA/AN 80/20,,,17.5,9.9,4.1,9.5,Acrylic,,CAS not found after 2 lookups; Rule-based classification: matched pattern '^BMA/'
,MAA/EA/ST 15/38/47,MAA/EA/ST 15/38/47,,,17.6,5.2,7.0,4.5,Acrylic,,CAS not found after 2 lookups; Rule-based classification: matched pattern '^MAA/'
,MAA/MA/V A 15/27.5/,MAA/MA/V A 15/27.5/,,,57.5,28.5,15.7,18.1,Vinyl Polymer,PVAc,hsp_flag_dd_high; CAS not found after 2 lookups; Rule-based classification: matched pattern 'V A/|VA/|/V A|VINYL ACETATE/|POLY.VINYL '
,MAA/MA/V A 15/17.5/,MAA/MA/V A 15/17.5/,,,67.5,25.5,15.7,18.1,Vinyl Polymer,PVAc,hsp_flag_dd_high; CAS not found after 2 lookups; Rule-based classification: matched pattern 'V A/|VA/|/V A|VINYL ACETATE/|POLY.VINYL '
,MMA/CYCLOL 58/42,MMA/CYCLOL 58/42,,,18.7,9.9,8.7,8.8,Acrylic,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'MMA/|/MMA|METHYL METHACRYLATE|PLEXIGUM|P'
,MMA/EA 50/50,MMA/EA 50/50,,,17.5,9.9,4.1,9.5,Acrylic,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'MMA/|/MMA|METHYL METHACRYLATE|PLEXIGUM|P'
,MMA/EA 25/75,MMA/EA 25/75,,,19.0,9.0,15.0,12.0,Acrylic,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'MMA/|/MMA|METHYL METHACRYLATE|PLEXIGUM|P'
,MMA/EA/AGE 40/40/20,MMA/EA/AGE 40/40/20,,,17.6,9.8,5.6,9.7,Acrylic,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'MMA/|/MMA|METHYL METHACRYLATE|PLEXIGUM|P'
,MMA/EA/AA,MMA/EA/AA,,,15.9,15.9,11.5,11.1,Acrylic,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'MMA/|/MMA|METHYL METHACRYLATE|PLEXIGUM|P'
,MMA/EA/AN 55/30/15,MMA/EA/AN 55/30/15,,,16.7,10.9,8.5,8.5,Acrylic,,source_uncertainty; CAS not found after 2 lookups; Rule-based classification: matched pattern 'MMA/|/MMA|METHYL METHACRYLATE|PLEXIGUM|P'
,MMA/EA/AN 40/40/20,MMA/EA/AN 40/40/20,,,20.4,13.2,11.0,12.3,Acrylic,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'MMA/|/MMA|METHYL METHACRYLATE|PLEXIGUM|P'
,MMA/EA/BAMA 40/40/20,MMA/EA/BAMA 40/40/20,,,17.9,8.5,11.7,12.9,Acrylic,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'MMA/|/MMA|METHYL METHACRYLATE|PLEXIGUM|P'
,MMA/EA/CYCLOL,MMA/EA/CYCLOL,,,17.6,9.8,6.4,9.8,Acrylic,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'MMA/|/MMA|METHYL METHACRYLATE|PLEXIGUM|P'
,MMA/EA/MAM 40/40/20,MMA/EA/MAM 40/40/20,,,19.0,9.0,15.0,12.0,Acrylic,,CAS not found after 2 lookups; Rule-based classification: matched pattern 'MMA/|/MMA|METHYL METHACRYLATE|PLEXIGUM|P'
