name,cas_number,delta_d,delta_p,delta_h,radius,type,confidence,source_count,source
PLEXIGUM MB319,,18.6,10.8,4.1,11.5,Acrylic,0.850,1,hsp_polymers_2
PLEXIGUM M527,,18.4,9.4,6.5,10.7,Acrylic,0.850,1,hsp_polymers_2
PMMA,,18.64,10.52,7.51,8.59,Acrylic,0.850,1,hsp_polymers_2
MOWILITH 50 PVAC,,20.93,11.27,9.66,13.71,Vinyl Polymer,0.850,1,hsp_polymers_2
POLYSTYRENE LG,,22.28,5.75,4.3,12.68,Styrenic,0.850,1,hsp_polymers_2
LAROFLEX MP 45,,18.4,8.4,5.8,9.0,Acrylic,0.850,1,hsp_polymers_2
VILIT MB 30,,20.0,8.3,6.7,9.4,Vinyl Polymer,0.850,1,hsp_polymers_2
VILIT MC 31,,20.0,8.3,6.7,9.4,Vinyl Polymer,0.850,1,hsp_polymers_2
VILIT MC 39,,18.4,7.6,6.7,6.8,Vinyl Polymer,0.850,1,hsp_polymers_2
VINYLITE VAGD,,17.1,10.4,6.5,7.5,Vinyl Polymer,0.850,1,hsp_polymers_2
VINYLITE VAGH,,16.5,10.9,6.4,7.7,Vinyl Polymer,0.850,1,hsp_polymers_2
VINYLITE VMCA,,17.7,11.1,6.9,8.7,Vinyl Polymer,0.850,1,hsp_polymers_2
VINYLITE VMCC,,17.6,11.1,6.8,8.8,Vinyl Polymer,0.850,1,hsp_polymers_2
VINYLITE VMCH,,17.6,11.1,6.4,8.6,Vinyl Polymer,0.850,1,hsp_polymers_2
VINYLITE VYHH,,17.4,10.2,5.9,7.8,Vinyl Polymer,0.850,1,hsp_polymers_2
VINYLITE VYLF,,18.1,10.3,4.2,8.3,Vinyl Polymer,0.850,1,hsp_polymers_2
Alftalat AC 366,,18.6,10.0,5.0,10.4,Polyester & Alkyd,0.850,1,hsp_polymers_2
Alftalat AM 756,,23.0,2.2,4.2,16.9,Polyester & Alkyd,0.850,1,hsp_polymers_2
Alftalat AN 896,,22.9,15.2,7.6,18.1,Polyester & Alkyd,0.850,1,hsp_polymers_2
Alftalat AN 950,,22.6,13.8,8.1,17.1,Polyester & Alkyd,0.850,1,hsp_polymers_2
