Solvent,InChIKey,Volume_cm3_per_mol,delta_d_MPa0.5,delta_p_MPa0.5,delta_h_MPa0.5,delta_t_MPa0.5
AceticAcid,QTBSBXVTEAMEQO-UHFFFAOYSA-N,57.1,14.5,8.0,13.5,21.3
AceticAnhydride,WFDIJRYMOXRFFG-UHFFFAOYSA-N,94.5,16.0,11.7,10.2,22.3
Acetone,CSCPPACGZOOCGX-UHFFFAOYSA-N,74.0,15.5,10.4,7.0,20.1
Acetonitrile,WEVYAHXRMPXWCK-UHFFFAOYSA-N,52.6,15.3,18.0,6.1,24.6
Acetophenone,KWOLFJPFCHCOCG-UHFFFAOYSA-N,117.4,19.6,8.6,3.7,21.7
AcetylChloride,WETWJCDKMRHUPV-UHFFFAOYSA-N,71.0,15.8,10.6,3.9,19.4
Acrylonitrile,NLHHRLWOUZZQLW-UHFFFAOYSA-N,67.1,16.4,17.4,6.8,24.8
AllylAlcohol,XXROGKLTLUQVRX-UHFFFAOYSA-N,68.4,16.2,10.8,16.8,25.8
AmylAlcohol,AMQJEAYHLZJPGS-UHFFFAOYSA-N,109.0,16.0,4.5,13.9,21.7
Anisole,RDOXTESZEPMUJZ-UHFFFAOYSA-N,119.1,17.8,4.1,6.8,19.4
Benzaldehyde,HUMNYLRZRPPJDN-UHFFFAOYSA-N,101.5,19.4,7.4,5.3,21.5
Benzene,UHOVQNZJYSORNB-UHFFFAOYSA-N,89.4,18.4,0.0,2.0,18.6
BenzoicAcid,WPYMKLBDIGXBTP-UHFFFAOYSA-N,100.0,18.2,7.0,9.8,21.9
Benzonitrile,JFDZBHWFFUWGJE-UHFFFAOYSA-N,102.6,17.4,9.0,3.3,19.8
BenzylAlcohol,WVDDGKGOMKODPV-UHFFFAOYSA-N,103.6,18.4,6.3,13.7,23.7
BenzylBenzoate,SESFRYSPDFLNCH-UHFFFAOYSA-N,190.3,20.0,5.1,5.2,21.28497122384712
BenzylButylPhthalate,IRIAEXORFWYRCZ-UHFFFAOYSA-N,306.0,19.0,11.3,3.1,22.3
BenzylEther,MHDVGSVTJDSBDK-UHFFFAOYSA-N,192.7,17.4,3.7,7.4,19.2
Biphenyl,ZUOUZKKEUPVFJK-UHFFFAOYSA-N,154.1,21.5,1.0,2.0,21.7
Bis2ChloroisopropylEther,BULHJTXRZFEUDQ-UHFFFAOYSA-N,146.0,19.0,8.2,5.1,21.3
Bromobenzene,QARVLSVVCXYDNA-UHFFFAOYSA-N,105.3,20.5,5.5,4.1,21.7
Bromochloromethane,JPOXNPPZZKNXOV-UHFFFAOYSA-N,65.0,17.4,5.7,3.5,18.6
Bromoethane,RDHPKYGYEGBMSE-UHFFFAOYSA-N,76.9,16.6,8.0,5.1,19.0
Bromoform,DIKBFYAXUHHXCS-UHFFFAOYSA-N,87.5,21.5,4.1,6.1,22.7
Bromotrifluoromethane,RJCQBQGAPKAMLL-UHFFFAOYSA-N,97.0,9.6,2.5,0.0,10.0
Butoxypropanol,IDQBJILTOGBZCR-UHFFFAOYSA-N,132.0,15.3,4.5,9.2,18.41140950606444
ButylAcetate,DKPFZGUDAPQIHT-UHFFFAOYSA-N,132.5,15.8,3.7,6.3,17.4
Butylamine,HQABUPZFAYXKJW-UHFFFAOYSA-N,99.0,16.2,4.5,8.0,18.6
ButylBenzoate,XSIFPSYPOVKYCO-UHFFFAOYSA-N,178.1,18.3,5.6,5.5,19.912307751739878
ButylLactate,MRABAEUHTLLEML-UHFFFAOYSA-N,149.0,15.8,6.5,10.2,19.8
ButylPropionate,BTMVHUNTONAYDX-UHFFFAOYSA-N,149.3,15.7,5.5,5.9,17.650779019635365
ButylStearate,ULBTUVJTXULMLP-UHFFFAOYSA-N,382.0,14.5,3.7,3.5,15.3
Butyraldehyde,ZTQSAGDEMFDKMZ-UHFFFAOYSA-N,88.5,14.7,5.3,7.0,17.2
ButyricAcid,FERIUCNNQQJTOY-UHFFFAOYSA-N,110.0,14.9,4.1,10.6,18.8
Butyronitrile,KVNRLNFWIYMESJ-UHFFFAOYSA-N,87.0,15.3,12.5,5.1,20.5
Caprolactone,PAPBSGBWRJIAAV-UHFFFAOYSA-N,110.8,19.7,15.0,7.4,25.84279396659734
CarbonDisulfide,QGJOPFRUJISHPQ-UHFFFAOYSA-N,60.0,20.5,0.0,0.6,20.5
CarbonTetrachloride,VZGDMQKNWNREIO-UHFFFAOYSA-N,97.1,17.8,0.0,0.6,17.8
Chlorobenzene,MVPPADPHJFYWMZ-UHFFFAOYSA-N,102.1,19.0,4.3,2.0,19.6
Chlorodifluoromethane,VOPWNXZWBYDODV-UHFFFAOYSA-N,72.9,12.3,6.3,5.7,14.9
Chloroform,HEDRZPFGACZZDS-UHFFFAOYSA-N,80.7,17.8,3.1,5.7,19.0
Chloromethane,NEHMKBQYUWJMIP-UHFFFAOYSA-N,55.4,15.3,6.1,3.9,17.0
Cyanol,PAYRUJLWNCNPSJ-UHFFFAOYSA-N,91.5,19.4,5.1,10.2,22.5
Cyclohexane,XDTMQSROBMDMFD-UHFFFAOYSA-N,108.9,16.8,0.0,0.2,16.801190434013897
Cyclohexanol,HPXRVTGHNJAIIH-UHFFFAOYSA-N,106.0,17.4,4.1,13.5,22.5
Cyclohexanone,JHIVVAPYMSGYDF-UHFFFAOYSA-N,104.0,17.8,6.3,5.1,19.6
Cyclohexylamine,PAFZNILMFXTMIY-UHFFFAOYSA-N,115.2,17.4,3.1,6.5,18.8
DibutylPhthalate,DOIRQSBPFJWKBE-UHFFFAOYSA-N,266.0,17.8,8.6,4.1,20.3
DibutylSebacate,PYGXAGIECVVIOZ-UHFFFAOYSA-N,339.0,13.9,4.5,4.1,16.2
