name,cas_number,smiles,molecular_formula,delta_d,delta_p,delta_h,molecular_weight,boiling_point,density,molar_volume,category,ghs_hazard,confidence,source_count,source,source_url,hidden
1-Octene,111-66-0,CCCCCCC=C,C8H16,15.3,1.0,2.4,112.21,,,,hydrocarbon,H225; H304; H315; H411; H400; H410; H332; H336,0.945,1,hspip_solvents,https://pubchem.ncbi.nlm.nih.gov/compound/8125,
1-Pentanol,71-41-0,CCCCCO,C5H12O,15.9,5.9,13.9,88.15,,,,ether,H226; H315; H332; H335; H314; H318; H319; H371,0.958,1,hspip_solvents,https://pubchem.ncbi.nlm.nih.gov/compound/6276,
1-Pentene,109-67-1,CCCC=C,C5H10,13.9,1.4,3.8,70.13,,,,hydrocarbon,H224; H304; H315; H319; H412,0.958,1,hspip_solvents,https://pubchem.ncbi.nlm.nih.gov/compound/8004,
1-Propanethiol,107-03-9,CCCS,C3H8S,16.1,5.8,5.7,76.16,,,,hydrocarbon,H225; H302; H319; H317; H400; H332; H335,0.945,1,hspip_solvents,https://pubchem.ncbi.nlm.nih.gov/compound/7848,
1-Propanol,71-23-8,CCCO,C3H8O,16.0,6.8,17.4,60.1,,,,ether,H225; H318; H336; H302; H361; H303; H305; H313; H315; H319; H335; H351,0.958,1,hspip_solvents,https://pubchem.ncbi.nlm.nih.gov/compound/1031,
1-Tetradecene,1120-36-1,CCCCCCCCCCCCC=C,C14H28,16.1,0.5,1.9,196.37,251.1,,,hydrocarbon,H304; H315,0.970,1,hspip_solvents,https://pubchem.ncbi.nlm.nih.gov/compound/14260,
"2,2',5,5'-Tetrathiafulvalen",31366-25-3,,C6H4S4,21.0,8.2,8.4,204.4,,,,other,H317,0.795,1,hspip_solvents,https://pubchem.ncbi.nlm.nih.gov/compound/99451,
"2,2,2-Trifluoro Ethanol",75-89-8,OCC(F)(F)F,C2H3F3O,15.4,8.3,16.4,100.04,,,,alcohol,H226; H301; H312; H315; H318; H331; H332; H335; H360; H373,0.958,1,hspip_solvents,https://pubchem.ncbi.nlm.nih.gov/compound/6409,
"2,2,4-Trimethyl-1,3-Pentanediol Monoisobutyrate",25265-77-4,CC(C)C(O)C(C)(C)CO.CC(C)C(O)=O,C12H24O3,15.1,6.1,9.8,216.32,,,,ether,H320; H402,0.945,1,hspip_solvents,https://pubchem.ncbi.nlm.nih.gov/compound/6490,
"2,2,4-Trimethylpentane",540-84-1,CC(C)CC(C)(C)C,C8H18,14.1,0.0,0.0,114.23,,,,hydrocarbon,H225; H304; H315; H336; H400; H410; H224; H302; H335,0.975,1,hspip_solvents,https://pubchem.ncbi.nlm.nih.gov/compound/10907,
"2,2,6,6-Tetrachlorocyclohexanone",3776-30-5,ClC1(Cl)CCCC(Cl)(Cl)C1=O,C6H6Cl4O,19.5,14.0,6.3,235.9,,,,ether,H302,0.945,1,hspip_solvents,https://pubchem.ncbi.nlm.nih.gov/compound/77407,
"2,2-Dimethyl-1-Propanol",75-84-3,CC(C)(C)CO,C5H12O,15.6,6.5,13.5,88.15,,,,ether,H226; H228; H319; H332; H335,0.958,1,hspip_solvents,https://pubchem.ncbi.nlm.nih.gov/compound/6404,
"2,3,4-Trifluoro Nitrobenzene",771-69-7,[O-][N+](=O)c1ccc(F)c(F)c1F,C6H2F3NO2,19.5,7.7,3.5,177.08,,,,aromatic,H302; H311; H312; H315; H317; H319; H332; H335; H373,0.945,1,hspip_solvents,https://pubchem.ncbi.nlm.nih.gov/compound/69871,
"2,3-Benzofuran",271-89-6,o1ccc2ccccc12,C8H6O,18.7,5.1,5.7,118.13,174.0,,,ether,H226; H351; H412; H350; H402; H373,0.958,1,hspip_solvents,https://pubchem.ncbi.nlm.nih.gov/compound/9223,
"2,3-Butadiene-1-ol",18913-31-0,OC[CH]=[C]=[CH2],C4H6O,16.2,6.6,16.8,70.09,,,,ether,H226; H315; H319; H335,0.945,1,hspip_solvents,https://pubchem.ncbi.nlm.nih.gov/compound/140447,
"2,3-Butylene Carbonate",4437-70-1,CC1OC(=O)OC1C,C5H8O3,18.0,16.8,3.1,116.11,,,,ester,,0.945,1,hspip_solvents,https://pubchem.ncbi.nlm.nih.gov/compound/536113,
