name,cas_number,delta_d,delta_p,delta_h,radius,type,confidence,source_count,source,source_url,product_url,tds_url,sds_url,dataset_id
DESMOPHEN 1100,,16.0,13.1,9.2,11.4,Polyurethane,0.3,1,hansen_a2,,https://solutions.covestro.com/en/products/desmophen/desmophen-1100_000000000000409618,,,"hansen_a2,hsp_polymers_2,hsp_polymers_3,hsp_polymers_5,hspip_polymers"
DESMOPHEN 1150,,20.6,7.8,11.6,13.1,Polyurethane,0.3,1,hansen_a2,,https://solutions.covestro.com/en/brands/desmophen,,,"hansen_a2,hsp_polymers_2,hsp_polymers_3,hsp_polymers_5,hspip_polymers"
DESMOPHEN 1200,,19.4,7.4,6.0,9.8,Polyurethane,0.3,1,hansen_a2,,https://solutions.covestro.com/en/products/desmophen/desmophen-1200_000000000000134597,,,"hansen_a2,hsp_polymers_2,hsp_polymers_3,hsp_polymers_5,hspip_polymers"
DESMOPHEN 1700,,17.9,9.6,5.9,8.2,Polyurethane,0.3,1,hansen_a2,,https://solutions.covestro.com/en/products/desmophen/desmophen-1700_000000000004360974,,https://solutions.covestro.com/api/uwsi/download?productNumber=04360974&country=US&language=EN&realSubstanceNumber=112000013609,"hansen_a2,hsp_polymers_2,hsp_polymers_3,hsp_polymers_5,hspip_polymers"
DESMOPHEN 651,,17.7,10.6,11.6,9.5,Polyurethane,0.3,1,hansen_a2,,https://solutions.covestro.com/en/products/desmophen/desmophen-651-mpa_000000000000466557,,,"hansen_a2,hsp_polymers_2,hsp_polymers_3,hsp_polymers_5,hspip_polymers"
DESMOPHEN 800,,19.1,12.2,9.9,8.0,Polyurethane,0.3,1,hansen_a2,,https://solutions.covestro.com/en/products/desmophen/desmophen-800_000000000000409553,,https://solutions.covestro.com/api/uwsi/download?productNumber=00409553&country=US&language=EN&realSubstanceNumber=112000013613,"hansen_a2,hsp_polymers_2,hsp_polymers_3,hsp_polymers_5,hspip_polymers"
DESMOPHEN 850,,21.54,14.94,12.28,16.78,Polyurethane,0.3,1,hansen_a2,,https://solutions.covestro.com/en/products/desmophen/desmophen-850_000000000000401862,,,"hansen_a2,hsp_polymers_2,hsp_polymers_3,hsp_polymers_5,hspip_polymers"
Diallylphthalate,131-17-9,22.2,12.2,8.6,15.8,Polyester & Alkyd,0.4,1,hsp_polymers_4,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/datasets/hspip_polymers/raw/HSPiP_polymers.csv,,,,hsp_polymers_4
DODA 3457,,19.0,2.0,1.0,3.0,Vinyl Resins - Solvent Range,0.3,1,hansen_a2,,,,,"hansen_a2,hsp_polymers_2,hsp_polymers_3,hsp_polymers_4,hsp_polymers_5,hspip_polymers"
DODA 6225,,19.0,2.0,1.0,3.0,Vinyl Resins - Solvent Range,0.3,1,hansen_a2,,,,,"hansen_a2,hsp_polymers_2,hsp_polymers_3,hsp_polymers_4,hsp_polymers_5,hspip_polymers"
DOW ADIP TEREP,,17.8,10.4,6.8,9.3,Polyesters - Solvent Range,0.3,1,hansen_a2,,,,,"hansen_a2,hsp_polymers_2,hsp_polymers_3,hsp_polymers_4,hsp_polymers_5,hspip_polymers"
DOW EPOXY NOVOLAC 438,,20.3,15.4,5.3,15.1,Special Data,0.3,1,hansen_a2,,,,,"hansen_a2,hsp_polymers_2,hsp_polymers_3,hsp_polymers_5,hspip_polymers"
DOW EPOXY NOVOLAC 444,,19.5,11.6,9.3,10.0,Special Data,0.3,1,hansen_a2,,,,,"hansen_a2,hsp_polymers_2,hsp_polymers_3,hsp_polymers_5,hspip_polymers"
DOW X-2635 MALEATE,,17.8,5.6,6.8,4.5,Polyesters - Solvent Range,0.3,1,hansen_a2,,,,,"hansen_a2,hsp_polymers_2,hsp_polymers_3,hsp_polymers_4,hsp_polymers_5,hspip_polymers"
DPG PHTH,,20.1,11.5,6.7,11.6,Polyesters - Solvent Range,0.3,1,hansen_a2,,,,,"hansen_a2,hsp_polymers_2,hsp_polymers_3,hsp_polymers_4,hsp_polymers_5,hspip_polymers"
DUROFTAL T 354,,17.3,4.2,7.9,9.3,Binders in Solution: Alkyds and Polyesters,0.3,1,hansen_a2,,,,,"hansen_a2,hsp_polymers_2,hsp_polymers_3,hsp_polymers_5,hspip_polymers"
DYNAPOL L 812,,22.6,13.1,5.8,16.8,Binders in Solution: Alkyds and Polyesters,0.3,1,hansen_a2,,,,,"hansen_a2,hsp_polymers_2,hsp_polymers_3,hsp_polymers_5,hspip_polymers"
DYNAPOL L 850,,20.0,6.2,7.0,9.5,Binders in Solution: Alkyds and Polyesters,0.3,1,hansen_a2,,,,,"hansen_a2,hsp_polymers_2,hsp_polymers_3,hsp_polymers_5,hspip_polymers"
DYNOMIN MM 9,,18.8,14.0,12.3,10.5,Amino Resins,0.3,1,hansen_a2,,,,,"hansen_a2,hsp_polymers_2,hsp_polymers_3,hsp_polymers_5,hspip_polymers"
DYNOMIN UM 15,,19.9,15.8,13.4,11.7,Amino Resins,0.3,1,hansen_a2,,,,,"hansen_a2,hsp_polymers_2,hsp_polymers_3,hsp_polymers_5,hspip_polymers"
Ebonite (Data Fit 0.722),,18.7,6.1,2.7,6.6,Elastomer,0.25,1,hsp_polymers_4,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/datasets/hspip_polymers/raw/HSPiP_polymers.csv,,,,hsp_polymers_4
Eco,,21.3,8.1,6.1,12.0,Elastomer,0.25,1,hsp_polymers_4,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/datasets/hspip_polymers/raw/HSPiP_polymers.csv,,,,hsp_polymers_4
ELVAX 150,,18.7,2.3,0.7,6.0,Vinyl Resins - Solvent Range,0.3,1,hansen_a2,,,,,"hansen_a2,hsp_polymers_2,hsp_polymers_3,hsp_polymers_5,hspip_polymers"
ELVAX 250,,19.0,2.0,1.0,3.0,Vinyl Resins - Solvent Range,0.3,1,hansen_a2,,,,,"hansen_a2,hsp_polymers_2,hsp_polymers_3,hsp_polymers_5,hspip_polymers"
ELVAX EOD 3602-1,,17.7,3.3,2.7,5.4,Vinyl Resins - Solvent Range,0.3,1,hansen_a2,,,,,"hansen_a2,hsp_polymers_2,hsp_polymers_3,hsp_polymers_5,hspip_polymers"
EPIKOTE 1001,,20.0,10.32,10.11,10.02,Epoxy,0.3,1,hansen_a2,,https://miller-stephenson.com/product/epon-1001-x-75/,https://www.miller-stephenson.com/wp-content/uploads/2016/08/1001-X-75.pdf,,"hansen_a2,hsp_polymers_2,hsp_polymers_3,hsp_polymers_5,hspip_polymers"
EPIKOTE 1004,,17.4,10.5,9.0,7.9,Epoxy,0.3,1,hansen_a2,,,https://www.miller-stephenson.com/wp-content/uploads/2016/08/1004F.pdf,,"hansen_a2,hsp_polymers_2,hsp_polymers_3,hsp_polymers_5,hspip_polymers"
EPIKOTE 1007,,21.0,11.1,13.4,11.7,Epoxy,0.3,1,hansen_a2,,,,,"hansen_a2,hsp_polymers_2,hsp_polymers_3,hsp_polymers_5,hspip_polymers"
EPIKOTE 1009,,19.3,9.37,10.95,8.26,Epoxy,0.3,1,hansen_a2,,,,,"hansen_a2,hsp_polymers_2,hsp_polymers_3,hsp_polymers_5,hspip_polymers"
EPIKOTE 828,,23.1,14.6,5.0,20.5,Epoxy,0.3,1,hansen_a2,,https://miller-stephenson.com/product/epon-828/,https://miller-stephenson.com/wp-content/uploads/2024/06/EPON-828_TDS.pdf,https://www.miller-stephenson.com/wp-content/uploads/sds/828.pdf,"hansen_a2,hsp_polymers_2,hsp_polymers_3,hsp_polymers_5,hspip_polymers"
EPOCRYL E-11,,17.3,12.9,12.1,8.5,Acrylic,0.25,1,hsp_polymers_2,,,,,"hsp_polymers_2,hsp_polymers_3,hsp_polymers_5"
EPOCRYL E-11 ?,,17.3,12.9,12.1,8.5,Miscellaneous - Solvent Range,0.3,1,hansen_a2,,,,,"hansen_a2,hsp_polymers_4,hspip_polymers"
EPON 1001,,17.0,9.6,7.8,7.1,Based on Solvent Range Solubility Data - Not too Reliable,0.3,1,hansen_a2,,,,,"hansen_a2,hsp_polymers_2,hsp_polymers_3,hsp_polymers_5,hspip_polymers"
Epoxy Cold Curing,,16.8,10.8,8.8,8.2,Epoxy Resin,0.25,1,hsp_polymers_4,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/datasets/hspip_polymers/raw/HSPiP_polymers.csv,,,,hsp_polymers_4
Epoxy Hot Curing,,18.3,12.3,9.7,7.3,Epoxy Resin,0.25,1,hsp_polymers_4,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/datasets/hspip_polymers/raw/HSPiP_polymers.csv,,,,hsp_polymers_4
epoxy novolac,,20.3,15.4,5.3,15.1,Epoxy Resin,0.25,1,hsp_polymers_4,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/datasets/hspip_polymers/raw/HSPiP_polymers.csv,,,,hsp_polymers_4
epoxy resin,,14.0,7.4,9.4,13.7,Epoxy Resin,0.25,1,hsp_polymers_4,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/datasets/hspip_polymers/raw/HSPiP_polymers.csv,,,,hsp_polymers_4
ESTANE X-7  DIO XANE ONLY,,19.0,1.8,7.4,1.0,Polyester & Alkyd,0.25,1,hsp_polymers_2,,,,,"hsp_polymers_2,hsp_polymers_3,hsp_polymers_5"
ESTANE X-7 ?? DIO XANE ONLY,,19.0,1.8,7.4,1.0,Miscellaneous - Solvent Range,0.3,1,hansen_a2,,,,,"hansen_a2,hspip_polymers"
ESTER GUM,,16.9,4.5,6.5,9.2,Based on Solvent Range Solubility Data - Not too Reliable,0.3,1,hansen_a2,,,,,"hansen_a2,hsp_polymers_2,hsp_polymers_3,hsp_polymers_5,hspip_polymers"
ESTER GUM BL,,19.64,4.73,7.77,10.64,Rosin Derivatives,0.3,1,hansen_a2,,,,,"hansen_a2,hsp_polymers_2,hsp_polymers_3,hsp_polymers_5,hspip_polymers"
ESTIMATE DRIED OIL,,16.0,6.0,7.0,5.0,Polymers of Interest for Conservation of Paintings,0.3,1,hansen_a2,,,,,"hansen_a2,hsp_polymers_2,hsp_polymers_3,hsp_polymers_4,hsp_polymers_5,hspip_polymers"
ETHCEL N22,,22.7,0.5,16.5,20.1,Cellulosic Polymer,0.25,1,hsp_polymers_2,,,,,"hsp_polymers_2,hsp_polymers_3,hsp_polymers_5"
ETHCEL N22?,,22.7,0.5,16.5,20.1,Based on Solvent Range Solubility Data - Not too Reliable,0.3,1,hansen_a2,,,,,"hansen_a2,hsp_polymers_4,hspip_polymers"
ETHOCEL HE10,,17.9,4.3,3.9,5.9,Ethyl Cellulose,0.3,1,hansen_a2,,,,,"hansen_a2,hsp_polymers_2,hsp_polymers_3,hsp_polymers_5,hspip_polymers"
ETHOCEL STD 20,,20.1,6.9,5.9,9.9,Ethyl Cellulose,0.3,1,hansen_a2,,,,,"hansen_a2,hsp_polymers_2,hsp_polymers_3,hsp_polymers_5,hspip_polymers"
ethyl cellulose,,17.9,4.3,3.9,5.9,Cellulosic Polymer,0.25,1,hsp_polymers_4,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/datasets/hspip_polymers/raw/HSPiP_polymers.csv,,,,hsp_polymers_4
ethylene vinyl alcohol copolymer,,20.5,10.5,12.3,7.3,Vinyl Polymer,0.25,1,hsp_polymers_4,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/datasets/hspip_polymers/raw/HSPiP_polymers.csv,,,,hsp_polymers_4
Ethylene/Propylene,,16.6,0.0,5.2,9.1,Elastomer,0.25,1,hsp_polymers_4,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/datasets/hspip_polymers/raw/HSPiP_polymers.csv,,,,hsp_polymers_4
EVA 4055 SOL,,17.7,3.5,3.7,4.7,Ethylene Vinylacetate (EVA) Solubility,0.3,1,hansen_a2,,,,,"hansen_a2,hsp_polymers_2,hsp_polymers_3,hsp_polymers_5,hspip_polymers"
EVA copolymer,,19.0,2.0,1.0,3.0,Vinyl Polymer,0.25,1,hsp_polymers_4,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/datasets/hspip_polymers/raw/HSPiP_polymers.csv,,,,hsp_polymers_4
EVOH SOL,,20.5,10.5,12.3,7.3,Correlations for Some Barrier-Type Polymers,0.3,1,hansen_a2,,,,,"hansen_a2,hsp_polymers_2,hsp_polymers_3,hsp_polymers_5,hspip_polymers"
EXON 470 PVC,,17.4,7.8,3.8,7.7,Vinyl Resins - Solvent Range,0.3,1,hansen_a2,,,,,"hansen_a2,hsp_polymers_2,hsp_polymers_3,hsp_polymers_5,hspip_polymers"
EXON 471,,17.9,8.7,2.5,9.0,Vinyl Resins - Solvent Range,0.3,1,hansen_a2,,,,,"hansen_a2,hsp_polymers_2,hsp_polymers_3,hsp_polymers_5,hspip_polymers"
EXON 473,,17.4,7.8,3.8,7.7,Vinyl Resins - Solvent Range,0.3,1,hansen_a2,,,,,"hansen_a2,hsp_polymers_2,hsp_polymers_3,hsp_polymers_5,hspip_polymers"
FEP,,19.0,4.0,3.0,4.0,Chemical Resistance Data - Modern Plastics Encylopedia,0.3,1,hansen_a2,,,,,"hansen_a2,hsp_polymers_2,hsp_polymers_3,hsp_polymers_5,hspip_polymers"
Fkm (Viton) (0.76 Data Fit),,11.6,23.0,5.0,21.6,Elastomer,0.25,1,hsp_polymers_4,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/datasets/hspip_polymers/raw/HSPiP_polymers.csv,,,,hsp_polymers_4
fluorinated ethylene propylene,,19.0,4.0,3.0,4.0,Fluoropolymer,0.25,1,hsp_polymers_4,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/datasets/hspip_polymers/raw/HSPiP_polymers.csv,,,,hsp_polymers_4
fluoroacrylic resin,,18.5,5.4,6.9,9.9,Fluoropolymer,0.25,1,hsp_polymers_4,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/datasets/hspip_polymers/raw/HSPiP_polymers.csv,,,,hsp_polymers_4
FORMVAR 15/95E,,22.2,12.6,14.2,14.0,Vinyl Resins - Solvent Range,0.3,1,hansen_a2,,,,,"hansen_a2,hsp_polymers_2,hsp_polymers_3,hsp_polymers_5,hspip_polymers"
FORMVAR 7/70E PVFORMAL,,22.2,12.6,14.2,14.0,Vinyl Resins - Solvent Range,0.3,1,hansen_a2,,,,,"hansen_a2,hsp_polymers_2,hsp_polymers_3,hsp_polymers_5,hspip_polymers"
Fq Fl/Si,,15.9,20.1,6.9,16.8,Fluoropolymer,0.25,1,hsp_polymers_4,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/datasets/hspip_polymers/raw/HSPiP_polymers.csv,,,,hsp_polymers_4
fullerene C60,99685-96-8,19.4,13.4,11.6,11.1,Biological & Other,0.4,1,hsp_polymers_4,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/datasets/hspip_polymers/raw/HSPiP_polymers.csv,,,,hsp_polymers_4
FURAN,110-00-9,19.0,6.0,8.0,5.0,Chemical Resistance Data - Modern Plastics Encylopedia,0.45,1,hansen_a2,,,,,"hansen_a2,hsp_polymers_2,hsp_polymers_3,hsp_polymers_5,hspip_polymers"
furan resin,,19.0,6.0,8.0,5.0,Phenolic Resin,0.25,1,hsp_polymers_4,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/datasets/hspip_polymers/raw/HSPiP_polymers.csv,,,,hsp_polymers_4
FURF ALC,,19.9,3.9,5.1,3.8,Chemical Resistance Data - Modern Plastics Encylopedia,0.3,1,hansen_a2,,,,,"hansen_a2,hsp_polymers_2,hsp_polymers_3,hsp_polymers_4,hsp_polymers_5,hspip_polymers"
GEON 121,,19.5,6.7,11.1,8.0,Vinyl Resins - Solvent Range,0.3,1,hansen_a2,,,,,"hansen_a2,hsp_polymers_2,hsp_polymers_3,hsp_polymers_5,hspip_polymers"
GILSONITE,,17.1,2.1,3.9,4.9,Based on Solvent Range Solubility Data - Not too Reliable,0.3,1,hansen_a2,,,,,"hansen_a2,hsp_polymers_2,hsp_polymers_3,hsp_polymers_4,hsp_polymers_5,hspip_polymers"
HDPE,,18.0,0.0,2.0,2.0,Chemical Resistance Data - Modern Plastics Encylopedia,0.3,1,hansen_a2,,https://pubchem.ncbi.nlm.nih.gov/compound/9795,,,"hansen_a2,hsp_polymers_2,hsp_polymers_3,hsp_polymers_5,hspip_polymers"
Hdpe/Ldpe,,17.5,4.3,8.3,3.9,Polyolefin,0.25,1,hsp_polymers_4,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/datasets/hspip_polymers/raw/HSPiP_polymers.csv,,,,hsp_polymers_4
Het Resin,,17.5,11.3,8.3,8.6,Epoxy Resin,0.25,1,hsp_polymers_4,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/datasets/hspip_polymers/raw/HSPiP_polymers.csv,,,,hsp_polymers_4
HEXADECYL MONOESTER TRIME,,19.0,11.6,14.0,11.9,Miscellaneous - Solvent Range,0.3,1,hansen_a2,,,,,"hansen_a2,hsp_polymers_2,hsp_polymers_3,hsp_polymers_4,hsp_polymers_5,hspip_polymers"
high-density polyethylene,9002-88-4,18.0,0.0,2.0,2.0,Polyolefin,0.4,1,hsp_polymers_4,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/datasets/hspip_polymers/raw/HSPiP_polymers.csv,,,,hsp_polymers_4
HIPS,,20.0,5.0,1.0,7.0,Styrenic,0.25,1,hsp_polymers_4,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/datasets/hspip_polymers/raw/HSPiP_polymers.csv,,,,hsp_polymers_4
HYCAR 1052,,18.62,8.78,4.17,9.62,Acrylonitrile-Butadiene,0.3,1,hansen_a2,,,,,"hansen_a2,hsp_polymers_2,hsp_polymers_3,hsp_polymers_5,hspip_polymers"
HYD BIS A FUM ISPH,,17.0,4.4,6.2,5.0,Polyesters - Solvent Range,0.3,1,hansen_a2,,,,,"hansen_a2,hsp_polymers_2,hsp_polymers_3,hsp_polymers_4,hsp_polymers_5,hspip_polymers"
HYD BIS A PG FUM ISPH,,18.7,8.9,5.5,8.4,Polyesters - Solvent Range,0.3,1,hansen_a2,,,,,"hansen_a2,hsp_polymers_2,hsp_polymers_3,hsp_polymers_4,hsp_polymers_5,hspip_polymers"
HYDR SPERM OIL WX135,,20.0,4.0,2.0,5.0,Miscellaneous - Solvent Range,0.3,1,hansen_a2,,,,,"hansen_a2,hsp_polymers_2,hsp_polymers_3,hsp_polymers_5,hspip_polymers"
hydrocarbon resin,,17.55,1.19,3.6,6.55,Natural & Petroleum Resin,0.25,1,hsp_polymers_4,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/datasets/hspip_polymers/raw/HSPiP_polymers.csv,,,,hsp_polymers_4
hydroxy acrylic,,19.9,8.1,6.0,9.8,Acrylic,0.25,1,hsp_polymers_4,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/datasets/hspip_polymers/raw/HSPiP_polymers.csv,,,,hsp_polymers_4
HYP 20 CHLOROSULFONATED PE,,17.4,3.2,4.0,4.8,Based on Solvent Range Solubility Data - Not too Reliable,0.3,1,hansen_a2,,,,,"hansen_a2,hsp_polymers_2,hsp_polymers_3,hsp_polymers_5,hspip_polymers"
HYPALON,,18.4,3.6,6.4,9.0,Elastomer,0.25,1,hsp_polymers_2,,,,,"hsp_polymers_2,hsp_polymers_3,hsp_polymers_5"
HYPALON +/- NOT OK,,18.4,5.6,6.0,9.4,Supplemental Chemical Resistance Corrlations,0.3,1,hansen_a2,,,,,"hansen_a2,hspip_polymers"
HYPALON +/- OK,,18.4,3.6,6.4,9.0,Supplemental Chemical Resistance Corrlations,0.3,1,hansen_a2,,,,,"hansen_a2,hspip_polymers"
HYPALON 20,,18.1,3.4,4.9,3.6,Chlorosulfonated PE,0.3,1,hansen_a2,,,http://www.inforubber.com/product/CSM/Hypalon%2020.pdf,https://www1.mscdirect.com/MSDS/MSDS00004/63415905-20150718.PDF,"hansen_a2,hsp_polymers_2,hsp_polymers_3,hsp_polymers_5,hspip_polymers"
HYPALON 20 CHL SULF PE,,17.8,3.2,4.4,4.1,Miscellaneous - Solvent Range,0.3,1,hansen_a2,,,http://www.inforubber.com/product/CSM/Hypalon%2020.pdf,https://www1.mscdirect.com/MSDS/MSDS00004/63415905-20150718.PDF,"hansen_a2,hsp_polymers_2,hsp_polymers_3,hsp_polymers_5,hspip_polymers"
HYPALON 30,,18.2,4.7,2.0,5.0,Chlorosulfonated PE,0.3,1,hansen_a2,,,,https://www1.mscdirect.com/MSDS/MSDS00004/63415905-20150718.PDF,"hansen_a2,hsp_polymers_2,hsp_polymers_3,hsp_polymers_5,hspip_polymers"
HYTREL,,24.2,14.6,13.2,18.8,Elastomer,0.25,1,hsp_polymers_2,,,,,"hsp_polymers_2,hsp_polymers_3,hsp_polymers_5"
HYTREL +/- NOT OK,,26.4,18.8,7.4,26.3,Supplemental Chemical Resistance Corrlations,0.3,1,hansen_a2,,,,,"hansen_a2,hspip_polymers"
HYTREL +/- OK,,24.2,14.6,13.2,18.8,Supplemental Chemical Resistance Corrlations,0.3,1,hansen_a2,,,,,"hansen_a2,hspip_polymers"
ISOB MALANH/CYCLOL 75/25,,16.8,-0.4,7.2,8.5,Acrylics - Solvent Range,0.3,1,hansen_a2,,,,,hansen_a2
Isophthalic,,19.8,17.4,4.2,18.0,Polyester & Alkyd,0.25,1,hsp_polymers_4,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/datasets/hspip_polymers/raw/HSPiP_polymers.csv,,,,hsp_polymers_4
KAURI GUM,,18.7,8.1,13.0,8.2,Miscellaneous,0.3,1,hansen_a2,,,,,"hansen_a2,hsp_polymers_2,hsp_polymers_3,hsp_polymers_4,hsp_polymers_5,hspip_polymers"
ketone resin,,18.0,10.8,13.2,12.2,Natural & Petroleum Resin,0.25,1,hsp_polymers_4,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/datasets/hspip_polymers/raw/HSPiP_polymers.csv,,,,hsp_polymers_4
KETONE RESIN S588,,18.0,10.8,13.2,12.2,Miscellaneous - Solvent Range,0.3,1,hansen_a2,,,,,"hansen_a2,hsp_polymers_2,hsp_polymers_3,hsp_polymers_5,hspip_polymers"
KOPPERS KTPL-A,,19.3,3.7,7.9,7.8,Styrene Polymers And Copolymers - Solvent Range,0.3,1,hansen_a2,,,,,"hansen_a2,hsp_polymers_2,hsp_polymers_3,hsp_polymers_5,hspip_polymers"
LARD 23C,,17.69,2.66,4.36,7.98,Biologically Interesting Systems,0.3,1,hansen_a2,,,,,"hansen_a2,hsp_polymers_2,hsp_polymers_3,hsp_polymers_4,hsp_polymers_5,hspip_polymers"
LARD 37C,,15.9,1.16,5.41,12.03,Biologically Interesting Systems,0.3,1,hansen_a2,,,,,"hansen_a2,hsp_polymers_2,hsp_polymers_3,hsp_polymers_4,hsp_polymers_5,hspip_polymers"
LAROFLEX MP 45,,18.4,8.4,5.8,9.0,Vinyl Chloride Copolymers,0.3,1,hansen_a2,,,,,"hansen_a2,hsp_polymers_2,hsp_polymers_3,hsp_polymers_5,hspip_polymers"
LDPE PERM<,,0.8,15.3,5.3,2.5,Polyolefin,0.25,1,hsp_polymers_2,,,,,"hsp_polymers_2,hsp_polymers_3,hsp_polymers_5,hspip_polymers"
LDPE PERM<0.8,,15.3,5.3,2.5,10.1,Permeation of LDPE by Organic Liquids,0.3,1,hansen_a2,,,,,hansen_a2
LDPE PERM>80,,16.5,4.5,0.5,6.0,Permeation of LDPE by Organic Liquids,0.3,1,hansen_a2,,,,,"hansen_a2,hsp_polymers_2,hsp_polymers_3,hsp_polymers_5,hspip_polymers"
LIGNIN,9005-53-2,20.17,14.61,15.04,11.66,Special,0.45,1,hansen_a2,,,,,"hansen_a2,hsp_polymers_2,hsp_polymers_3,hsp_polymers_4,hsp_polymers_5,hspip_polymers"
low-density polyethylene,9002-88-4,16.5,4.5,0.5,6.0,Polyolefin,0.4,1,hsp_polymers_4,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/datasets/hspip_polymers/raw/HSPiP_polymers.csv,,,,hsp_polymers_4
LUCITE 2042 PEMA,,17.6,9.66,3.97,10.64,Polyacrylate,0.3,1,hansen_a2,,,,,"hansen_a2,hsp_polymers_2,hsp_polymers_3,hsp_polymers_5,hspip_polymers"
LUCITE 2044 PMMA,,16.2,6.8,5.7,9.1,Polyacrylate,0.3,1,hansen_a2,,,,,"hansen_a2,hsp_polymers_2,hsp_polymers_3,hsp_polymers_5,hspip_polymers"
LUMFLON LF200 (10%),,18.5,5.4,6.9,9.9,Fluorinated Polyethers,0.3,1,hansen_a2,,https://www.agcchem.com/products/high-performance-coatings/lumiflon-fluoropolymer-resins/,,https://lumiflonusa.com/wp-content/uploads/SDS-GHS-UN-EU-English-LUMIFLON-LF200.pdf,"hansen_a2,hsp_polymers_2,hsp_polymers_3,hsp_polymers_5,hspip_polymers"
LUMFLON LF916 (10%),,17.5,6.8,10.5,12.5,Fluorinated Polyethers,0.3,1,hansen_a2,,https://www.agcchem.com/products/high-performance-coatings/lumiflon-fluoropolymer-resins/,,,"hansen_a2,hsp_polymers_2,hsp_polymers_3,hsp_polymers_5,hspip_polymers"
LUTANAL I60,,16.9,2.5,4.0,7.2,Polyisobutylene,0.3,1,hansen_a2,,,,,"hansen_a2,hsp_polymers_2,hsp_polymers_3,hsp_polymers_4,hsp_polymers_5,hspip_polymers"
LUTONAL IC/1203,,14.2,2.5,4.6,12.4,Polyisobutylene,0.3,1,hansen_a2,,,,,"hansen_a2,hsp_polymers_2,hsp_polymers_3,hsp_polymers_4,hsp_polymers_5,hspip_polymers"
LYTRON 820,,21.1,13.1,14.5,14.4,Styrene Polymers And Copolymers - Solvent Range,0.3,1,hansen_a2,,https://pubchem.ncbi.nlm.nih.gov/compound/62707,,,"hansen_a2,hsp_polymers_2,hsp_polymers_3,hsp_polymers_4,hsp_polymers_5,hspip_polymers"
MAA/EA/ST 15/38/47,,17.6,5.2,7.0,4.5,Acrylics - Solvent Range,0.3,1,hansen_a2,,,,,"hansen_a2,hsp_polymers_2,hsp_polymers_3,hsp_polymers_5,hspip_polymers"
MAA/MA/V A 15/17.5/,,67.5,25.5,15.7,18.1,Vinyl Polymer,0.25,1,hsp_polymers_2,,,,,"hsp_polymers_2,hsp_polymers_3,hsp_polymers_5,hspip_polymers"
MAA/MA/V A 15/27.5/,,57.5,28.5,15.7,18.1,Vinyl Polymer,0.25,1,hsp_polymers_2,,,,,"hsp_polymers_2,hsp_polymers_3,hsp_polymers_5,hspip_polymers"
MAA/MA/VA 15/17.5/67.5,,25.5,15.7,18.1,21.5,Acrylics - Solvent Range,0.3,1,hansen_a2,,,,,hansen_a2
MAA/MA/VA 15/27.5/57.5,,28.5,15.7,18.1,21.5,Acrylics - Solvent Range,0.3,1,hansen_a2,,,,,hansen_a2
MACRYNAL SM 510N,,19.9,8.1,6.0,9.8,Polyurethane,0.3,1,hansen_a2,,https://allnex.com/en/product-finder-(1),,,"hansen_a2,hsp_polymers_2,hsp_polymers_3,hsp_polymers_5,hspip_polymers"
MARBON 9200,61789-96-6,19.0,4.0,4.0,6.0,Styrene Polymers And Copolymers - Solvent Range,0.45,1,hansen_a2,,,,,"hansen_a2,hsp_polymers_2,hsp_polymers_3,hsp_polymers_4,hsp_polymers_5,hspip_polymers"
