name,cas_number,delta_d,delta_p,delta_h,radius,type,confidence,source_count,source,source_url,product_url,tds_url,sds_url,dataset_id
ALFTALAT AM 756,,23.0,2.2,4.2,16.9,Binders in Solution: Alkyds and Polyesters,0.3,1,hansen_a2,,https://allnex.com/en/product-finder-(1),,,"hansen_a2,hsp_polymers_2,hsp_polymers_3,hsp_polymers_5,hspip_polymers"
ALFTALAT AN 896,,22.9,15.2,7.6,18.1,Binders in Solution: Alkyds and Polyesters,0.3,1,hansen_a2,,https://allnex.com/en/product-finder-(1),,,"hansen_a2,hsp_polymers_2,hsp_polymers_3,hsp_polymers_5,hspip_polymers"
ALFTALAT AN 950,,22.6,13.8,8.1,17.1,Binders in Solution: Alkyds and Polyesters,0.3,1,hansen_a2,,https://allnex.com/en/product-finder-(1),,,"hansen_a2,hsp_polymers_2,hsp_polymers_3,hsp_polymers_5,hspip_polymers"
ALFTALAT AT 316,,20.5,9.3,9.1,12.4,Binders in Solution: Alkyds and Polyesters,0.3,1,hansen_a2,,https://allnex.com/en/product-finder-(1),,,"hansen_a2,hsp_polymers_2,hsp_polymers_3,hsp_polymers_5,hspip_polymers"
ALFTALAT AT 576,,19.2,5.3,6.3,11.9,Binders in Solution: Alkyds and Polyesters,0.3,1,hansen_a2,,https://allnex.com/en/product-finder-(1),,,"hansen_a2,hsp_polymers_2,hsp_polymers_3,hsp_polymers_5,hspip_polymers"
ALKYD 45 SOYA,,17.5,2.3,7.7,10.0,Based on Solvent Range Solubility Data - Not too Reliable,0.3,1,hansen_a2,,,,,"hansen_a2,hsp_polymers_2,hsp_polymers_3,hsp_polymers_5,hspip_polymers"
alkyd resin,,23.6,1.0,7.6,19.0,Polyester & Alkyd,0.25,1,hsp_polymers_4,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/datasets/hspip_polymers/raw/HSPiP_polymers.csv,,,,hsp_polymers_4
ALKYDAL F 261 HS,,23.6,1.0,7.6,19.0,Binders in Solution: Alkyds and Polyesters,0.3,1,hansen_a2,,,,,"hansen_a2,hsp_polymers_2,hsp_polymers_3,hsp_polymers_5,hspip_polymers"
ALKYDAL F 41,,20.6,4.6,5.5,12.6,Binders in Solution: Alkyds and Polyesters,0.3,1,hansen_a2,,,,,"hansen_a2,hsp_polymers_2,hsp_polymers_3,hsp_polymers_5,hspip_polymers"
ALLOPREN R10,,17.4,4.3,3.9,6.1,Chlorinated Rubber,0.3,1,hansen_a2,,,,,"hansen_a2,hsp_polymers_2,hsp_polymers_3,hsp_polymers_5,hspip_polymers"
ALLOPRENE R10 (10%),,19.5,9.2,6.9,7.5,Chlorinated Rubber,0.3,1,hansen_a2,,,,,"hansen_a2,hsp_polymers_2,hsp_polymers_3,hsp_polymers_5,hspip_polymers"
ALPEX,,19.9,0.0,0.0,9.4,Cyclized Rubber,0.3,1,hansen_a2,,,,,"hansen_a2,hsp_polymers_2,hsp_polymers_3,hsp_polymers_5,hspip_polymers"
amino resin,,19.74,11.62,14.59,12.69,Amino Resin,0.25,1,hsp_polymers_4,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/datasets/hspip_polymers/raw/HSPiP_polymers.csv,,,,hsp_polymers_4
