name,cas_number,delta_d,delta_p,delta_h,radius,type,confidence,source,source_url
LARD 37C,,15.9,1.16,5.41,12.03,Biologically Interesting Systems,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
LAROFLEX MP 45,,18.4,8.4,5.8,9.0,Vinyl Chloride Copolymers,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
LDPE PERM<0.8,,15.3,5.3,2.5,10.1,Permeation of LDPE by Organic Liquids,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
LDPE PERM>80,,16.5,4.5,0.5,6.0,Permeation of LDPE by Organic Liquids,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
Lignin,,21.9,14.1,16.9,13.7,Natural,0.5,handbook,https://hansen-solubility.com (Hansen Handbook 2007)
LUCITE 2042 PEMA,,17.6,9.66,3.97,10.64,Polyacrylate,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
LUCITE 2044 PMMA,,16.2,6.8,5.7,9.1,Polyacrylate,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
LUMFLON LF200 (10%),,18.5,5.4,6.9,9.9,Fluorinated Polyethers,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
LUMFLON LF916 (10%),,17.5,6.8,10.5,12.5,Fluorinated Polyethers,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
LUTANAL I60,,16.9,2.5,4.0,7.2,Polyisobutylene,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
LUTONAL IC/1203,,14.2,2.5,4.6,12.4,Polyisobutylene,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
LYTRON 820,,21.1,13.1,14.5,14.4,Styrene Polymers And Copolymers - Solvent Range,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
MAA/EA/ST 15/38/47,,17.6,5.2,7.0,4.5,Acrylics - Solvent Range,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
MAA/MA/VA 15/17.5/67.5,,25.5,15.7,18.1,21.5,Acrylics - Solvent Range,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
MAA/MA/VA 15/27.5/57.5,,28.5,15.7,18.1,21.5,Acrylics - Solvent Range,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
MACRYNAL SM 510N,,19.9,8.1,6.0,9.8,Polyurethane,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
MARBON 9200,,19.0,4.0,4.0,6.0,Styrene Polymers And Copolymers - Solvent Range,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
MMA/CYCLOL 58/42,,18.7,9.9,8.7,8.8,Acrylics - Solvent Range,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
MMA/EA 25/75,,19.0,9.0,15.0,12.0,Acrylics - Solvent Range,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
MMA/EA 50/50,,17.5,9.9,4.1,9.5,Acrylics - Solvent Range,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
MMA/EA/AA,,15.9,15.9,11.5,11.1,Acrylics - Solvent Range,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
MMA/EA/AGE 40/40/20,,17.6,9.8,5.6,9.7,Acrylics - Solvent Range,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
MMA/EA/AN 40/40/20,,20.4,13.2,11.0,12.3,Acrylics - Solvent Range,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
MMA/EA/AN 55/30/15?,,16.7,10.9,8.5,8.5,Acrylics - Solvent Range,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
MMA/EA/BAMA 40/40/20,,17.9,8.5,11.7,12.9,Acrylics - Solvent Range,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
MMA/EA/BVBE 40/40/20,,17.8,10.0,6.6,9.8,Acrylics - Solvent Range,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
MMA/EA/CYCLOL,,17.6,9.8,6.4,9.8,Acrylics - Solvent Range,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
MMA/EA/MAM 40/40/20,,19.0,9.0,15.0,12.0,Acrylics - Solvent Range,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
MMA/EA/MAM 45/45/10?,,19.5,11.1,8.7,11.2,Acrylics - Solvent Range,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
MODAFLOW,,16.1,3.7,7.9,8.9,Special,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
MOWILITH 50 PVAC,,20.93,11.27,9.66,13.71,Polyvinylacetate,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
MOWITAL B 30 H,,18.6,12.9,10.3,8.3,Polyvinylbutyral,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
MOWITAL B 60 H,,20.2,11.2,13.3,11.2,Polyvinylbutyral,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
MYLAR PET,,18.0,6.2,6.2,5.0,Based on Solvent Range Solubility Data - Not too Reliable,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
NAT RUBBER,,16.0,4.0,6.0,1.3,Based on Solvent Range Solubility Data - Not too Reliable,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
Natural rubber,,16.6,3.1,4.2,8.6,Elastomer,0.5,handbook,https://hansen-solubility.com (Hansen Handbook 2007)
NATURAL RUBBER 1 HR,,15.6,3.4,9.1,14.0,Practical Film Thickness,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
NATURAL RUBBER 20 MIN,,14.5,7.3,4.5,11.0,Practical Film Thickness,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
NATURAL RUBBER 4 HR,,19.4,13.2,7.7,19.0,Practical Film Thickness,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
NEOPRENE 1 HR,,19.0,8.0,0.0,13.2,Practical Film Thickness,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
NEOPRENE 20 MIN,,17.6,2.5,5.9,6.2,Practical Film Thickness,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
NEOPRENE 4 HR,,14.6,13.9,2.3,15.9,Practical Film Thickness,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
NEOPRENE CR,,18.1,4.3,6.7,8.9,Supplemental Chemical Resistance Corrlations,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
NITRILE 1 HR,,16.6,9.1,4.4,10.0,Practical Film Thickness,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
NITRILE 20 MIN,,17.5,7.3,6.5,5.1,Practical Film Thickness,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
NITRILE 4 HR,,19.0,12.6,3.8,13.3,Practical Film Thickness,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
Nitrocellulose,9004-70-0,15.4,14.7,8.8,11.5,Nitrocellulose,0.65,handbook,https://hansen-solubility.com (Hansen Handbook 2007)
Nylon 11,25587-80-8,17.0,4.4,10.6,5.1,Polyamide,0.55,accudyne,https://www.accudynetest.com/polytable_02.html
Nylon 12,24937-16-4,18.5,8.1,9.1,6.3,Polyamide,0.55,accudyne,https://www.accudynetest.com/polytable_02.html
"Nylon 6 (polycaprolactum, aramid 6)",25038-54-4,17.0,3.4,10.6,5.1,Polyamide,0.55,accudyne,https://www.accudynetest.com/polytable_02.html
"Nylon 6,6",32131-17-2,17.0,5.1,12.3,5.1,Polyamide,0.65,handbook,https://hansen-solubility.com (Hansen Handbook 2007)
PA11 CR,,17.0,4.4,10.6,5.1,Chemical Resistance of High Performance and Other Polymers,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
PA6 CR,,17.0,3.4,10.6,5.1,Chemical Resistance of High Performance and Other Polymers,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
PA66 SOL,,17.4,9.8,14.6,5.1,Chemical Resistance of High Performance and Other Polymers,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
PALM OIL,,17.7,3.5,3.7,4.7,Miscellaneous,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
PAN,,21.7,14.1,9.1,10.9,Solubility of Polyacrylonitirile,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
PARALOID B72,,17.6,7.4,5.6,9.4,Polymers of Interest for Conservation of Paintings,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
PARALOID EXPER. RES. QR 954,,18.4,9.8,10.0,12.4,Acrylate Resins,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
PARALOID P 400,,19.2,9.6,9.3,12.2,Acrylate Resins,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
PARALOID P 410,,19.6,9.1,6.8,12.2,Acrylate Resins,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
PARAPOL S-50,,17.9,3.9,4.9,3.9,Styrene Polymers And Copolymers - Solvent Range,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
PARAPOL S-60,,17.9,3.9,4.9,3.9,Styrene Polymers And Copolymers - Solvent Range,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
PARLON P 10,,20.26,6.32,5.4,10.64,Chlorinated Polypropylene,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
PBMA (10%),,20.6,3.5,7.2,12.8,Acrylics,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
PBMA?,,15.9,5.5,5.9,8.5,Based on Solvent Range Solubility Data - Not too Reliable,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
PBUTYLACRYLATE,,16.2,9.0,3.0,10.1,Based on Solvent Range Solubility Data - Not too Reliable,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
PC,,18.1,5.9,6.9,5.5,Based on Solvent Range Solubility Data - Not too Reliable,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
PCTFE,,14.1,2.7,5.5,6.6,Chemical Resistance Data - Modern Plastics Encylopedia,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
PE,,16.0,0.8,2.8,3.2,Based on Solvent Range Solubility Data - Not too Reliable,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
PE? CR Q UESTIONABLE VALUES,,16.8,5.4,2.4,4.7,Chemical Resistance of High Performance and Other Polymers,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
PECTFE SOL AT HIGH TEMP.,,19.5,7.3,1.7,5.1,Poly(Ethylene/Chlorotrifluoroethylene),0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
PEI 1200PSI,,17.2,6.4,5.2,3.6,PEI - Polyethylene Imide - Environmental Stress Cracking (ESC),0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
PEI 2400PSI,,17.4,4.6,9.0,7.2,PEI - Polyethylene Imide - Environmental Stress Cracking (ESC),0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
PEI 600PSI,,17.3,5.3,4.7,3.3,PEI - Polyethylene Imide - Environmental Stress Cracking (ESC),0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
PEMA (10%),,16.5,8.7,5.0,10.4,Acrylics,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
PENTA BENZ MAL,,19.4,12.2,10.2,10.8,Polyesters - Solvent Range,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
PENTALYN 255,,17.55,9.37,14.32,10.64,Rosin Derivatives,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
PENTALYN 830,,20.03,5.81,10.93,11.66,Rosin Derivatives,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
PEO 4000 ? HEATED SAMPLES,,21.5,10.9,13.1,15.9,Based on Solvent Range Solubility Data - Not too Reliable,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
PEO 4000 ? SAMPLES HEA TED,,22.2,11.2,13.2,17.1,Miscellaneous - Solvent Range,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
PERGUT S 5,,17.4,9.5,3.8,10.0,Chlorinated Rubber,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
PES L B + C =1,,17.7,9.7,6.4,9.3,Chemical Resistance of High Performance and Other Polymers,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
PES L C=1,,18.7,10.5,7.6,9.1,Chemical Resistance of High Performance and Other Polymers,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
PES SOL,,19.6,10.8,9.2,6.2,Polymer Solubility Data from Various Sources,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
PETG,,18.0,3.0,4.0,6.0,Chemical Resistance Data - Modern Plastics Encylopedia,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
PETP CR,,18.2,6.4,6.6,5.0,Chemical Resistance of High Performance and Other Polymers,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
PFA(?),,16.7,7.7,-0.5,8.1,Chemical Resistance Data - Modern Plastics Encylopedia,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
PHENODUR 373U,,19.74,11.62,14.59,12.69,Phenolic Resins,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
PHENOLIC,,21.6,5.2,18.8,15.4,Chemical Resistance Data - Modern Plastics Encylopedia,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
PHENOLICS,,19.8,7.2,10.8,12.8,Based on Solvent Range Solubility Data - Not too Reliable,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
PIBMA (10%),,17.0,4.6,7.6,9.5,Acrylics,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
PICCOFLEX 120,,17.4,7.8,3.8,7.7,Styrene Polymers And Copolymers - Solvent Range,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
PICCOPALE 110,,17.55,1.19,3.6,6.55,Hydrocarbon Resins,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
PICCORONE 450L,,19.42,5.48,5.77,9.62,Hydrocarbon Resins,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
PKHH,,23.4,7.2,14.8,14.9,Epoxy,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
PLASTOKYD AC4X (30%),,23.9,7.8,8.8,19.9,Acrylic Modified Alkyd,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
PLASTOKYD S27 (30%),,20.1,5.7,5.3,20.0,Acrylic Modified Alkyd,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
PLASTOKYD SC140 (30%),,25.2,9.2,3.7,20.0,Acrylic Modified Alkyd,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
PLASTOKYD SC400 (30%),,23.7,0.5,10.3,20.0,Acrylic Modified Alkyd,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
PLASTOPAL H,,20.81,8.29,14.96,12.69,Amino Resins,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
PLEXAL C-34,,18.5,9.21,4.91,10.64,Binders in Solution: Alkyds and Polyesters,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
PLEXIGUM M527,,18.4,9.4,6.5,10.7,Polyacrylate,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
PLEXIGUM MB319,,18.6,10.8,4.1,11.5,Polyacrylate,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
PLIOLITE P1230,,18.1,4.7,3.7,3.9,Based on Solvent Range Solubility Data - Not too Reliable,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
PLIOLYTE S-100,,16.47,0.37,2.84,8.59,Hydrocarbon Resins,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
PMMA,,18.64,10.52,7.51,8.59,Polyacrylate,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
PMMA CR,,16.0,5.0,12.0,13.0,Chemical Resistance of High Performance and Other Polymers,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
Poly iso-butyl methacrylate (PIBMA),9011-15-8,18.3,4.9,6.3,9.4,Polyacrylate,0.55,accudyne,https://www.accudynetest.com/polytable_02.html
Poly n-butyl methacrylate (PnBMA),95608-33-7,16.0,6.2,6.6,9.5,Polyacrylate,0.55,accudyne,https://www.accudynetest.com/polytable_02.html
Poly(methyl methacrylate) (PMMA),,18.6,10.5,7.5,8.6,Polyacrylate,0.5,handbook,https://hansen-solubility.com (Hansen Handbook 2007)
Polyacrylonitrile (PAN),25014-41-9,18.2,16.2,6.8,10.9,Polyacrylonitrile,0.65,handbook,https://hansen-solubility.com (Hansen Handbook 2007)
Polybutadiene,9003-17-2,17.5,2.3,3.4,6.6,Polybutadiene,0.55,accudyne,https://www.accudynetest.com/polytable_02.html
Polycarbonate (PC),24936-68-3,18.6,8.0,6.0,10.0,Polycarbonate,0.65,handbook,https://hansen-solubility.com (Hansen Handbook 2007)
Polychlorotrifluoroethylene,9002-83-9,15.6,2.5,4.7,5.8,Fluoropolymer,0.55,accudyne,https://www.accudynetest.com/polytable_02.html
POLYCYCLOLa,,19.0,9.0,15.0,12.0,Vinyl Resins - Solvent Range,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
Polyetherimide (PEI),61128-46-9,17.7,6.0,6.4,4.8,Polyetherimide,0.55,accudyne,https://www.accudynetest.com/polytable_02.html
Polyethersulfone (PES),25154-01-2,18.3,8.2,6.4,6.3,Polyethersulfone,0.55,accudyne,https://www.accudynetest.com/polytable_02.html
Polyethyl methacrylate (PEMA),9003-42-3,17.5,8.5,4.7,9.6,Polyacrylate,0.55,accudyne,https://www.accudynetest.com/polytable_02.html
Polyethylene (HDPE),9002-88-4,18.0,0.0,2.0,4.0,Polyethylene,0.65,handbook,https://hansen-solubility.com (Hansen Handbook 2007)
POLYETHYLENE 1 HR,,17.1,3.1,5.2,8.2,Practical Film Thickness,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
POLYETHYLENE 20 MIN,,16.9,3.3,4.1,8.1,Practical Film Thickness,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
POLYETHYLENE 4 HR,,24.1,14.9,0.3,24.3,Practical Film Thickness,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
Polyethylene terephthalate (PET),25038-59-9,19.4,3.5,8.6,6.0,Polyester,0.65,handbook,https://hansen-solubility.com (Hansen Handbook 2007)
POLYETHYLENESULFIDE (GOOD),,17.8,3.8,2.2,4.1,Based on Solvent Range Solubility Data - Not too Reliable,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
Polyimide,,18.0,14.0,5.0,12.0,Polyimide,0.5,handbook,https://hansen-solubility.com (Hansen Handbook 2007)
"Polyisobutylene (PIB, butyl (rubber)",9003-27-4,16.4,1.7,4.7,7.9,Elastomer,0.55,accudyne,https://www.accudynetest.com/polytable_02.html
Polyisoprene (PIP),9003-31-0,18.1,2.4,2.3,10.3,Polyisoprene,0.55,accudyne,https://www.accudynetest.com/polytable_02.html
POLYISOPRENE SW,,17.0,4.0,4.0,7.3,Polyisoprene Swelling,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
Polylactic acid (PLA),,18.6,9.9,6.0,10.7,Polyester,0.5,handbook,https://hansen-solubility.com (Hansen Handbook 2007)
Polymethacrylonitrile (PMAN),25067-61-2,17.2,14.4,7.6,3.8,Based on Solvent Range Solubility Data - Not too Reliable,0.55,accudyne,https://www.accudynetest.com/polytable_02.html
"Polymethyl methacrylate (PMMA, acrylic, plexiglas)",9011-14-7,17.9,10.1,5.4,11.0,Polyacrylate,0.55,accudyne,https://www.accudynetest.com/polytable_02.html
Polyphenylene oxide (PPO),25134-01-4,17.9,3.1,8.5,8.6,Polyphenylene Oxide,0.55,accudyne,https://www.accudynetest.com/polytable_02.html
Polyphenylene sulfide (PPS),26125-40-6,18.7,5.3,3.7,6.7,Polyphenylene Sulfide,0.55,accudyne,https://www.accudynetest.com/polytable_02.html
Polypropylene (PP),,18.0,0.0,1.0,6.0,Polypropylene,0.5,handbook,https://hansen-solubility.com (Hansen Handbook 2007)
POLYSAR 5630,,17.55,3.35,2.7,6.55,Styrene-Butadiene (SBR),0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
Polystyrene (PS),9003-53-6,18.5,4.5,2.9,5.3,Polystyrene,0.65,handbook,https://hansen-solubility.com (Hansen Handbook 2007)
POLYSTYRENE LG,,22.28,5.75,4.3,12.68,Polystyrene,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
Polysulfone (PSU),25135-51-7,18.5,8.5,7.0,9.4,Polysulfone PSU,0.55,accudyne,https://www.accudynetest.com/polytable_02.html
Polytetrafluoroethylene (PTFE),9002-84-0,16.2,1.8,3.4,3.9,Fluoropolymer,0.65,handbook,https://hansen-solubility.com (Hansen Handbook 2007)
Polyurethane (general),,17.0,9.3,7.0,10.0,Polyurethane,0.5,handbook,https://hansen-solubility.com (Hansen Handbook 2007)
Polyurethanes,,18.8,10.0,8.2,9.8,Polyurethane,0.4,accudyne,https://www.accudynetest.com/polytable_02.html
Polyvinyl acetate (PVAc),9003-20-7,18.0,10.2,8.2,13.7,Polyvinylacetate,0.65,handbook,https://hansen-solubility.com (Hansen Handbook 2007)
Polyvinyl alcohol (PVA),25213-24-5,17.2,8.8,18.8,6.2,Polyvinyl Alcohol,0.65,handbook,https://hansen-solubility.com (Hansen Handbook 2007)
Polyvinyl butyral,63148-65-2,19.1,9.5,12.2,10.0,Polyvinylbutyral,0.55,accudyne,https://www.accudynetest.com/polytable_02.html
Polyvinyl chloride (PVC),9002-86-2,18.2,7.5,8.3,3.5,Polyvinylchloride,0.65,handbook,https://hansen-solubility.com (Hansen Handbook 2007)
POLYVINYLALCOHOL 1 HR,,15.3,13.2,13.5,8.8,Practical Film Thickness,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
POLYVINYLALCOHOL 20 MIN,,11.2,12.4,13.0,12.1,Practical Film Thickness,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
POLYVINYLALCOHOL 4 HR,,17.2,13.6,15.4,10.9,Practical Film Thickness,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
POLYVINYLBUTYL ETHER,,17.4,4.3,8.4,7.4,Polyisobutylene,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
"Polyvinylidene chloride (PVDC, Saran)",9002-85-1,19.0,9.6,9.0,5.8,Polyvinylidene Chloride,0.55,accudyne,https://www.accudynetest.com/polytable_02.html
Polyvinylidene fluoride (PVDF),24937-79-9,17.2,12.5,9.2,5.0,Fluoropolymer,0.65,handbook,https://hansen-solubility.com (Hansen Handbook 2007)
POLYVINYLIDINE FLUORIDE SOL.,,17.0,12.1,10.2,4.1,Special Data,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
Polyvinylpyrrolidone (PVP),,17.4,12.0,9.4,10.5,Polyvinylpyrrolidone,0.5,handbook,https://hansen-solubility.com (Hansen Handbook 2007)
POMH+POMC CR,,17.1,3.1,10.7,5.2,Chemical Resistance of High Performance and Other Polymers,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
PP,,18.0,0.0,1.0,6.0,Chemical Resistance Data - Modern Plastics Encylopedia,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
PPO CR,,17.9,3.1,8.5,8.6,Chemical Resistance of High Performance and Other Polymers,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
PPS CR 93°C,,18.8,4.8,6.8,2.8,Chemical Resistance of High Performance and Other Polymers,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
PPS TS60%12MO,,18.7,5.3,3.7,6.7,Chemical Resistance of High Performance and Other Polymers,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
PS,,18.5,4.5,2.9,5.3,Based on Solvent Range Solubility Data - Not too Reliable,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
PSORIASIS SCALES,,24.64,11.94,12.92,19.04,Biologically Interesting Systems,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
PSU CR,,16.0,6.0,6.6,9.0,Chemical Resistance of High Performance and Other Polymers,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
PSU ULTRASON S,,19.7,8.3,8.3,8.0,Polysulfone PSU,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
PTFE L80 CR,,16.2,1.8,3.4,3.9,Chemical Resistance of High Performance and Other Polymers,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
pTOLSULFONAMIDE-FORMALDEH,,24.6,18.6,16.4,20.9,Miscellaneous - Solvent Range,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
PUR,,17.9,6.9,3.7,2.7,Based on Solvent Range Solubility Data - Not too Reliable,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
PUR CR,,18.1,9.3,4.5,9.7,Chemical Resistance of High Performance and Other Polymers,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
PVAC,,17.6,2.2,4.0,4.1,Based on Solvent Range Solubility Data - Not too Reliable,0.3,hansen_a2,https://hansen-solubility.com (Hansen Handbook Appendix Table A.2)
