name,cas_number,smiles,molecular_formula,delta_d,delta_p,delta_h,molecular_weight,boiling_point,density,molar_volume,category,ghs_hazard,confidence,source_count,source,source_url,hidden
"1,2-Dichloropropene (cis)",6923-20-2,,,17.0,8.5,2.9,,,,93.9,halogenated,,0.55,2,hansen_a1,,
"1,2-Dichlorotetrafluoroethane",76-14-2,,,12.6,1.8,0.0,,,,117.6,halogenated,,0.55,2,hansen_a1,,
"1,2-Dichlorovinyl Ethyl Ether",42345-82-4,,,16.9,10.5,6.0,,,,117.8,ether,,0.55,2,hansen_a1,,
"1,2-Diethyl Benzene",135-01-3,,,17.7,0.1,1.0,,,,153.5,aromatic,,0.55,2,hansen_a1,,
"1,2-Dihydroxybenzene (Catechol)",120-80-9,,,20.0,11.3,21.8,,,,81.9,alcohol,,0.55,2,hansen_a1,,
"1,2-Dimethoxybenzene",91-16-7,,,19.2,4.4,9.4,,,,127.7,aromatic,,0.55,2,hansen_a1,,
"1,2-Dimethoxyethane (DME, ethylene glycol dimethyl ether)",110-71-4,,C4H10O2,15.4,6.3,6.0,90.12,,,103.9,alcohol,,0.7,3,accudyne_solvents,,
"1,2-Dinitrobenzene",528-29-0,,,20.6,22.7,5.4,,,,107.4,nitro,,0.55,2,hansen_a1,,
"1,2-Epoxy Butane",106-88-7,,,15.6,8.0,4.6,,,,87.9,hydrocarbon,,0.4,1,hansen_a1,,
"1,2-Epoxy-2-Propene",40079-14-9,,,16.5,8.6,6.7,,,,70.0,other,,0.55,2,hansen_a1,,
"1,2-Ethane Dithiol",540-63-6,,,17.9,7.2,8.7,,,,83.9,sulfur compound,,0.55,2,hansen_a1,,
"1,2-Methylenedioxybenzene",274-09-9,,,19.0,6.7,5.9,,,,114.8,aromatic,,0.55,2,hansen_a1,,
"1,2-Propadiene (Allene)",463-49-0,,,15.3,3.0,6.8,,,,60.1,other,,0.55,2,hansen_a1,,
"1,2-Propanediol (propylene glycol)",57-55-6,,C3H8O2,16.8,9.4,23.3,76.1,,,73.6,alcohol,,0.55,2,accudyne_solvents,,
"1,3,5-Trioxane",110-88-3,,,18.7,9.2,8.6,,,,77.0,other,,0.55,2,hansen_a1,,
"1,3-Benzenediol",108-46-3,,,18.0,8.4,21.0,,,,87.5,aromatic,,0.55,2,hansen_a1,,
"1,3-Bis(Trifluoromethyl)Benzene",402-31-3,,,17.0,6.8,0.0,,,,,halogenated,,0.4,1,hspip_solvents,,
"1,3-Butadiene",106-99-0,,,14.8,2.8,5.6,,,,83.2,other,,0.55,2,hansen_a1,,
"1,3-Butadiene-1,2-Di-Chloro",3574-40-1,,,17.0,10.7,2.8,,,,102.5,halogenated,,0.55,2,hansen_a1,,
"1,3-Butadiene-1-Chloro",627-22-5,,,15.6,8.5,2.0,,,,92.2,halogenated,,0.55,2,hansen_a1,,
"1,3-Butanediol",107-88-0,,C4H10O2,16.6,10.0,21.5,90.12,,,89.9,hydrocarbon,,0.7,3,accudyne_solvents,,
"1,3-Dichloro-2-butene",926-57-8,,,16.9,7.8,2.7,,,,107.7,halogenated,,0.55,2,hansen_a1,,
"1,3-Dichloro-2-Fluorobenzene",2268-05-5,,,19.4,9.1,2.7,,,,117.1,halogenated,,0.55,2,hansen_a1,,
"1,3-Dichloro-2-Propanol",96-23-1,,,17.5,9.9,14.6,,,,95.5,alcohol,,0.55,2,hansen_a1,,
"1,3-Dichloropropane",142-28-9,,,18.6,8.2,3.0,,,,95.1,halogenated,,0.55,2,hansen_a1,,
"1,3-Dimethoxy Butane",10143-66-5,,,15.6,5.5,5.2,,,,140.0,hydrocarbon,,0.55,2,hansen_a1,,
"1,3-Dioxolane",646-06-0,,,18.1,6.6,9.3,,,,69.9,ether,,0.55,2,hansen_a1,,
"1,3-Pentadiene (Trans)",2004-70-8,,,14.7,2.5,5.0,,,,101.7,other,,0.55,2,hansen_a1,,
"1,3-Propane Sultone",1120-71-4,,,18.4,16.0,9.0,,,,87.7,hydrocarbon,,0.55,2,hansen_a1,,
"1,3-Propanediol (Trimethyleneglycol)",504-63-2,,,16.8,13.5,23.2,,,,,alcohol,,0.4,1,hspip_solvents,,
"1,4-Butandiol Diacrylate",1070-70-8,,,16.8,9.1,4.2,,,,194.4,ester,,0.55,2,hansen_a1,,
"1,4-Butanediol",110-63-4,,,16.6,15.3,21.7,,,,88.9,hydrocarbon,,0.55,2,hansen_a1,,
"1,4-Dichloro-2-Butene",764-41-0,,,17.8,7.6,2.0,,,,97.8,halogenated,,0.55,2,hansen_a1,,
"1,4-Dichlorobutane",110-56-5,,,18.3,7.7,2.8,,,,,halogenated,,0.4,1,hspip_solvents,,
"1,4-Dihydroxybenzene (1,4-Benzenediol)",123-31-9,,,21.0,10.2,27.2,,,,82.7,aromatic,,0.55,2,hansen_a1,,
"1,4-Dioxane",123-91-1,,C4H8O2,19.0,1.8,7.4,88.11,,,85.7,ether,,0.7,4,accudyne_solvents,,
"1,4-Thioxane",15980-15-1,,,19.0,6.6,7.7,,,,93.5,other,,0.55,2,hansen_a1,,
"1,5-Dichloropentane",628-76-2,,,19.0,7.8,1.5,,,,127.5,halogenated,,0.55,2,hansen_a1,,
"1,8-Cineole (Eucalyptol)",470-82-6,,,16.7,4.6,3.4,,,,,terpene,,0.4,1,hspip_solvents,,
"1,9-Nonanediol",3937-56-2,,,15.7,7.0,15.1,,,,,hydrocarbon,,0.4,1,hspip_solvents,,
"1-Acetoxy-1,3-butadiene",1515-76-0,,,16.1,4.4,8.3,,,,118.4,other,,0.55,2,hansen_a1,,
1-Aminocyclopropane Carboxylic Acid,22059-21-8,,,17.0,6.3,13.6,,,,,acid,,0.4,1,hspip_solvents,,
1-Bromo Propene (CIS),590-13-6,,,16.3,6.4,5.0,,,,84.7,halogenated,,0.55,2,hansen_a1,,
1-Bromo-4-Ethoxy Benzene,588-96-5,,,19.5,7.7,5.3,,,,140.0,halogenated,,0.55,2,hansen_a1,,
1-Bromonaphtalene,90-11-9,,,20.3,3.1,4.1,,,,140.0,halogenated,,0.4,1,hansen_a1,,
1-Bromonaphthalene,90-11-9,,C10H7Br,20.3,3.1,4.1,207.07,,,140.0,halogenated,,0.55,2,accudyne_solvents,,
1-Bromopropane,106-94-5,,,16.4,7.9,4.8,,,,,halogenated,,0.4,1,hspip_solvents,,
1-Butanethiol,109-79-5,,,16.3,5.3,4.5,,,,107.8,hydrocarbon,,0.55,2,hansen_a1,,
1-Butanol (n-butyl alcohol),71-36-3,,C4H10O,16.0,5.7,15.8,74.12,,,91.5,alcohol,,0.7,3,accudyne_solvents,,
1-Butene,106-98-9,,,13.2,1.3,3.9,,,,94.3,other,,0.55,2,hansen_a1,,
1-Butenyl Methyl Ether,4696-30-4,,,15.1,5.3,5.2,,,,111.9,ether,,0.55,2,hansen_a1,,
1-Chloro Methyl Acrylate,,,,15.9,7.3,8.5,,,,101.4,ester,,0.25,1,hansen_a1,,
1-Chloro Pentane,543-59-9,,,16.0,6.9,1.9,,,,120.8,halogenated,,0.55,2,hansen_a1,,
1-Chloro Vinyl Ethyl Ether,54722-81-5,,,16.8,6.5,5.7,,,,104.5,ether,,0.55,2,hansen_a1,,
1-Chloro-1-Fluoro Ethylene,2317-91-1,,,16.0,6.9,4.0,,,,67.6,halogenated,,0.55,2,hansen_a1,,
1-Chloro-1-Nitroethane,598-92-5,,,16.8,13.5,4.7,,,,85.1,nitro,,0.55,2,hansen_a1,,
1-Chloro-1-Nitropropane,600-25-9,,,16.8,13.0,4.5,,,,,nitro,,0.4,1,hspip_solvents,,
1-Chloro-2-Butene,591-97-9,,,16.2,7.7,2.0,,,,97.4,halogenated,,0.55,2,hansen_a1,,
1-Chloro-2-Ethoxy Benzene,614-72-2,,,19.2,8.1,4.4,,,,138.7,halogenated,,0.55,2,hansen_a1,,
1-Chloro-2-Ethyl Benzene,89-96-3,,,18.9,4.9,2.2,,,,,halogenated,,0.4,1,hspip_solvents,,
1-Chloro-2-Methyl Propene,513-37-1,,,16.1,7.1,4.2,,,,95.6,halogenated,,0.55,2,hansen_a1,,
1-Chloro-4-Ethoxy Benzene,622-61-7,,,19.3,6.3,4.4,,,,139.2,halogenated,,0.55,2,hansen_a1,,
1-Chlorobutane,109-69-3,,,16.2,5.5,2.0,,,,104.5,halogenated,,0.55,2,hansen_a1,,
1-Chlorohexane,544-10-5,,,16.1,6.2,1.7,,,,138.1,halogenated,,0.55,2,hansen_a1,,
1-Chloronaphthalene,90-13-1,,,19.9,4.9,2.5,,,,136.2,halogenated,,0.55,2,hansen_a1,,
1-Chloropropene,590-21-6,,,15.3,6.9,2.2,,,,82.3,halogenated,,0.55,2,hansen_a1,,
1-Decanol,112-30-1,,,16.0,4.7,10.0,,,,191.8,alcohol,,0.55,2,hansen_a1,,
1-Decene,872-05-9,,,15.8,1.0,2.2,,,,190.6,other,,0.55,2,hansen_a1,,
1-Ethoxy Ethoxy-2-Propanol,4043-59-8,,,15.9,5.7,11.7,,,,156.0,alcohol,,0.55,2,hansen_a1,,
1-Ethyl Vinyl Ethyl Ether,1528-20-7,,,15.3,4.2,4.6,,,,125.6,ether,,0.55,2,hansen_a1,,
1-Fluoro Acrylic Acid,430-99-9,,,16.0,8.7,13.0,,,,90.0,acid,,0.55,2,hansen_a1,,
1-Fluoro Acrylonitrile,430-49-9,,,14.1,15.4,5.7,,,,88.8,nitrile,,0.55,2,hansen_a1,,
1-Heptanol,111-70-6,,,16.0,5.3,11.7,,,,141.4,alcohol,,0.55,2,hansen_a1,,
1-Heptene,592-76-7,,,15.0,1.1,2.6,,,,141.9,other,,0.55,2,hansen_a1,,
1-Hexanol,111-27-3,,,15.9,5.8,12.5,,,,124.9,alcohol,,0.55,2,hansen_a1,,
1-Hexene,592-41-6,,,14.7,1.1,0.0,,,,126.1,other,,0.55,2,hansen_a1,,
"1-Methoxy-1,3-Butadiene",3036-66-6,,,15.5,8.3,5.4,,,,101.8,other,,0.55,2,hansen_a1,,
1-Methoxy-2-Nitrobenzene,91-23-6,,,19.6,12.7,5.5,,,,,nitro,,0.4,1,hspip_solvents,,
1-Methyl Cyclohexanol,590-67-0,,,17.1,4.0,12.0,,,,,alcohol,,0.4,1,hspip_solvents,,
1-Methyl Imidazole,616-47-7,,,19.7,15.6,11.2,,,,79.5,amine,,0.55,2,hansen_a1,,
1-Methyl Naphthalene,90-12-0,,,20.6,0.8,4.7,,,,138.8,aromatic,,0.55,2,hansen_a1,,
1-Methyl Vinyl Methyl Ether,116-11-0,,,14.8,4.2,5.6,,,,96.1,ether,,0.55,2,hansen_a1,,
1-Naphthol,90-15-3,,,19.7,6.3,12.3,,,,131.7,alcohol,,0.55,2,hansen_a1,,
1-Nitropropane,108-03-2,,,16.6,12.3,5.5,,,,88.4,nitro,,0.55,2,hansen_a1,,
1-Nonanol,143-08-8,,,16.0,4.8,10.6,,,,174.4,alcohol,,0.55,2,hansen_a1,,
1-Nonene,124-11-8,,,15.4,1.0,2.2,,,,,other,,0.4,1,hspip_solvents,,
1-Octanol,111-87-5,,,16.0,5.0,11.9,,,,157.7,alcohol,,0.55,2,hansen_a1,,
1-Octene,111-66-0,,,15.3,1.0,2.4,,,,158.0,other,,0.55,2,hansen_a1,,
1-Pentanol,71-41-0,,,15.9,5.9,13.9,,,,108.6,alcohol,,0.55,2,hansen_a1,,
1-Pentene,109-67-1,,,13.9,1.4,3.8,,,,110.4,other,,0.55,2,hansen_a1,,
1-Propanethiol,107-03-9,,,16.1,5.8,5.7,,,,90.5,hydrocarbon,,0.55,2,hansen_a1,,
"1-Propanol (n-propanol, n-propyl alcohol)",71-23-8,,C3H8O,16.0,6.8,17.4,60.1,,,75.2,alcohol,,0.7,3,accudyne_solvents,,
1-Tetradecene,1120-36-1,,,16.1,0.5,1.9,,,,,other,,0.4,1,hspip_solvents,,
"2,2',5,5'-Tetrathiafulvalen",31366-25-3,,,21.0,8.2,8.4,,,,204.0,other,,0.55,2,hansen_a1,,
"2,2,2-Trifluoro Ethano",,,,15.4,8.3,16.4,,,,72.3,halogenated,,0.25,1,hansen_a1,,
"2,2,2-Trifluoro Ethanol",75-89-8,,,15.4,8.3,16.4,,,,,alcohol,,0.4,1,hspip_solvents,,
"2,2,4-Trimethyl-1,3-Pentanediol",144-19-4,,,15.1,6.1,9.8,,,,227.4,hydrocarbon,,0.4,1,hansen_a1,,
"2,2,4-Trimethyl-1,3-Pentanediol Monoisobutyrate (Texanol)",25265-77-4,,,15.1,6.1,9.8,,,,,ester,,0.4,1,hspip_solvents,,
"2,2,4-Trimethylpentane",540-84-1,,,14.1,0.0,0.0,,,,166.1,hydrocarbon,,0.55,2,hansen_a1,,
"2,2,6,6-Tetrachlorocyclohexanone",3776-30-5,,,19.5,14.0,6.3,,,,138.8,ketone,,0.55,2,hansen_a1,,
"2,2-Dimethyl-1-Propanol (Neopentyl Alc.)",75-84-3,,,15.6,6.5,13.5,,,,,alcohol,,0.4,1,hspip_solvents,,
"2,3,4-Trifluoro Nitrobenzen",,,,19.5,7.7,3.5,,,,122.0,halogenated,,0.25,1,hansen_a1,,
"2,3,4-Trifluoro Nitrobenzene",771-69-7,,,19.5,7.7,3.5,,,,,nitro,,0.4,1,hspip_solvents,,
"2,3-Benzofuran (Cumaron)",271-89-6,,,18.7,5.1,5.7,,,,110.2,ether,,0.55,2,hansen_a1,,
"2,3-Butadiene-1-ol",18913-31-0,,,16.2,6.6,16.8,,,,76.5,other,,0.55,2,hansen_a1,,
"2,3-Butylene Carbonate",4437-70-1,,,18.0,16.8,3.1,,,,105.5,ester,,0.55,2,hansen_a1,,
"2,3-Dibromoprene",34994-48-4,,,17.7,11.8,6.4,,,,103.4,halogenated,,0.55,2,hansen_a1,,
"2,3-Dichloro-1,3-Butadiene",1653-19-6,,,17.1,2.3,2.8,,,,104.0,halogenated,,0.55,2,hansen_a1,,
"2,3-Dichloronitrobenzene",3209-22-1,,,19.7,12.6,4.4,,,,132.5,nitro,,0.55,2,hansen_a1,,
"2,3-Dichloropropanol",616-23-9,,,17.5,9.2,14.6,,,,95.2,alcohol,,0.55,2,hansen_a1,,
"2,3-Dichloropropene",78-88-6,,,16.2,7.8,3.0,,,,91.6,halogenated,,0.55,2,hansen_a1,,
"2,3-Dimethyl-1-Butene",563-78-0,,,14.9,1.2,2.8,,,,125.2,other,,0.4,1,hansen_a1,,
"2,3-Dithiabutane",624-92-0,,,17.3,7.8,6.5,,,,88.6,hydrocarbon,,0.4,1,hansen_a1,,
"2,4,5-Trichlorothiophenol",3773-14-6,,,21.0,4.5,9.1,,,,145.0,alcohol,,0.55,2,hansen_a1,,
"2,4,6-Tribromo Phenol",118-79-6,,,20.6,10.2,14.1,,,,,alcohol,,0.4,1,hspip_solvents,,
"2,4,6-Trichloroanisol",87-40-1,,,21.0,3.9,7.0,,,,,halogenated,,0.4,1,hspip_solvents,,
"2,4,6-Trichlorophenol",88-06-2,,,20.3,5.1,10.8,,,,132.5,alcohol,,0.55,2,hansen_a1,,
"2,4-Dichloro-3-Fluoronitrobenzene",393-79-3,,,19.9,7.2,4.2,,,,140.0,nitro,,0.55,2,hansen_a1,,
"2,4-Dichloro-5-Nitrobenzotrifluorid",,,,19.9,7.6,3.7,,,,162.0,halogenated,,0.25,1,hansen_a1,,
"2,4-Dichloro-5-Nitrobenzotrifluoride",400-70-4,,,19.9,7.6,3.7,,,,,halogenated,,0.4,1,hspip_solvents,,
"2,4-Dichloroaniline",554-00-7,,,20.9,6.2,10.0,,,,,amine,,0.4,1,hspip_solvents,,
"2,4-Dichlorobenzaldehyde",874-42-0,,,19.7,8.8,5.4,,,,135.7,halogenated,,0.55,2,hansen_a1,,
"2,4-Dichloronitrobenzene",611-06-3,,,20.4,8.7,4.2,,,,133.4,nitro,,0.55,2,hansen_a1,,
"2,4-Dichlorophenol",120-83-2,,,20.0,7.2,13.1,,,,,alcohol,,0.4,1,hspip_solvents,,
"2,4-Difluoronitrobenzen",,,,19.4,11.0,3.7,,,,109.6,halogenated,,0.25,1,hansen_a1,,
"2,4-Difluoronitrobenzene",446-35-5,,,19.4,11.0,3.7,,,,,nitro,,0.4,1,hspip_solvents,,
"2,4-Dimethylaniline",95-68-1,,,19.2,5.2,8.7,,,,123.7,amine,,0.55,2,hansen_a1,,
"2,4-Dinitrotoluene",121-14-2,,,20.0,13.1,4.9,,,,137.9,nitro,,0.55,2,hansen_a1,,
"2,4-Pentanedione",,,,17.1,9.0,4.1,,,,103.1,hydrocarbon,,0.25,1,hansen_a1,,
"2,5-Dichlorobenzotrifluorid",,,,20.0,4.7,2.4,,,,145.5,halogenated,,0.25,1,hansen_a1,,
"2,5-Dichlorobenzotrifluoride",320-50-3,,,20.0,4.7,2.4,,,,,halogenated,,0.4,1,hspip_solvents,,
"2,5-Dichlorophenol",583-78-8,,,20.0,6.3,12.1,,,,119.0,alcohol,,0.55,2,hansen_a1,,
"2,5-Diethoxy Tetrahydrofuran",3320-90-9,,,16.6,6.4,7.3,,,,,ether,,0.4,1,hspip_solvents,,
"2,5-Dimethoxytetrahydrofuran",696-59-3,,,16.8,7.2,8.2,,,,129.6,ether,,0.55,2,hansen_a1,,
"2,5-Dimethyl Pyrrole",625-84-3,,,18.3,7.6,6.8,,,,101.8,heterocyclic,,0.55,2,hansen_a1,,
"2,5-Tetrahydrofuran Dimethanol",104-80-3,,,17.9,8.5,18.9,,,,114.5,alcohol,,0.55,2,hansen_a1,,
"2,6-Dichloro-7-Methyl Purine",2273-93-0,,,20.5,11.7,14.2,,,,,halogenated,,0.4,1,hspip_solvents,,
"2,6-Dichloroanisole",1984-65-2,,,19.8,8.4,6.5,,,,137.1,ether,,0.55,2,hansen_a1,,
"2,6-Dichlorophenol",87-65-0,,,20.1,7.5,10.9,,,,119.0,alcohol,,0.55,2,hansen_a1,,
"2,6-Difluorobenzonitril",,,,18.8,11.2,3.2,,,,111.6,halogenated,,0.25,1,hansen_a1,,
"2,6-Difluorobenzonitrile",1897-52-5,,,18.8,11.2,3.2,,,,,nitrile,,0.4,1,hspip_solvents,,
