name,cas_number,smiles,molecular_formula,delta_d,delta_p,delta_h,molecular_weight,boiling_point,density,molar_volume,category,ghs_hazard,confidence,source_count,source,source_url,hidden
"1,3-Butadiene-1-Chloro",,,,15.6,8.5,2.0,,,,92.2,halogenated,,0.8,1,hansen_a1,,
"1,3-Butanediol",,,,16.6,10.0,21.5,,,,89.9,hydrocarbon,,0.8,1,hansen_a1,,
"1,3-Dichloro-2-butene",,,,16.9,7.8,2.7,,,,107.7,halogenated,,0.8,1,hansen_a1,,
"1,3-Dichloro-2-Fluorobenzene",,,,19.4,9.1,2.7,,,,117.1,halogenated,,0.8,1,hansen_a1,,
"1,3-Dichloro-2-Propanol",,,,17.5,9.9,14.6,,,,95.5,alcohol,,0.8,1,hansen_a1,,
"1,3-Dichloropropane",,,,18.6,8.2,3.0,,,,95.1,halogenated,,0.8,1,hansen_a1,,
"1,3-Dimethoxy Butane",,,,15.6,5.5,5.2,,,,140.0,hydrocarbon,,0.8,1,hansen_a1,,
"1,3-Dioxolane",,,,18.1,6.6,9.3,,,,69.9,ether,,0.8,1,hansen_a1,,
"1,3-Pentadiene (Trans)",,,,14.7,2.5,5.0,,,,101.7,other,,0.8,1,hansen_a1,,
"1,3-Propane Sultone",,,,18.4,16.0,9.0,,,,87.7,hydrocarbon,,0.8,1,hansen_a1,,
"1,4-Butandiol Diacrylate",,,,16.8,9.1,4.2,,,,194.4,ester,,0.8,1,hansen_a1,,
"1,4-Butanediol",,,,16.6,15.3,21.7,,,,88.9,hydrocarbon,,0.8,1,hansen_a1,,
"1,4-Dichloro-2-Butene",,,,17.8,7.6,2.0,,,,97.8,halogenated,,0.8,1,hansen_a1,,
"1,4-Dihydroxybenzene (1,4-Benzenediol)",,,,21.0,10.2,27.2,,,,82.7,aromatic,,0.8,1,hansen_a1,,
"1,4-Dioxane",,,,19.0,1.8,7.4,,,,85.7,ether,,0.8,1,hansen_a1,,
"1,4-Thioxane",,,,19.0,6.6,7.7,,,,93.5,other,,0.8,1,hansen_a1,,
"1,5-Dichloropentane",,,,19.0,7.8,1.5,,,,127.5,halogenated,,0.8,1,hansen_a1,,
"1-Acetoxy-1,3-butadiene",,,,16.1,4.4,8.3,,,,118.4,other,,0.8,1,hansen_a1,,
1-Bromo Propene (CIS),,,,16.3,6.4,5.0,,,,84.7,halogenated,,0.8,1,hansen_a1,,
1-Bromo-4-Ethoxy Benzene,,,,19.5,7.7,5.3,,,,140.0,halogenated,,0.8,1,hansen_a1,,
1-Bromonaphtalene,,,,20.3,3.1,4.1,,,,140.0,halogenated,,0.8,1,hansen_a1,,
