name,name_input,cas_number,delta_d,delta_p,delta_h,radius,type,subclass,data_type,data_reliability,confidence,source_count,source,source_url,name_iupac,name_common,name_common_all,name_acronyms,product_url,tds_url,sds_url
Alftalat AT 576,ALFTALAT AT 576,,19.2,5.3,6.3,11.9,Polyester & Alkyd,,solubility,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,Alftalat AT 576,Alftalat AT 576,,,,
Alkydal F 261 HS,ALKYDAL F 261 HS,,23.6,1.0,7.6,19.0,Polyester & Alkyd,,solubility,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,Alkydal F 261 HS,Alkydal F 261 HS,,,,
Alkydal F 41,ALKYDAL F 41,,20.6,4.6,5.5,12.6,Polyester & Alkyd,,solubility,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,Alkydal F 41,Alkydal F 41,,,,
DUROFTAL T 354,DUROFTAL T 354,,17.3,4.2,7.9,9.3,Polyester & Alkyd,Alkyd,solubility,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,DUROFTAL T 354,DUROFTAL T 354,,,,
DYNAPOL L 812,DYNAPOL L 812,,22.6,13.1,5.8,16.8,Polyester & Alkyd,,solubility,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,DYNAPOL L 812,DYNAPOL L 812,,,,
DYNAPOL L 850,DYNAPOL L 850,,20.0,6.2,7.0,9.5,Polyester & Alkyd,,solubility,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,DYNAPOL L 850,DYNAPOL L 850,,,,
PLEXAL C-34,PLEXAL C-34,,18.5,9.21,4.91,10.64,Polyester & Alkyd,Alkyd,solubility,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,PLEXAL C-34,PLEXAL C-34,,,,
SOALKYD 1935-EGAX,SOALKYD 1935-EGAX,,18.0,11.6,8.5,9.0,Polyester & Alkyd,Alkyd,solubility,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,SOALKYD 1935-EGAX,SOALKYD 1935-EGAX,,,,
VESTURIT BL 908,VESTURIT BL 908,,18.8,12.0,6.0,11.5,Polyester & Alkyd,Alkyd,solubility,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,VESTURIT BL 908,VESTURIT BL 908,,,,
VESTURIT BL 915,VESTURIT BL 915,,17.7,13.0,7.6,11.5,Polyester & Alkyd,Alkyd,solubility,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,VESTURIT BL 915,VESTURIT BL 915,,,,
BE 370,BE 370,,20.7,6.1,12.7,14.8,Epoxy Resin,,solubility,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,BE 370,BE 370,,,,
BEETLE 681,BEETLE 681,,22.2,-0.4,10.1,18.4,Biological & Other,,solubility,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,BEETLE 681,BEETLE 681,,,,
Cymel 300,CYMEL 300,,19.35,12.83,12.87,9.82,Amino Resin,,solubility,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,Cymel 300,Cymel 300,,,,
Cymel 325,CYMEL 325,,25.5,15.2,9.5,22.2,Amino Resin,,solubility,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,Cymel 325,Cymel 325,,,,
DYNOMIN MM 9,DYNOMIN MM 9,,18.8,14.0,12.3,10.5,Amino Resin,,solubility,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,DYNOMIN MM 9,DYNOMIN MM 9,,,,
DYNOMIN UM 15,DYNOMIN UM 15,,19.9,15.8,13.4,11.7,Amino Resin,,solubility,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,DYNOMIN UM 15,DYNOMIN UM 15,,,,
SOAMIN M 60,SOAMIN M 60,,15.9,8.1,6.5,10.6,Amino Resin,,solubility,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,SOAMIN M 60,SOAMIN M 60,,,,
SYNRESIN A 560,SYNRESIN A 560,,22.1,5.0,11.3,15.5,Polyester & Alkyd,Alkyd,solubility,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,SYNRESIN A 560,SYNRESIN A 560,,,,
PLASTOPAL H,PLASTOPAL H,,20.81,8.29,14.96,12.69,Amino Resin,,solubility,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,PLASTOPAL H,PLASTOPAL H,,,,
UFORMITE MX-61,UFORMITE MX-61,,22.7,2.8,5.4,16.2,Amino Resin,,solubility,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,UFORMITE MX-61,UFORMITE MX-61,,,,
URACRON 15,URACRON 15,,19.2,7.7,5.7,10.6,Amino Resin,,solubility,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,URACRON 15,URACRON 15,,,,
Paraloid P 400,PARALOID P 400,,19.2,9.6,9.3,12.2,Acrylic,,solubility,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,Paraloid P 400,Paraloid P 400,,,,
Paraloid P 410,PARALOID P 410,,19.6,9.1,6.8,12.2,Acrylic,,solubility,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,Paraloid P 410,Paraloid P 410,,,,
Paraloid EXPER. RES. QR 954,PARALOID EXPER. RES. QR 954,,18.4,9.8,10.0,12.4,Acrylic,,solubility,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,Paraloid EXPER. RES. QR 954,Paraloid EXPER. RES. QR 954,,,,
BAYSILON UD 125,BAYSILON UD 125,,19.4,9.9,10.1,6.9,Elastomer,Silicone,solubility,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,BAYSILON UD 125,BAYSILON UD 125,,,,
TEFLON,TEFLON (SL2-),,17.1,8.1,1.3,4.7,Fluoropolymer,,permeation,medium,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,TEFLON,SL2-,,,,
DOW EPOXY NOVOLAC 438,DOW EPOXY NOVOLAC 438,,20.3,15.4,5.3,15.1,Epoxy Resin,,solubility,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,DOW EPOXY NOVOLAC 438,DOW EPOXY NOVOLAC 438,,,,
DOW EPOXY NOVOLAC 444,DOW EPOXY NOVOLAC 444,,19.5,11.6,9.3,10.0,Epoxy Resin,,solubility,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,DOW EPOXY NOVOLAC 444,DOW EPOXY NOVOLAC 444,,,,
ZINK SILICATE - CHEMICAL RES.,ZINK SILICATE - CHEMICAL RES.,,23.5,17.5,16.8,15.6,Biological & Other,Inorganic,chemical_resistance,medium,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,ZINK SILICATE - CHEMICAL RES.,ZINK SILICATE - CHEMICAL RES.,,,,
2-COMP EPOXY CHEMICAL RES.,2-COMP EPOXY CHEMICAL RES.,,18.4,9.4,10.1,7.0,Epoxy Resin,,chemical_resistance,medium,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,2-COMP EPOXY CHEMICAL RES.,2-COMP EPOXY CHEMICAL RES.,,,,
POLYVINYLIDINE FLUORIDE SOL.,POLYVINYLIDINE FLUORIDE SOL.,,17.0,12.1,10.2,4.1,Vinyl Polymer,,solubility,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,POLYVINYLIDINE FLUORIDE SOL.,POLYVINYLIDINE FLUORIDE SOL.,,,,
COAL TAR PITCH SOL.,COAL TAR PITCH SOL.,,18.7,7.5,8.9,5.8,Natural & Petroleum Resin,,solubility,medium,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,COAL TAR PITCH SOL.,COAL TAR PITCH SOL.,,,,
NITRILE 20 MIN,NITRILE 20 MIN,,17.5,7.3,6.5,5.1,Elastomer,NBR,breakthrough_time,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,NITRILE 20 MIN,NITRILE 20 MIN,,,,
NITRILE 1 HR,NITRILE 1 HR,,16.6,9.1,4.4,10.0,Elastomer,NBR,breakthrough_time,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,NITRILE 1 HR,NITRILE 1 HR,,,,
NITRILE 4 HR,NITRILE 4 HR,,19.0,12.6,3.8,13.3,Elastomer,NBR,breakthrough_time,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,NITRILE 4 HR,NITRILE 4 HR,,,,
BUTYL 20 MIN,BUTYL 20 MIN,,16.5,1.0,5.1,5.0,Elastomer,Butyl Rubber,breakthrough_time,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,BUTYL 20 MIN,BUTYL 20 MIN,,,,
BUTYL 1 HR,BUTYL 1 HR,,15.8,-2.1,4.0,8.2,Elastomer,Butyl Rubber,breakthrough_time,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,BUTYL 1 HR,BUTYL 1 HR,,,,
BUTYL 4 HR (2),BUTYL 4 HR (2),,17.6,2.1,2.1,7.0,Elastomer,Butyl Rubber,breakthrough_time,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,BUTYL 4 HR (2),BUTYL 4 HR (2),,,,
NATURAL RUBBER 20 MIN,NATURAL RUBBER 20 MIN,,14.5,7.3,4.5,11.0,Elastomer,Natural rubber,breakthrough_time,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,"Polyisoprene, natural",natural rubber,NR; natural rubber; gum rubber,,,,
NATURAL RUBBER 1 HR,NATURAL RUBBER 1 HR,,15.6,3.4,9.1,14.0,Elastomer,Natural rubber,breakthrough_time,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,"Polyisoprene, natural",natural rubber,NR; natural rubber; gum rubber,,,,
NATURAL RUBBER 4 HR,NATURAL RUBBER 4 HR,,19.4,13.2,7.7,19.0,Elastomer,Natural rubber,breakthrough_time,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,"Polyisoprene, natural",natural rubber,NR; natural rubber; gum rubber,,,,
PVC 20 MIN,PVC 20 MIN,,16.1,7.1,5.9,9.3,Vinyl Polymer,,breakthrough_time,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,PVC 20 MIN,PVC 20 MIN,,,,
PVC 1 HR,PVC 1 HR,,14.9,11.1,3.8,13.2,Vinyl Polymer,,breakthrough_time,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,PVC 1 HR,PVC 1 HR,,,,
PVC 4 HR,PVC 4 HR,,24.4,4.9,9.9,22.7,Vinyl Polymer,,breakthrough_time,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,PVC 4 HR,PVC 4 HR,,,,
POLYVINYLALCOHOL 20 MIN,POLYVINYLALCOHOL 20 MIN,,11.2,12.4,13.0,12.1,Vinyl Polymer,,breakthrough_time,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,POLYVINYLALCOHOL 20 MIN,POLYVINYLALCOHOL 20 MIN,,,,
POLYVINYLALCOHOL 1 HR,POLYVINYLALCOHOL 1 HR,,15.3,13.2,13.5,8.8,Vinyl Polymer,,breakthrough_time,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,POLYVINYLALCOHOL 1 HR,POLYVINYLALCOHOL 1 HR,,,,
POLYVINYLALCOHOL 4 HR,POLYVINYLALCOHOL 4 HR,,17.2,13.6,15.4,10.9,Vinyl Polymer,,breakthrough_time,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,POLYVINYLALCOHOL 4 HR,POLYVINYLALCOHOL 4 HR,,,,
POLYETHYLENE 20 MIN,POLYETHYLENE 20 MIN,,16.9,3.3,4.1,8.1,Polyolefin,,breakthrough_time,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,POLYETHYLENE 20 MIN,POLYETHYLENE 20 MIN,,,,
POLYETHYLENE 1 HR,POLYETHYLENE 1 HR,,17.1,3.1,5.2,8.2,Polyolefin,,breakthrough_time,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,POLYETHYLENE 1 HR,POLYETHYLENE 1 HR,,,,
POLYETHYLENE 4 HR,POLYETHYLENE 4 HR,,24.1,14.9,0.3,24.3,Polyolefin,,breakthrough_time,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,POLYETHYLENE 4 HR,POLYETHYLENE 4 HR,,,,
VITON 20 MIN,VITON 20 MIN,,10.9,14.5,3.1,14.1,Fluoropolymer,,breakthrough_time,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,VITON 20 MIN,VITON 20 MIN,,,,
VITON 1 HR,VITON 1 HR,,16.5,8.1,8.3,6.6,Fluoropolymer,,breakthrough_time,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,VITON 1 HR,VITON 1 HR,,,,
VITON 4 HR,VITON 4 HR,,13.6,15.4,8.6,14.4,Fluoropolymer,,breakthrough_time,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,VITON 4 HR,VITON 4 HR,,,,
NEOPRENE 20 MIN,NEOPRENE 20 MIN,,17.6,2.5,5.9,6.2,Elastomer,Neoprene,breakthrough_time,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,Polychloroprene,neoprene,CR; polychloroprene; chloroprene rubber,,,,
NEOPRENE 1 HR,NEOPRENE 1 HR,,19.0,8.0,0.0,13.2,Elastomer,Neoprene,breakthrough_time,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,Polychloroprene,neoprene,CR; polychloroprene; chloroprene rubber,,,,
NEOPRENE 4 HR,NEOPRENE 4 HR,,14.6,13.9,2.3,15.9,Elastomer,Neoprene,breakthrough_time,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,Polychloroprene,neoprene,CR; polychloroprene; chloroprene rubber,,,,
CH 5100 3 HR,CH 5100 3 HR,,16.6,5.4,4.0,3.8,Elastomer,,permeation,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,CH 5100 3 HR,CH 5100 3 HR,,,,
CH 5200 3 HR,CH 5200 3 HR,,16.6,6.0,4.8,3.7,Elastomer,,permeation,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,CH 5200 3 HR,CH 5200 3 HR,,,,
PVDC (110C) SOLUBILITY,PVDC (110C) SOLUBILITY,,17.6,9.1,7.8,3.9,Vinyl Polymer,,solubility,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,PVDC (110C) SOLUBILITY,PVDC (110C) SOLUBILITY,,,,
PVDC (130C) SOLUBILITY,PVDC (130C) SOLUBILITY,,20.4,10.0,10.2,7.6,Vinyl Polymer,,solubility,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,PVDC (130C) SOLUBILITY,PVDC (130C) SOLUBILITY,,,,
PES L C=1,PES L C=1,,18.7,10.5,7.6,9.1,Polysulfone / PES / PPS,,chemical_resistance,medium,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,PES L C=1,PES L C=1,,,,
PES L B + C =1,PES L B + C =1,,17.7,9.7,6.4,9.3,Polysulfone / PES / PPS,,chemical_resistance,medium,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,PES L B + C =1,PES L B + C =1,,,,
PPS CR 93°C,PPS CR 93°C,,18.8,4.8,6.8,2.8,Polysulfone / PES / PPS,,chemical_resistance,medium,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,PPS CR 93°C,PPS CR 93°C,,,,
PPS TS60%12MO,PPS TS60%12MO,,18.7,5.3,3.7,6.7,Polysulfone / PES / PPS,,chemical_resistance,medium,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,PPS TS60%12MO,PPS TS60%12MO,,,,
PA6 CR,PA6 CR,,17.0,3.4,10.6,5.1,Polyamide,,chemical_resistance,medium,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,PA6 CR,PA6 CR,,,,
PA66 SOL,PA66 SOL,,17.4,9.8,14.6,5.1,Polyamide,,chemical_resistance,medium,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,PA66 SOL,PA66 SOL,,,,
PA11 CR,PA11 CR,,17.0,4.4,10.6,5.1,Polyamide,,chemical_resistance,medium,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,PA11 CR,PA11 CR,,,,
POMH+POMC CR,POMH+POMC CR,,17.1,3.1,10.7,5.2,Polyacetal / PEI / PC,Polyacetal,chemical_resistance,medium,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,POMH+POMC CR,POMH+POMC CR,,,,
PETP CR,PETP CR,,18.2,6.4,6.6,5.0,Polyester & Alkyd,Saturated Polyester,chemical_resistance,medium,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,PETP CR,PETP CR,,,,
PTFE L80 CR,PTFE L80 CR,,16.2,1.8,3.4,3.9,Fluoropolymer,,chemical_resistance,medium,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,PTFE L80 CR,PTFE L80 CR,,,,
PMMA CR,PMMA CR,,16.0,5.0,12.0,13.0,Acrylic,,chemical_resistance,medium,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,PMMA CR,PMMA CR,,,,
PE CR QUESTIONABLE VALUES,PE? CR QUESTIONABLE VALUES,,16.8,5.4,2.4,4.7,Polyolefin,,chemical_resistance,medium,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,PE CR QUESTIONABLE VALUES,PE CR QUESTIONABLE VALUES,,,,
PPO CR,PPO CR,,17.9,3.1,8.5,8.6,Polyacetal / PEI / PC,,chemical_resistance,medium,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,PPO CR,PPO CR,,,,
PUR CR,PUR CR,,18.1,9.3,4.5,9.7,Polyurethane,,chemical_resistance,medium,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,PUR CR,PUR CR,,,,
ABS CR,ABS CR,,16.3,2.7,7.1,7.8,Styrenic,,chemical_resistance,medium,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,ABS CR,ABS CR,,,,
PSU CR,PSU CR,,16.0,6.0,6.6,9.0,Polysulfone / PES / PPS,,chemical_resistance,medium,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,PSU CR,PSU CR,,,,
VINYL SILANE,VINYL SILANE,7291-09-0,16.4,3.7,4.5,10.0,Biological & Other,,swelling,medium,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,VINYL SILANE,VINYL SILANE,,,,
CELLOPHAN SW,CELLOPHAN SW,,16.1,18.5,14.5,9.3,Cellulosic Polymer,,swelling,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,CELLOPHAN SW,CELLOPHAN SW,,,,
EVOH SOL,EVOH SOL,,20.5,10.5,12.3,7.3,Vinyl Polymer,,swelling,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,EVOH SOL,EVOH SOL,,,,
SARANEX 4HR,SARANEX 4HR,,17.7,18.3,0.7,18.4,Vinyl Polymer,PVDC,breakthrough_time,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,SARANEX 4HR,SARANEX 4HR,,,,
4H 35°C,4H 35°C,,19.4,13.4,18.0,8.6,Biological & Other,,breakthrough_time,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,4H 35°C,4H 35°C,,,,
4H 35°C no plasticizer included,4H 35°C no plasticizer included,,20.5,11.3,10.3,6.7,Biological & Other,,breakthrough_time,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,4H 35°C no plasticizer included,4H 35°C no plasticizer included,,,,
POLYVINYLALCOHOL,POLYVINYLALCOHOL,,15.0,17.2,17.8,10.2,Vinyl Polymer,,breakthrough_time,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,POLYVINYLALCOHOL,POLYVINYLALCOHOL,,,,
ACETAL CELANESE,ACETAL CELANESE,,21.1,9.3,5.9,11.4,Polyacetal / PEI / PC,Polyacetal,chemical_resistance,medium,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,ACETAL CELANESE,ACETAL CELANESE,,,,
ACETALHOMO-DUO,ACETALHOMO-DUO,,19.0,5.0,8.0,5.0,Polyacetal / PEI / PC,Polyacetal,chemical_resistance,medium,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,ACETALHOMO-DUO,ACETALHOMO-DUO,,,,
CELLULOSE ACETATE,CELLULOSE ACETATE,,16.9,16.3,3.7,13.7,Cellulosic Polymer,,chemical_resistance,medium,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,CELLULOSE ACETATE,CELLULOSE ACETATE,,,,
CELL. ACET. BUTYRATE,CELL. ACET. BUTYRATE,,17.2,13.8,2.8,12.6,Cellulosic Polymer,,chemical_resistance,medium,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,CELL. ACET. BUTYRATE,CELL. ACET. BUTYRATE,,,,
CELL. ACET. PROPIONATE,CELL. ACET. PROPIONATE,,9.8,13.6,11.4,15.2,Cellulosic Polymer,,chemical_resistance,medium,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,,CELL. ACET. PROPIONATE,CELL. ACET. PROPIONATE,,,,
