name,name_input,cas_number,delta_d,delta_p,delta_h,radius,type,subclass,data_type,data_reliability,confidence,source_count,source,source_url,name_iupac,name_common,name_common_all,name_acronyms,product_url,tds_url,sds_url
Desmophen 850,DESMOPHEN 850,,21.54,14.94,12.28,16.78,Polyurethane,Polyether polyol,solubility,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,Polyether polyol,polyurethane polyol,PU polyol; polyether polyol,PU,,,
Desmophen 1100,DESMOPHEN 1100,,16.0,13.1,9.2,11.4,Polyurethane,Polyester polyol,solubility,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,Polyester polyol,polyurethane polyol,PU polyol; polyester polyol,PU,,,
Desmophen 1150,DESMOPHEN 1150,,20.6,7.8,11.6,13.1,Polyurethane,Polycarbonate polyol,solubility,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,Polycarbonate polyol,polycarbonate diol,polycarbonate polyol; PU polyol,PU,,,
Desmophen 1200,DESMOPHEN 1200,,19.4,7.4,6.0,9.8,Polyurethane,Polyester polyol,solubility,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,Polyester polyol,polyurethane polyol,PU polyol,PU,,,
Desmophen 1700,DESMOPHEN 1700,,17.9,9.6,5.9,8.2,Polyurethane,Polyester polyol,solubility,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,"Polyester polyol, low viscosity",polyurethane polyol,PU polyol; polyester polyol,PU,,,
Desmolac 4200,DESMOLAC 4200,,18.7,9.6,9.9,8.2,Polyurethane,PU lacquer,solubility,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,Polyurethane lacquer resin,polyurethane lacquer resin,PU lacquer; two-component PU,PU,,,
Macrynal SM 510N,MACRYNAL SM 510N,,19.9,8.1,6.0,9.8,Acrylic,Hydroxy acrylic,solubility,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,Hydroxy-functional acrylic resin,hydroxy acrylic resin,hydroxy acrylic; thermoset acrylic,,,,
SUPER BECKACITE 1001,SUPER BECKACITE 1001,,23.26,6.55,8.35,19.85,Polyester & Alkyd,Alkyd,solubility,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,Alkyd resin,alkyd resin,oil-modified alkyd,,,,
Phenodur 373U,PHENODUR 373U,,19.74,11.62,14.59,12.69,Amino Resin,Phenol-amino resin,solubility,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,Phenol-modified melamine resin,amino resin,phenol-amino resin; Phenodur,,,,
PLIOLYTE S-100,PLIOLYTE S-100,,16.47,0.37,2.84,8.59,Elastomer,SB resin,solubility,high,0.9,1,hsp_polymers_7,https://github.com/jtreeder/Materialism/blob/claude/hansen-solubility-planning-D5iok/data/raw/a2only.pdf,Styrene-butadiene copolymer resin,SB resin,styrene-butadiene resin,,,,
