name_input,name_clean,name_iupac,name_common,name_common_all,name_acronyms,cas,product_url,tds_url,sds_url,dD,dP,dH,radius,class,subclass,data_type,data_reliability,processing_notes
PFA(?),PFA(),,PFA(),PFA(),,,,,,16.7,7.7,-0.5,8.1,Fluoropolymer,,chemical_resistance,medium,[PRE] route=standard; [HSP] hsp_flag_dh_negative; [NAME] source uncertainty (?); [CAS] not found; [CAS] not found; [CLASS] rule: FLUORO|PTFE|TEFLON|PVDF|POLYVINYLIDENE F
PHENOLIC,PHENOLIC,,PHENOLIC,PHENOLIC,,,,,,21.6,5.2,18.8,15.4,Phenolic Resin,,chemical_resistance,medium,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: PHENOL.FORMALDEHYDE|PHENOLIC|NOVOLAC|RES
PETG,PETG,"Poly(ethylene terephthalate-co-1,4-cyclohexanedimethanol terephthalate)",PETG,PETG; polyethylene terephthalate glycol; PETG copolyester,PETG,63407-54-5,,,,18.0,3.0,4.0,6.0,Polyester & Alkyd,Saturated Polyester,chemical_resistance,medium,[PRE] route=standard; [CAS] from v5 cache: 63407-54-5; [CLASS] rule: \bPET\b|\bPBT\b|\bPETG\b|POLY.ETHYLENE T
HDPE,HDPE,"Polyethylene, high density",high-density polyethylene,high-density polyethylene; HDPE,HDPE,,https://pubchem.ncbi.nlm.nih.gov/compound/9795,,,18.0,0.0,2.0,2.0,Polyolefin,,chemical_resistance,medium,[PRE] route=standard; [CAS] PubChem CID from acronym table: 9795; [CAS] not found; [CLASS] rule: POLYETHYLENE(?!\s*OXIDE)|\bHDPE\b|\bLDPE
PP,PP,Polypropylene,polypropylene,polypropylene,PP,,https://pubchem.ncbi.nlm.nih.gov/compound/9857,,,18.0,0.0,1.0,6.0,Polyolefin,Polypropylene,chemical_resistance,medium,[PRE] route=standard; [CAS] PubChem CID from acronym table: 9857; [CAS] not found; [CLASS] rule: \bPP\b(?!\s*\d)
PECTFE SOL AT HIGH TEMP.,PECTFE SOL AT HIGH TEMP.,,PECTFE SOL AT HIGH TEMP.,PECTFE SOL AT HIGH TEMP.,,,,,,19.5,7.3,1.7,5.1,Fluoropolymer,,solubility,medium,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: \bPECTFE\b|\bPCTFE\b
PAN,PAN,Polyacrylonitrile,PAN,PAN; polyacrylonitrile,PAN,,https://pubchem.ncbi.nlm.nih.gov/compound/9904,,,21.7,14.1,9.1,10.9,Acrylic,PAN,solubility,high,[PRE] route=standard; [CAS] PubChem CID from acronym table: 9904; [CAS] not found; [CLASS] rule: \bPAN\b|POLYACRYLONITRILE
PEI 1200PSI,PEI 1200PSI,,PEI 1200PSI,PEI 1200PSI,,,,,,17.2,6.4,5.2,3.6,Polyacetal / PEI / PC,PEI,esc,high,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: \bPEI\b|\bPEI\b.*PSI
PEI 2400PSI,PEI 2400PSI,,PEI 2400PSI,PEI 2400PSI,,,,,,17.4,4.6,9.0,7.2,Polyacetal / PEI / PC,PEI,esc,high,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: \bPEI\b|\bPEI\b.*PSI
PEI 600PSI,PEI 600PSI,,PEI 600PSI,PEI 600PSI,,,,,,17.3,5.3,4.7,3.3,Polyacetal / PEI / PC,PEI,esc,high,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: \bPEI\b|\bPEI\b.*PSI
ESTER GUM,ESTER GUM,,ESTER GUM,ESTER GUM,,,,,,16.9,4.5,6.5,9.2,Cellulosic Polymer,,estimated,low,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: CELLUL|CELLIT\b|ETHOCEL|CELLIDORA|NITROC
ALKYD 45 SOYA,ALKYD 45 SOYA,,ALKYD 45 SOYA,ALKYD 45 SOYA,,,,,,17.5,2.3,7.7,10.0,Polyester & Alkyd,Alkyd,estimated,low,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: ALKYD|ALKYDAL|ALFTALAT|DYNAPOL|GLYPTAL|B
SILICONE DC-1107?,SILICONE DC-1107,,SILICONE DC-1107,SILICONE DC-1107,,,,,,19.6,3.4,10.8,9.8,Elastomer,Silicone,estimated,low,[PRE] route=standard; [NAME] source uncertainty (?); [CAS] not found; [CAS] not found; [CLASS] rule: SILICONE|BAYSILON|SILICON RESIN|POLY.DIM
PVETHYLETHER?,PVETHYLETHER,,PVETHYLETHER,PVETHYLETHER,,,,,,15.1,3.1,11.9,12.9,Vinyl Polymer,Polyvinyl ethyl ether,estimated,low,[PRE] route=standard; [NAME] source uncertainty (?); [CAS] not found; [CAS] not found; [CLASS] rule: PVETHYL.*ETHER|POLYVINYLETHYLETHER
PBUTYLACRYLATE,PBUTYLACRYLATE,,PBUTYLACRYLATE,PBUTYLACRYLATE,,,,,,16.2,9.0,3.0,10.1,Acrylic,,estimated,low,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: ACRYLIC|ACRYLATE|METHACRYLATE|\bPMMA\b|P
PBMA?,PBMA,Poly(butyl methacrylate),PBMA,PBMA,PBMA,,,,,15.9,5.5,5.9,8.5,Acrylic,PBMA,estimated,low,[PRE] route=standard; [NAME] source uncertainty (?); [CAS] not found; [CAS] not found; [CLASS] rule: \bPBMA\b
SILICONE DC 23?,SILICONE DC 23,,SILICONE DC 23,SILICONE DC 23,,,,,,16.4,0.0,7.8,5.5,Elastomer,Silicone,estimated,low,[PRE] route=standard; [NAME] source uncertainty (?); [CAS] not found; [CAS] not found; [CLASS] rule: SILICONE|BAYSILON|SILICON RESIN|POLY.DIM
PE,PE,Polyethylene,polyethylene,polyethylene; PE,PE,,https://pubchem.ncbi.nlm.nih.gov/compound/9795,,,16.0,0.8,2.8,3.2,Polyolefin,,estimated,low,[PRE] route=standard; [CAS] PubChem CID from acronym table: 9795; [CAS] not found; [CLASS] rule: \bPE\b(?!\s*\d)
GILSONITE,GILSONITE,Uintaite,gilsonite,natural asphalt; uintaite,,,,,,17.1,2.1,3.9,4.9,Natural & Petroleum Resin,Bituminous resin,estimated,low,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: ROSIN|TERPENE|PETROLEUM RESIN|COUMARONE|
PVINYLBUTYLETHER,PVINYLBUTYLETHER,,PVINYLBUTYLETHER,PVINYLBUTYLETHER,,,,,,17.4,3.4,7.8,8.4,Vinyl Polymer,PVE,estimated,low,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: VBE/|PVBE\b|VINYL.*ETHER
NAT RUBBER,NAT RUBBER,"Polyisoprene, natural",natural rubber,NR; natural rubber,,,,,,16.0,4.0,6.0,1.3,Elastomer,Natural rubber,estimated,low,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: \bRUBBER\b(?!\s+HYDROCARBON)|ELASTOMER|\
HYP 20 CHLOROSULFONATED PE,HYP 20 CHLOROSULFONATED PE,,HYP 20 CHLOROSULFONATED PE,HYP 20 CHLOROSULFONATED PE,,,,,,17.4,3.2,4.0,4.8,Elastomer,Chlorinated/Halogenated Rubber,estimated,low,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: CHLORINATED RUBBER|CHLOROPAR|CERECLOR|PE
ETHCEL N22?,ETHCEL N22,,ETHCEL N22,ETHCEL N22,,,,,,22.7,0.5,16.5,20.1,Cellulosic Polymer,,estimated,low,[PRE] route=standard; [NAME] source uncertainty (?); [CAS] not found; [CAS] not found; [CLASS] rule: CELL\.\s*ACET|\bETHCEL\b|\bCELLOPHAN\b
CHLORINATED RUBBER,CHLORINATED RUBBER,,CHLORINATED RUBBER,CHLORINATED RUBBER,,,,,,17.9,6.3,5.1,7.6,Elastomer,,estimated,low,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: \bRUBBER\b(?!\s+HYDROCARBON)|ELASTOMER|\
DAMMAR GUM,DAMMAR GUM,Dammar resin,dammar,dammar varnish; dammer resin,,,,,,18.4,4.2,7.8,8.3,Natural & Petroleum Resin,Dammar,estimated,low,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: ROSIN|TERPENE|PETROLEUM RESIN|COUMARONE|
VERSAMID 100?,Versamid 100,Dimer acid-based polyamide,polyamide resin,dimer acid polyamide; reactive polyamide,PA,,,,,18.8,3.0,9.2,7.8,Polyamide,Dimer acid polyamide,estimated,low,[PRE] route=trade_name; [NAME] source uncertainty (?); [CAS] not found; [CLASS] class from brand prefix mapping
PS,PS,Polystyrene,polystyrene,polystyrene; styrofoam,PS,,https://pubchem.ncbi.nlm.nih.gov/compound/6353,,,18.5,4.5,2.9,5.3,Styrenic,Polystyrene,estimated,low,[PRE] route=standard; [CAS] PubChem CID from acronym table: 6353; [CAS] not found; [CLASS] rule: \bPS\b(?!\s*\d)
PVAC,PVAC,Poly(vinyl acetate),PVAc,PVAc; polyvinyl acetate,PVAC,,,,,17.6,2.2,4.0,4.1,Vinyl Polymer,,estimated,low,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: POLYVINYL|VINYL ACETATE|VINYL ALCOHOL|VI
PVC,PVC,Poly(vinyl chloride),polyvinyl chloride,polyvinyl chloride; vinyl plastic; PVC,PVC,,https://pubchem.ncbi.nlm.nih.gov/compound/6338,,,17.6,7.8,3.4,8.2,Vinyl Polymer,,estimated,low,[PRE] route=standard; [CAS] PubChem CID from acronym table: 6338; [CAS] not found; [CLASS] rule: POLYVINYL|VINYL ACETATE|VINYL ALCOHOL|VI
PHENOLICS,PHENOLICS,,PHENOLICS,PHENOLICS,,,,,,19.8,7.2,10.8,12.8,Phenolic Resin,,estimated,low,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: PHENOL.FORMALDEHYDE|PHENOLIC|NOVOLAC|RES
BUNA N BUTADIENE/ACRYLONITRILE,BUNA N BUTADIENE/ACRYLONITRILE,,BUNA N BUTADIENE/ACRYLONITRILE,BUNA N BUTADIENE/ACRYLONITRILE,,,,,,17.8,3.2,3.4,3.7,Elastomer,,estimated,low,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: \bRUBBER\b(?!\s+HYDROCARBON)|ELASTOMER|\
PMMA,PMMA,Poly(methyl methacrylate),acrylic glass,acrylic glass; acrylic; plexiglass; perspex,PMMA,,https://pubchem.ncbi.nlm.nih.gov/compound/6328,,,18.1,10.5,5.1,9.5,Acrylic,,estimated,low,[PRE] route=standard; [CAS] PubChem CID from acronym table: 6328; [CAS] not found; [CLASS] rule: ACRYLIC|ACRYLATE|METHACRYLATE|\bPMMA\b|P
PEO 4000 ? HEATED SAMPLES,PEO 4000 HEATED SAMPLES,,PEO 4000 HEATED SAMPLES,PEO 4000 HEATED SAMPLES,,,,,,21.5,10.9,13.1,15.9,Polyolefin,PEO,estimated,low,[PRE] route=standard; [NAME] source uncertainty (?); [CAS] not found; [CAS] not found; [CLASS] rule: POLYETHYLENEOXIDE|POLYETHYLENE OXIDE|PEO
POLYETHYLENESULFIDE (GOOD),POLYETHYLENESULFIDE,,POLYETHYLENESULFIDE,GOOD,,,,,,17.8,3.8,2.2,4.1,Polyolefin,,estimated,low,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: POLYETHYLENE(?!\s*OXIDE)|\bHDPE\b|\bLDPE
PC,PC,Polycarbonate,polycarbonate,polycarbonate; PC; Makrolon; Lexan,PC,,,,,18.1,5.9,6.9,5.5,Polyacetal / PEI / PC,Polycarbonate,estimated,low,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: \bPC\b(?!\s*\d)
PLIOLITE P1230,PLIOLITE P1230,,PLIOLITE P1230,PLIOLITE P1230,,,,,,18.1,4.7,3.7,3.9,Natural & Petroleum Resin,,estimated,low,[OCR] Ro rounded to 2dp; [PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: HYDROCARBON M|CONOCO H-|PARAPOL|PLIOLITE
MYLAR PET,MYLAR PET,,MYLAR PET,MYLAR PET,,,,,,18.0,6.2,6.2,5.0,Polyester & Alkyd,Saturated Polyester,estimated,low,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: \bPET\b|\bPBT\b|\bPETG\b|POLY.ETHYLENE T
VCVA COPOLY,VCVA COPOLY,,VCVA COPOLY,VCVA COPOLY,,,,,,17.3,8.7,6.1,7.8,Vinyl Polymer,,estimated,low,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: \bV AREZ\b|\bVAREZ\b|\bVCVA\b|\bVCV A\b|
PUR,PUR,,PUR,PUR,,550-33-4,,,,17.9,6.9,3.7,2.7,Polyurethane,,estimated,low,[PRE] route=standard; [CAS] from v5 cache: 550-33-4; [CLASS] rule: ^\s*PUR\b|^\s*PU\b|\bPUR\s+CR\b|\bPUR\s+
SAN,SAN,Poly(styrene-co-acrylonitrile),SAN,SAN; styrene-acrylonitrile copolymer,SAN,,https://pubchem.ncbi.nlm.nih.gov/compound/1599,,,16.6,9.8,7.6,4.8,Styrenic,,estimated,low,"[PRE] route=standard; [CAS] CID found: 1599, CAS not in synonyms; [CAS] not found; [CLASS] rule: STYRENE|POLYSTYRENE|\bABS\b|\bSAN\b|\bSB"
VINSOL ROSIN,VINSOL ROSIN,,VINSOL ROSIN,VINSOL ROSIN,,,,,,17.4,10.0,13.0,10.5,Natural & Petroleum Resin,,estimated,low,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: ROSIN|TERPENE|PETROLEUM RESIN|COUMARONE|
EPON 1001,EPON 1001,,EPON 1001,EPON 1001,EP,,,,,17.0,9.6,7.8,7.1,Epoxy Resin,,estimated,low,[PRE] route=trade_name; [CAS] not found; [CLASS] class from brand prefix mapping
SHELLAC,SHELLAC,Shellac resin,shellac,lac resin; bleached shellac,,,,,,19.7,10.1,15.1,10.7,Natural & Petroleum Resin,Shellac,estimated,low,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: ROSIN|TERPENE|PETROLEUM RESIN|COUMARONE|
POLYMETHACRYLONITRILE,POLYMETHACRYLONITRILE,,POLYMETHACRYLONITRILE,POLYMETHACRYLONITRILE,,,,,,17.2,14.4,7.6,3.8,Acrylic,,estimated,low,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: MMA/|/MMA|METHYL METHACRYLATE|PLEXIGUM|P
CELLULOSE ACETATE,CELLULOSE ACETATE,,CELLULOSE ACETATE,CELLULOSE ACETATE,,,,,,18.3,16.5,11.9,8.8,Cellulosic Polymer,,estimated,low,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: CELLUL|CELLIT\b|ETHOCEL|CELLIDORA|NITROC
CELLULOSE NITRATE,CELLULOSE NITRATE,,CELLULOSE NITRATE,CELLULOSE NITRATE,,,,,,16.9,13.5,10.3,9.9,Cellulosic Polymer,,estimated,low,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: CELLUL|CELLIT\b|ETHOCEL|CELLIDORA|NITROC
"PVOH (NOT GOOD, SEE CHAP. 5)",PVOH,Poly(vinyl alcohol),PVOH,PVOH; PVA; polyvinyl alcohol,PVOH,,https://pubchem.ncbi.nlm.nih.gov/compound/11199,,,17.0,9.0,18.0,4.0,Vinyl Polymer,PVOH,estimated,low,[PRE] route=standard; [CAS] PubChem CID from acronym table: 11199; [CAS] not found; [CLASS] rule: \bPVOH\b|\bPVAL\b
NYLON 66,NYLON 66,Poly(caprolactam),nylon 6,PA6; polyamide 6; polycaprolactam,,,https://pubchem.ncbi.nlm.nih.gov/compound/36070,,,16.0,11.0,24.0,3.0,Polyamide,PA6,estimated,low,"[PRE] route=standard; [CAS] CID found: 36070, CAS not in synonyms; [CAS] not found; [CLASS] rule: POLYAMIDE|\bNYLON\b|VERSAMID|POLYPHTHALA"
ACRYLOID B-44,Acryloid B-44,Poly(methyl methacrylate-co-ethyl acrylate),Acryloid B-44,acrylic copolymer,,,,,,19.4,11.2,4.4,10.5,Acrylic,MMA/EA copolymer,estimated,low,[PRE] route=trade_name; [CAS] not found; [CLASS] class from brand prefix mapping
ACRYLOID B-66,Acryloid B-66,,Acryloid B-66,Acryloid B-66,,,,,,18.0,9.0,3.0,9.0,Acrylic,,estimated,low,[PRE] route=trade_name; [CAS] not found; [CLASS] class from brand prefix mapping
ACRYLOID B-72,Acryloid B-72,,Acryloid B-72,Acryloid B-72,,,,,,19.2,11.2,1.8,11.0,Acrylic,,estimated,low,[PRE] route=trade_name; [CAS] not found; [CLASS] class from brand prefix mapping
ACRYLOID B-82,Acryloid B-82,,Acryloid B-82,Acryloid B-82,,,,,,19.1,9.1,3.3,9.0,Acrylic,,estimated,low,[PRE] route=trade_name; [CAS] not found; [CLASS] class from brand prefix mapping
R+H PBA,R+H PBA,,R+H PBA,R+H PBA,,,,,,16.0,8.0,8.0,12.0,Acrylic,,estimated,low,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: R\+H\b
R+H PiMBA,R+H PiMBA,,R+H PiMBA,R+H PiMBA,,,,,,20.7,4.1,10.7,11.5,Acrylic,,estimated,low,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: R\+H\b
R+H PNBMA,R+H PNBMA,,R+H PNBMA,R+H PNBMA,,,,,,16.0,6.2,6.6,9.5,Acrylic,,estimated,low,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: R\+H\b
R+H PEMA,R+H PEMA,,R+H PEMA,R+H PEMA,,,,,,19.0,9.0,8.0,11.0,Acrylic,PEMA,estimated,low,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: \bPEMA\b
R+H PMAA,R+H PMAA,,R+H PMAA,R+H PMAA,,,,,,25.6,11.2,19.6,20.3,Acrylic,,estimated,low,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: R\+H\b
R+H PMMA,R+H PMMA,,R+H PMMA,R+H PMMA,,,,,,19.1,11.3,4.1,10.3,Acrylic,,estimated,low,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: ACRYLIC|ACRYLATE|METHACRYLATE|\bPMMA\b|P
BMA/AN 80/20,BMA/AN 80/20,,BMA/AN 80/20,BMA/AN 80/20,,,,,,17.5,9.9,4.1,9.5,Acrylic,,estimated,low,[PRE] route=copolymer; [CAS] not found; [CAS] not found; [CLASS] rule: ^BMA/
ISOB MALANH/CYCLOL 75/25,ISOB MALANH/CYCLOL 75/25,,ISOB MALANH/CYCLOL 75/25,ISOB MALANH/CYCLOL 75/25,,,,,,16.8,-0.4,7.2,8.5,Acrylic,,estimated,low,[PRE] route=standard; [HSP] hsp_flag_dp_negative; [CAS] not found; [CAS] not found; [CLASS] rule: CYCLOL|POLYCYCLOL
MAA/EA/ST 15/38/47,MAA/EA/ST 15/38/47,,MAA/EA/ST 15/38/47,MAA/EA/ST 15/38/47,,,,,,17.6,5.2,7.0,4.5,Acrylic,,estimated,low,[PRE] route=copolymer; [CAS] not found; [CAS] not found; [CLASS] rule: ^MAA/
MAA/MA/VA 15/27.5/57.5,MAA/MA/VA 15/27.5/57.5,,MAA/MA/VA 15/27.5/57.5,MAA/MA/VA 15/27.5/57.5,,,,,,28.5,15.7,18.1,21.5,Acrylic,,estimated,low,[OCR] HSP column-shift corrected; [PRE] route=copolymer; [HSP] hsp_flag_dd_high; [CAS] not found; [CAS] not found; [CLASS] rule: ^MAA/
MAA/MA/VA 15/17.5/67.5,MAA/MA/VA 15/17.5/67.5,,MAA/MA/VA 15/17.5/67.5,MAA/MA/VA 15/17.5/67.5,,,,,,25.5,15.7,18.1,21.5,Acrylic,,estimated,low,[OCR] HSP column-shift corrected; [PRE] route=copolymer; [CAS] not found; [CAS] not found; [CLASS] rule: ^MAA/
MMA/CYCLOL 58/42,MMA/CYCLOL 58/42,,MMA/CYCLOL 58/42,MMA/CYCLOL 58/42,,,,,,18.7,9.9,8.7,8.8,Acrylic,,estimated,low,[PRE] route=copolymer; [CAS] not found; [CAS] not found; [CLASS] rule: CYCLOL|POLYCYCLOL
MMA/EA 50/50,MMA/EA 50/50,,MMA/EA 50/50,MMA/EA 50/50,,,,,,17.5,9.9,4.1,9.5,Acrylic,,estimated,low,[PRE] route=copolymer; [CAS] not found; [CAS] not found; [CLASS] rule: MMA/|/MMA|METHYL METHACRYLATE|PLEXIGUM|P
MMA/EA 25/75,MMA/EA 25/75,,MMA/EA 25/75,MMA/EA 25/75,,,,,,19.0,9.0,15.0,12.0,Acrylic,,estimated,low,[PRE] route=copolymer; [CAS] not found; [CAS] not found; [CLASS] rule: MMA/|/MMA|METHYL METHACRYLATE|PLEXIGUM|P
MMA/EA/AGE 40/40/20,MMA/EA/AGE 40/40/20,,MMA/EA/AGE 40/40/20,MMA/EA/AGE 40/40/20,,,,,,17.6,9.8,5.6,9.7,Acrylic,,estimated,low,[PRE] route=copolymer; [CAS] not found; [CAS] not found; [CLASS] rule: MMA/|/MMA|METHYL METHACRYLATE|PLEXIGUM|P
MMA/EA/AA,MMA/EA/AA,,MMA/EA/AA,MMA/EA/AA,,,,,,15.9,15.9,11.5,11.1,Acrylic,,estimated,low,[PRE] route=copolymer; [CAS] not found; [CAS] not found; [CLASS] rule: MMA/|/MMA|METHYL METHACRYLATE|PLEXIGUM|P
MMA/EA/AN 55/30/15?,MMA/EA/AN 55/30/15,,MMA/EA/AN 55/30/15,MMA/EA/AN 55/30/15,,,,,,16.7,10.9,8.5,8.5,Acrylic,,estimated,low,[PRE] route=copolymer; [NAME] source uncertainty (?); [CAS] not found; [CAS] not found; [CLASS] rule: MMA/|/MMA|METHYL METHACRYLATE|PLEXIGUM|P
MMA/EA/AN 40/40/20,MMA/EA/AN 40/40/20,,MMA/EA/AN 40/40/20,MMA/EA/AN 40/40/20,,,,,,20.4,13.2,11.0,12.3,Acrylic,,estimated,low,[PRE] route=copolymer; [CAS] not found; [CAS] not found; [CLASS] rule: MMA/|/MMA|METHYL METHACRYLATE|PLEXIGUM|P
MMA/EA/BAMA 40/40/20,MMA/EA/BAMA 40/40/20,,MMA/EA/BAMA 40/40/20,MMA/EA/BAMA 40/40/20,,,,,,17.9,8.5,11.7,12.9,Acrylic,,estimated,low,[PRE] route=copolymer; [CAS] not found; [CAS] not found; [CLASS] rule: MMA/|/MMA|METHYL METHACRYLATE|PLEXIGUM|P
MMA/EA/CYCLOL,MMA/EA/CYCLOL,,MMA/EA/CYCLOL,MMA/EA/CYCLOL,,,,,,17.6,9.8,6.4,9.8,Acrylic,,estimated,low,[PRE] route=copolymer; [CAS] not found; [CAS] not found; [CLASS] rule: CYCLOL|POLYCYCLOL
MMA/EA/MAM 40/40/20,MMA/EA/MAM 40/40/20,,MMA/EA/MAM 40/40/20,MMA/EA/MAM 40/40/20,,,,,,19.0,9.0,15.0,12.0,Acrylic,,estimated,low,[PRE] route=copolymer; [CAS] not found; [CAS] not found; [CLASS] rule: MMA/|/MMA|METHYL METHACRYLATE|PLEXIGUM|P
MMA/EA/MAM 45/45/10?,MMA/EA/MAM 45/45/10,,MMA/EA/MAM 45/45/10,MMA/EA/MAM 45/45/10,,,,,,19.5,11.1,8.7,11.2,Acrylic,,estimated,low,[PRE] route=copolymer; [NAME] source uncertainty (?); [CAS] not found; [CAS] not found; [CLASS] rule: MMA/|/MMA|METHYL METHACRYLATE|PLEXIGUM|P
MMA/EA/BVBE 40/40/20,MMA/EA/BVBE 40/40/20,,MMA/EA/BVBE 40/40/20,MMA/EA/BVBE 40/40/20,,,,,,17.8,10.0,6.6,9.8,Acrylic,,estimated,low,[PRE] route=copolymer; [CAS] not found; [CAS] not found; [CLASS] rule: MMA/|/MMA|METHYL METHACRYLATE|PLEXIGUM|P
ACID DEGMP,ACID DEGMP,,ACID DEGMP,ACID DEGMP,,,,,,15.3,13.3,14.9,15.6,Polyester & Alkyd,,estimated,low,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: ADIP.*TEREP|TEREP.*ADIP|VITEL|HYD BIS|PE
CARB DEG PTH,CARB DEG PTH,,CARB DEG PTH,CARB DEG PTH,,,,,,19.4,13.4,11.6,11.1,Polyester & Alkyd,,estimated,low,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: \bDEG\b|\bDPG\b|\bTEG\b|ISOPH|TEREPH|MAL
CRYPLEX 1473-5,CRYPLEX 1473-5,,CRYPLEX 1473-5,CRYPLEX 1473-5,,,,,,19.2,9.4,5.6,8.9,Acrylic,,estimated,low,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: \bSINCLAIR\b|\bCRYPLEX\b|\bVYSET\b
DEG ISOPH,DEG ISOPH,,DEG ISOPH,DEG ISOPH,,,,,,19.2,17.2,14.6,11.8,Polyester & Alkyd,,estimated,low,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: \bDEG\b|\bDPG\b|\bTEG\b|ISOPH|TEREPH|MAL
DEG PHTH,DEG PHTH,,DEG PHTH,DEG PHTH,,,,,,21.0,15.2,13.2,13.7,Polyester & Alkyd,,estimated,low,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: \bDEG\b|\bDPG\b|\bTEG\b|ISOPH|TEREPH|MAL
DPG PHTH,DPG PHTH,,DPG PHTH,DPG PHTH,,,,,,20.1,11.5,6.7,11.6,Polyester & Alkyd,,estimated,low,[OCR] Ro rounded to 2dp; [PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: \bDEG\b|\bDPG\b|\bTEG\b|ISOPH|TEREPH|MAL
DOW ADIP TEREP,DOW ADIP TEREP,,DOW ADIP TEREP,DOW ADIP TEREP,,,,,,17.8,10.4,6.8,9.3,Polyester & Alkyd,,estimated,low,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: ADIP.*TEREP|TEREP.*ADIP|VITEL|HYD BIS|PE
DOW X-2635 MALEATE,DOW X-2635 MALEATE,,DOW X-2635 MALEATE,DOW X-2635 MALEATE,,,,,,17.8,5.6,6.8,4.5,Polyester & Alkyd,,estimated,low,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: \bDEG\b|\bDPG\b|\bTEG\b|ISOPH|TEREPH|MAL
VITEL PE LINEAR,VITEL PE LINEAR,,VITEL PE LINEAR,VITEL PE LINEAR,,,,,,14.9,10.1,2.9,6.1,Polyolefin,,estimated,low,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: \bPE\b(?!\s*\d)
VITEL PE101-X,VITEL PE101-X,,VITEL PE101-X,VITEL PE101-X,,,,,,21.3,6.3,4.7,7.3,Polyester & Alkyd,,estimated,low,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: ADIP.*TEREP|TEREP.*ADIP|VITEL|HYD BIS|PE
HYD BIS A FUM ISPH,HYD BIS A FUM ISPH,,HYD BIS A FUM ISPH,HYD BIS A FUM ISPH,,,,,,17.0,4.4,6.2,5.0,Polyester & Alkyd,,estimated,low,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: ADIP.*TEREP|TEREP.*ADIP|VITEL|HYD BIS|PE
HYD BIS A PG FUM ISPH,HYD BIS A PG FUM ISPH,,HYD BIS A PG FUM ISPH,HYD BIS A PG FUM ISPH,,,,,,18.7,8.9,5.5,8.4,Polyester & Alkyd,,estimated,low,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: ADIP.*TEREP|TEREP.*ADIP|VITEL|HYD BIS|PE
PENTA BENZ MAL,PENTA BENZ MAL,,PENTA BENZ MAL,PENTA BENZ MAL,,,,,,19.4,12.2,10.2,10.8,Polyester & Alkyd,,estimated,low,[PRE] route=standard; [CAS] not found; [CAS] not found; [CLASS] rule: ADIP.*TEREP|TEREP.*ADIP|VITEL|HYD BIS|PE
